phase,status,scope,primary_result,reason_or_next_gate
P0,PASS,h5_MPI4_environment_and_clean_baseline,852_iterations_97.253s_no_swap,P1_unlocked
P1,PASS,16_slab_T1_T2_V_H_and_LU_teacher,16_of_16_teacher_datasets_pass,P2_unlocked
P2,FAIL_STORAGE_GATE,R4_data_model_backend_owner_batch,local_and_runtime_pass_but_operator_plus_model_68.282MiB_minimum,stop_full16
P3,not_run_by_gate,full16_training,not_run,P2_no_candidate_simultaneously_local_runtime_storage_feasible
P4,not_run_by_gate,all_slab_shadow,not_run,P2_storage_failure
P5,not_run_by_gate,active_fallback,not_run,P2_storage_failure
P6,not_run_by_gate,true_no_hidden_ILU,not_run,P2_storage_failure
P7,not_run_by_gate,paired_AB,not_run,P2_storage_failure
P8,not_run_by_gate,robustness,not_run,P2_storage_failure
P9,not_run_by_gate,reuse_and_compression,not_run,P2_storage_failure
P10,completed_as_early_stop,amortization_and_decision,break_even_not_meaningful_without_feasible_runtime_profile,final_decision_stop
