phase,candidate,lane,recipe,slab,rho_median,rho_p95,median_ratio_to_ilu,p95_ratio_to_ilu,admissible
P2,A_D0_R32,A,D0,0,0.286051,0.613590,0.572970,0.977700,true
P2,A_D0_R32,A,D0,5,0.602580,0.797592,1.188332,1.091412,false
P2,A_D0_R32,A,D0,9,0.599496,0.767771,1.160265,0.975290,false
P2,A_D0_R32,A,D0,15,0.301649,0.640711,0.595970,0.765068,true
P2,A_D0_R64,A,D0,0,0.208738,0.429264,0.418109,0.683994,true
P2,A_D0_R64,A,D0,5,0.465202,0.610672,0.917412,0.835635,true
P2,A_D0_R64,A,D0,9,0.446858,0.611525,0.864849,0.776813,true
P2,A_D0_R64,A,D0,15,0.220661,0.411197,0.435961,0.491008,true
P2,A_D0_R96,A,D0,0,0.145626,0.299728,0.291695,0.477589,true
P2,A_D0_R96,A,D0,5,0.387324,0.530862,0.763831,0.726424,true
P2,A_D0_R96,A,D0,9,0.359638,0.503871,0.696044,0.640060,true
P2,A_D0_R96,A,D0,15,0.158090,0.279105,0.312340,0.333278,true
P2,A_D0_R128,A,D0,0,0.109402,0.229943,0.219137,0.366393,true
P2,A_D0_R128,A,D0,5,0.320660,0.448541,0.632364,0.613777,true
P2,A_D0_R128,A,D0,9,0.281865,0.388284,0.545521,0.493233,true
P2,A_D0_R128,A,D0,15,0.113759,0.193252,0.224754,0.230761,true
P2,A_D1_R96,A,D1,0,0.176032,0.371122,0.352598,0.591350,true
P2,A_D1_R96,A,D1,5,0.405643,0.544735,0.799957,0.745407,true
P2,A_D1_R96,A,D1,9,0.378418,0.521606,0.732391,0.662590,true
P2,A_D1_R96,A,D1,15,0.185598,0.338319,0.366686,0.403985,true
P2,B_D0_R64_W128_D3_GELU_SKIP,B,D0,0,0.204342,0.417258,0.409305,0.664863,true
P2,B_D0_R64_W128_D3_GELU_SKIP,B,D0,5,0.461470,0.600915,0.910054,0.822283,true
P2,B_D0_R64_W128_D3_GELU_SKIP,B,D0,9,0.437595,0.583984,0.846921,0.741827,true
P2,B_D0_R64_W128_D3_GELU_SKIP,B,D0,15,0.213776,0.396440,0.422358,0.473387,true
