slab,shape,matrix_nnz,fill_ratio,factor_MiB,factorization_s,solve_mean_ms,solve_p95_ms,solve_max_ms,rho_median,rho_p95,rho_max,peak_RSS_MiB,dataset_MiB,solve_batches,max_batch_size,swap_in_pages,swap_out_pages
0,3670,354148,4.5373,30.705,0.2542,2.5700,2.6529,2.8270,4.649032E-15,6.438117E-15,7.507664E-15,600.08,152.03,24,64,0,0
1,5248,526696,7.7830,78.267,0.9825,6.5363,6.6616,6.6804,5.636057E-15,7.468607E-15,1.031410E-14,900.52,217.17,24,64,0,0
2,5248,526696,7.7830,78.267,0.9016,6.5176,6.6572,6.7688,5.809250E-15,7.034600E-15,1.009085E-14,900.87,217.11,24,64,0,0
3,3670,354148,4.5945,31.091,0.2228,2.6090,2.6606,2.6693,3.679603E-15,4.472100E-15,7.726533E-15,599.93,151.95,24,64,0,0
4,3670,354148,4.5201,30.588,0.2029,2.5103,2.6038,2.6252,3.903349E-15,4.834318E-15,7.429637E-15,600.32,151.91,24,64,0,0
5,5248,526696,7.7830,78.267,0.9129,6.4415,6.6133,6.6183,5.742465E-15,6.947723E-15,1.049554E-14,901.24,217.09,24,64,0,0
6,5248,526696,7.7830,78.267,1.1061,6.9053,9.6942,9.8024,5.899635E-15,7.448088E-15,1.009810E-14,900.68,217.09,24,64,0,0
7,3670,354148,4.5949,31.094,0.2337,2.4970,2.7704,2.8129,4.035514E-15,4.636184E-15,7.552917E-15,599.78,151.94,24,64,0,0
8,3670,354148,4.5620,30.872,0.2560,2.6831,3.6195,3.6949,4.405828E-15,5.070740E-15,7.498015E-15,600.70,151.90,24,64,0,0
9,5248,526696,7.7830,78.267,0.9592,7.2733,9.2167,10.5677,5.764356E-15,7.315617E-15,1.031235E-14,901.25,217.07,24,64,0,0
10,5248,526696,7.7830,78.267,0.8415,8.4308,12.6536,15.2050,5.904672E-15,7.245207E-15,1.015621E-14,901.10,217.07,24,64,0,0
11,3670,354148,4.5952,31.096,0.2043,2.5613,2.9943,3.0699,3.884058E-15,4.612414E-15,7.739370E-15,599.20,151.98,24,64,0,0
12,3670,354148,4.5788,30.985,0.2147,2.3249,2.5526,2.5766,4.126281E-15,4.747528E-15,7.757290E-15,601.08,151.91,24,64,0,0
13,5248,526696,7.7830,78.267,0.9501,7.3369,10.4189,10.8034,5.677108E-15,7.378956E-15,9.875040E-15,900.62,217.20,24,64,0,0
14,5248,526696,7.7830,78.267,0.8091,7.1863,9.4874,9.6087,5.825759E-15,7.391853E-15,9.942508E-15,900.90,217.28,24,64,0,0
15,3670,354148,4.5942,31.089,0.1460,2.2176,2.7975,2.8604,4.710916E-15,6.191977E-15,9.378009E-15,600.07,152.17,24,64,0,0
