category,case,mesh_nm,method,R,T,A,R_ref,T_ref,A_ref,dR,dT,dA,pass,note
analytic,lossy_flat_probe,0,probe_eh_fourier,1.083948938781e-06,9.382322682736e-01,6.176664777742e-02,1.083948938781e-06,9.382322682736e-01,6.176664777742e-02,0.0,0.0,0.0,yes,analytic-only E/H Fourier uses bottom probe-plane attenuation
analytic,lossy_flat_probe,0,net_flux,1.083948938781e-06,9.382322682736e-01,6.176664777742e-02,1.083948938781e-06,9.382322682736e-01,6.176664777742e-02,0.0,0.0,0.0,yes,analytic-only Poynting net flux has positive transmitted flux
analytic,lossy_flat_port,0,volume_absorption,,,,,,8.149577861560e-02,,,0.0,yes,analytic volume integral with 0.5*k0*Im(eps)*|E|^2 matches port-plane flux loss
fem,flat_layer_auto,10,port,9.999999988790e-01,1.011163411035e-10,1.019917147157e-09,1.083948938781e-06,9.185031374355e-01,8.149577861560e-02,9.999989149300e-01,-9.185031373343e-01,-8.149577759568e-02,no,h=10 p1 under-resolves lambda0=13.5 nm and remains nearly full reflection
fem,flat_layer_auto,10,probe_eh_fourier,3.718929178147e-03,4.935181143638e-11,9.962810707725e-01,1.083948938781e-06,9.382322682736e-01,6.176664777742e-02,3.717845229208e-03,-9.382322682243e-01,9.345144229951e-01,no,FEM field/probe still diagnostic only at h=10
fem,flat_layer_auto,10,net_flux,9.999999997568e-01,2.223847508173e-11,2.209223914917e-10,1.083948938781e-06,9.382322682736e-01,6.176664777742e-02,9.999989158079e-01,-9.382322682514e-01,-6.176664755650e-02,no,FEM sampled flux still diagnostic only at h=10
fem,flat_layer_auto,10,volume_absorption,,,1.019923326957e-09,,,8.149577861560e-02,,,-8.149577759568e-02,no,volume follows the nearly zero substrate field from coarse FEM
fem,flat_layer_auto,5,port,2.169559337670e-02,9.187328167703e-01,5.957158985303e-02,1.083948938781e-06,9.185031374355e-01,8.149577861560e-02,2.169450942776e-02,2.296793348125e-04,-2.192418876257e-02,no,port T is close but p1 h=5 still has about 2.17 percent numerical reflection
fem,flat_layer_auto,5,probe_eh_fourier,1.092403063992e-01,4.951166632442e-01,3.956430303566e-01,1.083948938781e-06,9.382322682736e-01,6.176664777742e-02,1.092392224503e-01,-4.431156050295e-01,3.338763825792e-01,no,FEM E/H probe remains inconsistent with port on p1 h=5
fem,flat_layer_auto,5,net_flux,4.857985049755e-01,4.912991034647e-01,2.290239155980e-02,1.083948938781e-06,9.382322682736e-01,6.176664777742e-02,4.857974210265e-01,-4.469331648089e-01,-3.886425621763e-02,no,FEM sampled flux remains diagnostic only on p1 h=5
fem,flat_layer_auto,5,volume_absorption,,,5.957158985298e-02,,,8.149577861560e-02,,,-2.192418876262e-02,no,volume closes with port but still reflects numerical R error
fem,flat_layer_auto,3,port,,,,,,,,,,no,h=3 auto assembled to 186235 FE rows and 6.18M base nnz but direct LU exceeded 15 min and was stopped
