target_h_nm,source,estimated_cells,estimated_dofs,estimated_nnz,estimated_matrix_memory_GB,estimated_direct_LU_peak_total_GB,estimated_OOC_peak_total_GB,estimated_OOC_disk_GB,estimated_iterative_gmres50_GB,estimated_iterative_asm_ilu_low_GB,estimated_iterative_asm_ilu_high_GB,recommended_RAM_GB,recommended_SSD_GB,confidence,note
8,measured,4725,121050,14930552,0.334625743329525,10.430999755859375,9.944854736328125,3.1586623191833496,0.4338339492678642,1.1030854359269142,3.110839895904064,64,64,high,Iterative columns are memory estimates only and do not guarantee convergence.
6,measured,9747,245862,29380416,0.6585352942347527,16.159149169921875,14.859222412109375,8.349599599838257,0.8600349053740501,2.1771054938435555,6.128317259252071,64,64,high,Iterative columns are memory estimates only and do not guarantee convergence.
5,measured,12000,301648,35633876,0.7987266555428505,18.66925048828125,16.242401123046875,10.072576642036438,1.0459464564919472,2.643399767577648,7.435759700834751,64,64,high,Iterative columns are memory estimates only and do not guarantee convergence.
4,measured,28431,705918,81208016,1.8204001113772392,45.51000278443098,32.0,30.091624222695827,2.3989449962973595,6.039745219051838,16.962145887315273,64,64,medium,default direct was killed; default OOC failed; tuned OOC timed out after 90 min and left about 30 GB OOC files.
3,measured,62475,1538710,173190752,3.8825792595744133,97.06448148936033,46.59095111489296,63.772019378973866,5.143650375306606,12.908808894455433,36.20428445190191,64,128,medium,Iterative columns are memory estimates only and do not guarantee convergence.
2.5,measured,96000,2356188,262332636,5.881146319210529,147.02865798026323,70.57375583052635,111.97872027517273,7.812192864716053,19.57448550313711,54.86136341840029,128,256,medium,Iterative columns are memory estimates only and do not guarantee convergence.
2,measured,195075,4764870,523627904,11.739496760070324,293.4874190017581,140.8739611208439,223.04158336553746,15.644612036645412,39.12360555678606,109.560586117208,256,512,medium,Iterative columns are memory estimates only and do not guarantee convergence.
1.5,extrapolated,396973,9569849,1020598884,22.883274190365146,572.0818547591286,274.59929028438177,542.2338516980019,30.72637697702544,76.49292535775572,213.7925704999466,512,2048,low,Low-confidence extrapolation; this mesh was not measured on the current machine.
1.0,extrapolated,1190856,28313341,2918731945,65.44847471821217,1636.2118679553041,785.381696618546,1896.4539309694726,88.65306622129046,219.5500156577148,612.2408639669878,2048,4096,low,Low-confidence extrapolation; this mesh was not measured on the current machine.
0.5,extrapolated,7788694,180849785,17591832982,394.53780762081686,9863.445190520422,4734.453691449802,16124.964044912125,542.7557565830267,1331.8313718246604,3699.0582175495615,8192,32768,low,Low-confidence extrapolation; this mesh was not measured on the current machine.
