h_nm,system_rows,nnz_used,matrix_memory_GB,one_vector_GB,bicgstab_10vec_total_GB,gmres30_total_GB,gmres50_total_GB,gmres50_ilu0_low_GB,gmres50_ilu0_high_GB,asm_ilu_low_GB,asm_ilu_high_GB,direct_default_total_RSS_upper_GB,direct_ooc_total_RSS_upper_GB,memory_saving_vs_direct_low,memory_saving_vs_direct_high,convergence_risk_note
20.0,12738,1770216.0,0.03966232389211655,0.00018981099128723145,0.04552666619420052,0.04630570858716965,0.050101928412914276,0.08976425230503082,0.16908890008926392,0.12942657619714737,0.36740051954984665,2.888519287109375,,0.9551927602579146,0.8728066240757163,Memory estimate only: memory_possible_if_converges; complex frequency-domain Maxwell convergence is not guaranteed.
15.0,21244,2827676.0,0.0633617714047432,0.0003165602684020996,0.07286355122923852,0.07444138079881668,0.08077258616685867,0.14413435757160187,0.27085790038108826,0.20749612897634506,0.5876667574048042,3.302398681640625,3.183990478515625,0.937168056016404,0.8220485125942296,Memory estimate only: memory_possible_if_converges; complex frequency-domain Maxwell convergence is not guaranteed.
12.0,47950,6206384.0,0.13908075541257858,0.0007145106792449951,0.1601339377462864,0.1640886291861534,0.17837884277105331,0.3174595981836319,0.5956211090087891,0.4565403535962105,1.291024886071682,5.158599853515625,4.447052001953125,0.9114991729228475,0.7497334697918392,Memory estimate only: memory_possible_if_converges; complex frequency-domain Maxwell convergence is not guaranteed.
10.0,47950,6206384.0,0.13908075541257858,0.0007145106792449951,0.1601339377462864,0.1640886291861534,0.17837884277105331,0.3174595981836319,0.5956211090087891,0.4565403535962105,1.291024886071682,5.022674560546875,4.637664794921875,0.909104134043974,0.7429606735398135,Memory estimate only: memory_possible_if_converges; complex frequency-domain Maxwell convergence is not guaranteed.
8.0,121050,14930552.0,0.334625743329525,0.0018037855625152588,0.3861261732876301,0.39775823801755905,0.4338339492678642,0.7684596925973892,1.4377111792564392,1.1030854359269142,3.110839895904064,10.430999755859375,9.944854736328125,0.894249308623818,0.7017697278579054,Memory estimate only: memory_possible_if_converges; complex frequency-domain Maxwell convergence is not guaranteed.
6.0,245862,29380416.0,0.6585352942347527,0.0036636292934417725,0.7610251165926457,0.7867623195052147,0.8600349053740501,1.5185701996088028,2.835640788078308,2.1771054938435555,6.128317259252071,16.159149169921875,14.859222412109375,0.8652710318501206,0.620752479303853,Memory estimate only: memory_possible_if_converges; complex frequency-domain Maxwell convergence is not guaranteed.
5.0,301648,35633876.0,0.7987266555428505,0.004494905471801758,0.9235483758151531,0.956048347055912,1.0459464564919472,1.8446731120347977,3.4421264231204987,2.643399767577648,7.435759700834751,18.66925048828125,16.242401123046875,0.8584088970664934,0.6017108611027421,Memory estimate only: memory_possible_if_converges; complex frequency-domain Maxwell convergence is not guaranteed.
4.0,705918,81208016.0,1.8204001113772392,0.01051899790763855,2.107630101591349,2.1885650381445885,2.3989449962973595,4.219345107674599,7.860145330429077,6.039745219051838,16.962145887315273,,23.88604736328125,,,Memory estimate only: memory_possible_if_converges; complex frequency-domain Maxwell convergence is not guaranteed.
3.0,1538710,173190752.0,3.8825792595744133,0.022928565740585327,4.500122842937708,4.6850790604949,5.143650375306606,9.02622963488102,16.791388154029846,12.908808894455433,36.20428445190191,,,,,Memory estimate only: memory_possible_if_converges; complex frequency-domain Maxwell convergence is not guaranteed.
2.5,2356188,262332636.0,5.881146319210529,0.03510993719100952,6.820360323041678,7.109994120895863,7.812192864716053,13.693339183926582,25.45563182234764,19.57448550313711,54.86136341840029,,,,,Memory estimate only: memory_possible_if_converges; complex frequency-domain Maxwell convergence is not guaranteed.
2.0,4764870,523627904.0,11.739496760070324,0.07100209593772888,13.623467395454647,14.224570117890835,15.644612036645412,27.384108796715736,50.863102316856384,39.12360555678606,109.560586117208,,,,,Memory estimate only: memory_possible_if_converges; complex frequency-domain Maxwell convergence is not guaranteed.
