p,h_nm,mpi_ranks,solver_profile,side,order_m,order_n,polarization,power,amplitude_real,amplitude_imag,is_propagating
1,5.0,8,default,reflection,-7,-2,s,4.282039630819566e-18,3.1781680746718262e-09,-3.6188806611467683e-09,True
1,5.0,8,default,reflection,-7,-2,p,4.738190244835455e-19,-6.569134049806713e-10,1.46125964139597e-09,True
1,5.0,8,default,reflection,-7,-1,s,9.16354507194057e-12,-4.618397034439343e-06,3.070816444110255e-06,True
1,5.0,8,default,reflection,-7,-1,p,1.5199886056207503e-14,1.9458792842683716e-07,-1.1470563289117301e-07,True
1,5.0,8,default,reflection,-7,0,s,3.162027495080714e-11,2.3730698954838675e-06,-9.54179412596128e-06,True
1,5.0,8,default,reflection,-7,0,p,1.097259993668917e-30,-9.820624390812494e-16,1.5460811703098193e-15,True
1,5.0,8,default,reflection,-7,1,s,9.1635450679552e-12,-4.6183970361504936e-06,3.070816439358531e-06,True
1,5.0,8,default,reflection,-7,1,p,1.5199885648123465e-14,-1.9458793111103849e-07,1.1470562236661346e-07,True
1,5.0,8,default,reflection,-7,2,s,4.282044130978436e-18,3.178174768890475e-09,-3.618878150413184e-09,True
1,5.0,8,default,reflection,-7,2,p,4.738211134416788e-19,6.56910546747306e-10,-1.4612647984809906e-09,True
1,5.0,8,default,reflection,-6,-4,s,8.297438804672897e-18,-4.115737258988363e-09,-4.398053370961585e-09,True
1,5.0,8,default,reflection,-6,-4,p,7.624448713482208e-19,-1.5321774725458194e-09,-9.931620393422594e-10,True
1,5.0,8,default,reflection,-6,-3,s,3.108585317111831e-15,-7.218720887597372e-08,4.6027797671925666e-08,True
1,5.0,8,default,reflection,-6,-3,p,8.30467273605533e-17,1.3988267611011875e-08,-3.733424163205177e-10,True
1,5.0,8,default,reflection,-6,-2,s,1.964654828438481e-14,-2.3230979993839174e-08,-1.9287378546439918e-07,True
1,5.0,8,default,reflection,-6,-2,p,1.8473663470395915e-16,-1.1324215700508865e-08,1.5054281785708037e-08,True
1,5.0,8,default,reflection,-6,-1,s,5.4471797494427204e-14,-1.3539644184777629e-07,2.7770233455774684e-07,True
1,5.0,8,default,reflection,-6,-1,p,7.240873715176353e-16,3.060225346783784e-08,1.822960287275391e-08,True
1,5.0,8,default,reflection,-6,0,s,2.504096416743694e-13,5.397453997980968e-07,-3.683501979104754e-07,True
1,5.0,8,default,reflection,-6,0,p,4.344225753951278e-29,3.01420588634253e-15,8.061871080754992e-15,True
1,5.0,8,default,reflection,-6,1,s,5.447179394579812e-14,-1.3539642482368176e-07,2.7770233166211077e-07,True
1,5.0,8,default,reflection,-6,1,p,7.240876341725906e-16,-3.060226090738785e-08,-1.8229603007576383e-08,True
1,5.0,8,default,reflection,-6,2,s,1.964655215109125e-14,-2.3230978862652378e-08,-1.928738048560817e-07,True
1,5.0,8,default,reflection,-6,2,p,1.8473663106406093e-16,1.1324211154683261e-08,-1.5054284972965278e-08,True
1,5.0,8,default,reflection,-6,3,s,3.108585349965787e-15,-7.21872152997629e-08,4.602778843873857e-08,True
1,5.0,8,default,reflection,-6,3,p,8.304674320431084e-17,-1.3988269130690999e-08,3.7333550799951025e-10,True
1,5.0,8,default,reflection,-6,4,s,8.297427370885536e-18,-4.115733487137987e-09,-4.398051216759676e-09,True
1,5.0,8,default,reflection,-6,4,p,7.624378729861386e-19,1.5321736906419591e-09,9.931524675351826e-10,True
1,5.0,8,default,reflection,-5,-5,s,8.133077998852613e-12,5.046067324908574e-06,-1.3556232224811704e-06,True
1,5.0,8,default,reflection,-5,-5,p,9.280572549568435e-13,-4.140272932001731e-08,-1.7645167058353322e-06,True
1,5.0,8,default,reflection,-5,-4,s,3.4870138084208467e-15,1.3648858885424556e-08,-8.215442586369034e-08,True
1,5.0,8,default,reflection,-5,-4,p,1.9148383107857086e-14,1.7991027539699838e-07,-7.561921193685163e-08,True
1,5.0,8,default,reflection,-5,-3,s,1.8813677422370303e-10,-1.4237534093623895e-05,1.0116833347759075e-05,True
1,5.0,8,default,reflection,-5,-3,p,1.2202235398130354e-11,3.3421055659994514e-06,-2.93527858953409e-06,True
1,5.0,8,default,reflection,-5,-2,s,2.120436797311501e-14,1.7557360354278146e-07,7.432350422870839e-09,True
1,5.0,8,default,reflection,-5,-2,p,6.984532149260257e-16,-2.4869160121406355e-08,1.996819229304045e-08,True
1,5.0,8,default,reflection,-5,-1,s,7.920485043070683e-10,-4.666973041185117e-06,-3.2713221727011124e-05,True
1,5.0,8,default,reflection,-5,-1,p,1.680302243088202e-11,6.510059690422916e-07,4.768774270476406e-06,True
1,5.0,8,default,reflection,-5,0,s,1.4173164933532546e-09,3.5260887874438072e-06,4.368665918570578e-05,True
1,5.0,8,default,reflection,-5,0,p,1.0692387250168731e-29,2.991354272770855e-15,2.354508111114655e-15,True
1,5.0,8,default,reflection,-5,1,s,7.920485041145523e-10,-4.66697304264535e-06,-3.271322172274623e-05,True
1,5.0,8,default,reflection,-5,1,p,1.680302242566697e-11,-6.510059601054906e-07,-4.768774270942589e-06,True
1,5.0,8,default,reflection,-5,2,s,2.1204367684578003e-14,1.7557360225571397e-07,7.432352557763063e-09,True
1,5.0,8,default,reflection,-5,2,p,6.984531174586708e-16,2.486916010298362e-08,-1.9968188761627086e-08,True
1,5.0,8,default,reflection,-5,3,s,1.8813677410273086e-10,-1.4237534090992088e-05,1.0116833341768493e-05,True
1,5.0,8,default,reflection,-5,3,p,1.22022354302968e-11,-3.3421055696907536e-06,2.9352785942156577e-06,True
1,5.0,8,default,reflection,-5,4,s,3.4870146432161518e-15,1.3648858181187309e-08,-8.215443608605367e-08,True
1,5.0,8,default,reflection,-5,4,p,1.914838209288481e-14,-1.7991027153164307e-07,7.561920778488395e-08,True
1,5.0,8,default,reflection,-5,5,s,8.133077962919925e-12,5.0460673146607675e-06,-1.3556232161394614e-06,True
1,5.0,8,default,reflection,-5,5,p,9.280572517303348e-13,4.1402725622517546e-08,1.764516702853119e-06,True
1,5.0,8,default,reflection,-4,-6,s,6.31253033452738e-18,-3.0630580630418173e-09,-4.2685411096626096e-09,True
1,5.0,8,default,reflection,-4,-6,p,4.263397360418169e-18,-4.304163930189803e-09,-3.416253508670518e-10,True
1,5.0,8,default,reflection,-4,-5,s,1.40560723138181e-15,4.15620407650185e-08,-3.268543542124408e-08,True
1,5.0,8,default,reflection,-4,-5,p,8.238766028957007e-15,3.237944226605708e-08,-1.238483258779867e-07,True
1,5.0,8,default,reflection,-4,-4,s,1.5683271137265862e-14,1.5458880949651656e-07,1.9870396462841225e-08,True
1,5.0,8,default,reflection,-4,-4,p,5.293056848262143e-15,-5.6161695596182336e-08,7.102478917357255e-08,True
1,5.0,8,default,reflection,-4,-3,s,6.527480488390977e-14,-1.219977743173561e-07,2.7126857277767405e-07,True
1,5.0,8,default,reflection,-4,-3,p,1.6318198700939044e-14,2.253532423526087e-08,-1.4700000663517174e-07,True
1,5.0,8,default,reflection,-4,-2,s,4.396871946110361e-16,-2.3274856602593716e-08,3.135683660635391e-09,True
1,5.0,8,default,reflection,-4,-2,p,1.1957855726046795e-15,1.6182319501308662e-08,-3.518731722133004e-08,True
1,5.0,8,default,reflection,-4,-1,s,1.2354955297586286e-13,-3.681421047591734e-07,-1.1484213578486941e-07,True
1,5.0,8,default,reflection,-4,-1,p,1.1852768257677104e-14,9.880399775308837e-08,6.711942395202451e-08,True
1,5.0,8,default,reflection,-4,0,s,3.019996467798582e-13,5.613895033019069e-07,-2.0893537419031554e-07,True
1,5.0,8,default,reflection,-4,0,p,1.308338032417999e-29,3.720787687318085e-15,-1.3039860999206686e-15,True
1,5.0,8,default,reflection,-4,1,s,1.2354955166829658e-13,-3.6814210473898365e-07,-1.1484212899703034e-07,True
1,5.0,8,default,reflection,-4,1,p,1.1852769175659943e-14,-9.880400121140322e-08,-6.711942709262556e-08,True
1,5.0,8,default,reflection,-4,2,s,4.396870674533316e-16,-2.3274853087663964e-08,3.1356843160053594e-09,True
1,5.0,8,default,reflection,-4,2,p,1.195785540163275e-15,-1.6182315807428986e-08,3.518731834184728e-08,True
1,5.0,8,default,reflection,-4,3,s,6.527480483951277e-14,-1.219977773177493e-07,2.7126857131739433e-07,True
1,5.0,8,default,reflection,-4,3,p,1.631819864290225e-14,-2.2535328047283313e-08,1.4700000578323164e-07,True
1,5.0,8,default,reflection,-4,4,s,1.5683270351557785e-14,1.5458880562552906e-07,1.9870395954640058e-08,True
1,5.0,8,default,reflection,-4,4,p,5.293057679407257e-15,5.616169531306361e-08,-7.102479846046585e-08,True
1,5.0,8,default,reflection,-4,5,s,1.4056065307655087e-15,4.1562035734424714e-08,-3.2685420500887996e-08,True
1,5.0,8,default,reflection,-4,5,p,8.238767531708604e-15,-3.237945302196947e-08,1.2384833513293278e-07,True
1,5.0,8,default,reflection,-4,6,s,6.3125458168410794e-18,-3.063056338634651e-09,-4.268550277111217e-09,True
1,5.0,8,default,reflection,-4,6,p,4.263398117308444e-18,4.304163963228366e-09,3.4162977855910937e-10,True
1,5.0,8,default,reflection,-3,-6,s,3.650590832046127e-16,-2.725852946122894e-08,1.0850069420756822e-08,True
1,5.0,8,default,reflection,-3,-6,p,4.3358696942398625e-16,-1.1990921951047145e-08,2.9640295470621485e-08,True
1,5.0,8,default,reflection,-3,-5,s,4.672949633357206e-11,-6.5836413015925925e-06,5.6943861859567434e-06,True
1,5.0,8,default,reflection,-3,-5,p,7.59069377694737e-12,-2.914853786444501e-06,-1.9523554592603077e-06,True
1,5.0,8,default,reflection,-3,-4,s,1.484582917203029e-14,-4.860008236746904e-08,1.3326402835040124e-07,True
1,5.0,8,default,reflection,-3,-4,p,2.3561841652555055e-14,2.9021353341614127e-08,-1.7632998316919982e-07,True
1,5.0,8,default,reflection,-3,-3,s,6.508663861037703e-10,1.8627313332246335e-05,2.114304683707909e-05,True
1,5.0,8,default,reflection,-3,-3,p,3.927777865597199e-10,-1.6555197951782956e-05,-1.4320722227251049e-05,True
1,5.0,8,default,reflection,-3,-2,s,2.2720431909786658e-13,-4.2262225858607485e-07,2.8545753717999617e-07,True
1,5.0,8,default,reflection,-3,-2,p,9.400858995126754e-14,3.2066812493004657e-07,-6.920771741087601e-08,True
1,5.0,8,default,reflection,-3,-1,s,1.0880766212577291e-08,2.2211582977579948e-06,0.00010966942017755425,True
1,5.0,8,default,reflection,-3,-1,p,9.808142131503523e-10,-4.023104787790995e-07,-3.2931069126716375e-05,True
1,5.0,8,default,reflection,-3,0,s,4.9747403955157307e-08,-4.7814187457194725e-05,-0.00022830502292721556,True
1,5.0,8,default,reflection,-3,0,p,9.63320295335058e-30,2.2527155980951117e-16,-3.2380876393562664e-15,True
1,5.0,8,default,reflection,-3,1,s,1.0880766213149806e-08,2.221158301958786e-06,0.0001096694201803556,True
1,5.0,8,default,reflection,-3,1,p,9.808142129865685e-10,4.023104824018891e-07,3.293106912392216e-05,True
1,5.0,8,default,reflection,-3,2,s,2.2720432538106922e-13,-4.2262226290384086e-07,2.854575433862135e-07,True
1,5.0,8,default,reflection,-3,2,p,9.400858898805255e-14,-3.2066812311944874e-07,6.920771783385686e-08,True
1,5.0,8,default,reflection,-3,3,s,6.50866386001335e-10,1.8627313329781954e-05,2.1143046836295066e-05,True
1,5.0,8,default,reflection,-3,3,p,3.9277778651737843e-10,1.655519795084117e-05,1.4320722226536336e-05,True
1,5.0,8,default,reflection,-3,4,s,1.484582937550336e-14,-4.860008813341465e-08,1.332640272823185e-07,True
1,5.0,8,default,reflection,-3,4,p,2.3561840714901184e-14,-2.9021348146225648e-08,1.7632998042067918e-07,True
1,5.0,8,default,reflection,-3,5,s,4.6729496284152253e-11,-6.583641299969321e-06,5.694386180797406e-06,True
1,5.0,8,default,reflection,-3,5,p,7.590693808289215e-12,2.9148537952197877e-06,1.9523554591738574e-06,True
1,5.0,8,default,reflection,-3,6,s,3.6505880232355364e-16,-2.725851478458216e-08,1.0850075773451678e-08,True
