auxiliary_index,side,direction,medium,m,n,order_m,order_n,polarization,alpha,gamma,beta,kz,vertical_sign,propagating,rayleigh_warning,refractive_index,auxiliary_amplitude_total_projection,incident_projection,outgoing_amplitude,boundary_phase,outgoing_amplitude_at_boundary,modal_power_code_units,power_ratio,power_source,R,T
0,top,outgoing_up,air,-7,-2,-7,-2,s,-4.3982297150257105e-01+0.0000000000000000e+00j,-1.2566370614359174e-01+0.0000000000000000e+00j,8.5914018327812564e-02+0.0000000000000000e+00j,8.5914018327812564e-02+0.0000000000000000e+00j,1,True,False,1.0000000000000000e+00+0.0000000000000000e+00j,1.0387608913134268e-06+1.4945552612683808e-06j,0.0000000000000000e+00+0.0000000000000000e+00j,1.0387608913134268e-06+1.4945552612683808e-06j,4.2815674128062886e-01-9.0370448980623785e-01j,1.7953887780662890e-06-2.9882897098658444e-07j,3.057543301037697e-09,6.115086602075394e-13,dtn_port_modal_amplitudes,6.115086602075394e-13,0.0
1,top,outgoing_up,air,-7,-2,-7,-2,p,-4.3982297150257105e-01+0.0000000000000000e+00j,-1.2566370614359174e-01+0.0000000000000000e+00j,8.5914018327812564e-02+0.0000000000000000e+00j,8.5914018327812564e-02+0.0000000000000000e+00j,1,True,False,1.0000000000000000e+00+0.0000000000000000e+00j,6.6292592156563081e-08-1.9958723037626139e-07j,0.0000000000000000e+00+0.0000000000000000e+00j,6.6292592156563081e-08-1.9958723037626139e-07j,4.2815674128062886e-01-9.0370448980623785e-01j,-1.5198425597021953e-07-1.4536353133190607e-07j,4.08227841415837e-11,8.164556828316741e-15,dtn_port_modal_amplitudes,8.164556828316741e-15,0.0
2,top,outgoing_up,air,-7,-1,-7,-1,s,-4.3982297150257105e-01+0.0000000000000000e+00j,-6.2831853071795868e-02+0.0000000000000000e+00j,1.3865332245041567e-01+0.0000000000000000e+00j,1.3865332245041567e-01+0.0000000000000000e+00j,1,True,False,1.0000000000000000e+00+0.0000000000000000e+00j,1.7907995255413183e-04+8.3411364671756999e-06j,0.0000000000000000e+00+0.0000000000000000e+00j,1.7907995255413183e-04+8.3411364671756999e-06j,-4.4861738743631935e-01+8.9372391692838304e-01j,-8.7793053612133089e-05+1.5630605778987352e-04j,4.787285198635136e-05,9.574570397270274e-09,dtn_port_modal_amplitudes,9.574570397270274e-09,0.0
3,top,outgoing_up,air,-7,-1,-7,-1,p,-4.3982297150257105e-01+0.0000000000000000e+00j,-6.2831853071795868e-02+0.0000000000000000e+00j,1.3865332245041567e-01+0.0000000000000000e+00j,1.3865332245041567e-01+0.0000000000000000e+00j,1,True,False,1.0000000000000000e+00+0.0000000000000000e+00j,-7.6822411059028112e-06-6.9063316593350467e-07j,0.0000000000000000e+00+0.0000000000000000e+00j,-7.6822411059028112e-06-6.9063316593350467e-07j,-4.4861738743631935e-01+8.9372391692838304e-01j,4.0636223128047618e-06-6.5559725653777309e-06j,8.861880985396662e-08,1.7723761970793327e-11,dtn_port_modal_amplitudes,1.7723761970793327e-11,0.0
4,top,outgoing_up,air,-7,0,-7,0,s,-4.3982297150257105e-01+0.0000000000000000e+00j,0.0000000000000000e+00+0.0000000000000000e+00j,1.5222544329702142e-01+0.0000000000000000e+00j,1.5222544329702142e-01+0.0000000000000000e+00j,1,True,False,1.0000000000000000e+00+0.0000000000000000e+00j,-2.2151053925221570e-04+2.9718262655014389e-05j,0.0000000000000000e+00+0.0000000000000000e+00j,-2.2151053925221570e-04+2.9718262655014389e-05j,-9.5788529532529842e-01+2.8715111178535563e-01j,2.0364805614755813e-04-9.2073684418300636e-05j,8.168596856881643e-05,1.633719371376329e-08,dtn_port_modal_amplitudes,1.633719371376329e-08,0.0
5,top,outgoing_up,air,-7,0,-7,0,p,-4.3982297150257105e-01+0.0000000000000000e+00j,0.0000000000000000e+00+0.0000000000000000e+00j,1.5222544329702142e-01+0.0000000000000000e+00j,1.5222544329702142e-01+0.0000000000000000e+00j,1,True,False,1.0000000000000000e+00+0.0000000000000000e+00j,-3.8462583812867145e-14+1.9011619123765783e-14j,0.0000000000000000e+00+0.0000000000000000e+00j,-3.8462583812867145e-14+1.9011619123765783e-14j,-9.5788529532529842e-01+2.8715111178535563e-01j,3.1383535886333211e-14-2.9255524102982703e-14j,3.0103749557276112e-24,6.020749911455223e-28,dtn_port_modal_amplitudes,6.020749911455223e-28,0.0
6,top,outgoing_up,air,-7,1,-7,1,s,-4.3982297150257105e-01+0.0000000000000000e+00j,6.2831853071795868e-02+0.0000000000000000e+00j,1.3865332245041567e-01+0.0000000000000000e+00j,1.3865332245041567e-01+0.0000000000000000e+00j,1,True,False,1.0000000000000000e+00+0.0000000000000000e+00j,1.7907995262281571e-04+8.3411364585532671e-06j,0.0000000000000000e+00+0.0000000000000000e+00j,1.7907995262281571e-04+8.3411364585532671e-06j,-4.4861738743631935e-01+8.9372391692838304e-01j,-8.7793053635239795e-05+1.5630605785512612e-04j,4.7872852022779686e-05,9.574570404555939e-09,dtn_port_modal_amplitudes,9.574570404555939e-09,0.0
7,top,outgoing_up,air,-7,1,-7,1,p,-4.3982297150257105e-01+0.0000000000000000e+00j,6.2831853071795868e-02+0.0000000000000000e+00j,1.3865332245041567e-01+0.0000000000000000e+00j,1.3865332245041567e-01+0.0000000000000000e+00j,1,True,False,1.0000000000000000e+00+0.0000000000000000e+00j,7.6822411216036731e-06+6.9063320709534158e-07j,0.0000000000000000e+00+0.0000000000000000e+00j,7.6822411216036731e-06+6.9063320709534158e-07j,-4.4861738743631935e-01+8.9372391692838304e-01j,-4.0636223566357598e-06+6.5559725609440504e-06j,8.861881029798724e-08,1.772376205959745e-11,dtn_port_modal_amplitudes,1.772376205959745e-11,0.0
8,top,outgoing_up,air,-7,2,-7,2,s,-4.3982297150257105e-01+0.0000000000000000e+00j,1.2566370614359174e-01+0.0000000000000000e+00j,8.5914018327812564e-02+0.0000000000000000e+00j,8.5914018327812564e-02+0.0000000000000000e+00j,1,True,False,1.0000000000000000e+00+0.0000000000000000e+00j,1.0387607933490884e-06+1.4945552874114261e-06j,0.0000000000000000e+00+0.0000000000000000e+00j,1.0387607933490884e-06+1.4945552874114261e-06j,4.2815674128062886e-01-9.0370448980623785e-01j,1.7953887597477844e-06-2.9882887126245085e-07j,3.0575431853169303e-09,6.115086370633862e-13,dtn_port_modal_amplitudes,6.115086370633862e-13,0.0
9,top,outgoing_up,air,-7,2,-7,2,p,-4.3982297150257105e-01+0.0000000000000000e+00j,1.2566370614359174e-01+0.0000000000000000e+00j,8.5914018327812564e-02+0.0000000000000000e+00j,8.5914018327812564e-02+0.0000000000000000e+00j,1,True,False,1.0000000000000000e+00+0.0000000000000000e+00j,-6.6292678552852906e-08+1.9958721505065774e-07j,0.0000000000000000e+00+0.0000000000000000e+00j,-6.6292678552852906e-08+1.9958721505065774e-07j,4.2815674128062886e-01-9.0370448980623785e-01j,1.5198420512924881e-07+1.4536360284686054e-07j,4.0822789067742675e-11,8.164557813548536e-15,dtn_port_modal_amplitudes,8.164557813548536e-15,0.0
