auxiliary_index,side,direction,medium,m,n,order_m,order_n,polarization,alpha,gamma,beta,kz,vertical_sign,propagating,rayleigh_warning,refractive_index,auxiliary_amplitude_total_projection,incident_projection,outgoing_amplitude,boundary_phase,outgoing_amplitude_at_boundary,modal_power_code_units,power_ratio,power_source,R,T
0,top,outgoing_up,air,-7,-2,-7,-2,s,-4.3982297150257105e-01+0.0000000000000000e+00j,-1.2566370614359174e-01+0.0000000000000000e+00j,8.5914018327812564e-02+0.0000000000000000e+00j,8.5914018327812564e-02+0.0000000000000000e+00j,1,True,False,1.0000000000000000e+00+0.0000000000000000e+00j,3.1781733909648479e-09-3.6188825276006015e-09j,0.0000000000000000e+00+0.0000000000000000e+00j,3.1781733909648479e-09-3.6188825276006015e-09j,4.2815674128062886e-01-9.0370448980623785e-01j,-1.9096440259736946e-09-4.4215785128925275e-09j,2.1410241811652155e-14,4.282048362330432e-18,dtn_port_modal_amplitudes,4.282048362330432e-18,0.0
1,top,outgoing_up,air,-7,-2,-7,-2,p,-4.3982297150257105e-01+0.0000000000000000e+00j,-1.2566370614359174e-01+0.0000000000000000e+00j,8.5914018327812564e-02+0.0000000000000000e+00j,8.5914018327812564e-02+0.0000000000000000e+00j,1,True,False,1.0000000000000000e+00+0.0000000000000000e+00j,-6.5691457060708951e-10+1.4612649165987915e-09j,0.0000000000000000e+00+0.0000000000000000e+00j,-6.5691457060708951e-10+1.4612649165987915e-09j,4.2815674128062886e-01-9.0370448980623785e-01j,1.0392892640757706e-09+1.2193070717154121e-09j,2.3691107652419663e-15,4.738221530483933e-19,dtn_port_modal_amplitudes,4.738221530483933e-19,0.0
2,top,outgoing_up,air,-7,-1,-7,-1,s,-4.3982297150257105e-01+0.0000000000000000e+00j,-6.2831853071795868e-02+0.0000000000000000e+00j,1.3865332245041567e-01+0.0000000000000000e+00j,1.3865332245041567e-01+0.0000000000000000e+00j,1,True,False,1.0000000000000000e+00+0.0000000000000000e+00j,-4.6183970420996769e-06+3.0708164479979496e-06j,0.0000000000000000e+00+0.0000000000000000e+00j,-4.6183970420996769e-06+3.0708164479979496e-06j,-4.4861738743631935e-01+8.9372391692838304e-01j,-6.7256888890244958e-07-5.5051935465930996e-06j,4.58177255006642e-08,9.163545100132842e-12,dtn_port_modal_amplitudes,9.163545100132842e-12,0.0
3,top,outgoing_up,air,-7,-1,-7,-1,p,-4.3982297150257105e-01+0.0000000000000000e+00j,-6.2831853071795868e-02+0.0000000000000000e+00j,1.3865332245041567e-01+0.0000000000000000e+00j,1.3865332245041567e-01+0.0000000000000000e+00j,1,True,False,1.0000000000000000e+00+0.0000000000000000e+00j,1.9458792784689567e-07-1.1470562816524240e-07j,0.0000000000000000e+00+0.0000000000000000e+00j,1.9458792784689567e-07-1.1470562816524240e-07j,-4.4861738743631935e-01+8.9372391692838304e-01j,1.5219635480249734e-08+2.2536682429403812e-07j,7.599942832990841e-11,1.5199885665981685e-14,dtn_port_modal_amplitudes,1.5199885665981685e-14,0.0
4,top,outgoing_up,air,-7,0,-7,0,s,-4.3982297150257105e-01+0.0000000000000000e+00j,0.0000000000000000e+00+0.0000000000000000e+00j,1.5222544329702142e-01+0.0000000000000000e+00j,1.5222544329702142e-01+0.0000000000000000e+00j,1,True,False,1.0000000000000000e+00+0.0000000000000000e+00j,2.3730698942974064e-06-9.5417941267867741e-06j,0.0000000000000000e+00+0.0000000000000000e+00j,2.3730698942974064e-06-9.5417941267867741e-06j,-9.5788529532529842e-01+2.8715111178535563e-01j,4.6680803540715302e-07+9.8213739435622043e-06j,1.5810137477058923e-07,3.162027495411785e-11,dtn_port_modal_amplitudes,3.162027495411785e-11,0.0
5,top,outgoing_up,air,-7,0,-7,0,p,-4.3982297150257105e-01+0.0000000000000000e+00j,0.0000000000000000e+00+0.0000000000000000e+00j,1.5222544329702142e-01+0.0000000000000000e+00j,1.5222544329702142e-01+0.0000000000000000e+00j,1,True,False,1.0000000000000000e+00+0.0000000000000000e+00j,-2.6376216188728387e-16+9.6144932117002627e-17j,0.0000000000000000e+00+0.0000000000000000e+00j,-2.6376216188728387e-16+9.6144932117002627e-17j,-9.5788529532529842e-01+2.8715111178535563e-01j,2.2504577218511527e-16-1.6783541472776836e-16j,1.2888913763101072e-28,2.5777827526202147e-32,dtn_port_modal_amplitudes,2.5777827526202147e-32,0.0
6,top,outgoing_up,air,-7,1,-7,1,s,-4.3982297150257105e-01+0.0000000000000000e+00j,6.2831853071795868e-02+0.0000000000000000e+00j,1.3865332245041567e-01+0.0000000000000000e+00j,1.3865332245041567e-01+0.0000000000000000e+00j,1,True,False,1.0000000000000000e+00+0.0000000000000000e+00j,-4.6183970425170490e-06+3.0708164465007926e-06j,0.0000000000000000e+00+0.0000000000000000e+00j,-4.6183970425170490e-06+3.0708164465007926e-06j,-4.4861738743631935e-01+8.9372391692838304e-01j,-6.7256888737716432e-07-5.5051935462944637e-06j,4.58177254927103e-08,9.163545098542062e-12,dtn_port_modal_amplitudes,9.163545098542062e-12,0.0
7,top,outgoing_up,air,-7,1,-7,1,p,-4.3982297150257105e-01+0.0000000000000000e+00j,6.2831853071795868e-02+0.0000000000000000e+00j,1.3865332245041567e-01+0.0000000000000000e+00j,1.3865332245041567e-01+0.0000000000000000e+00j,1,True,False,1.0000000000000000e+00+0.0000000000000000e+00j,-1.9458792990960296e-07+1.1470562838884463e-07j,0.0000000000000000e+00+0.0000000000000000e+00j,-1.9458792990960296e-07+1.1470562838884463e-07j,-4.4861738743631935e-01+8.9372391692838304e-01j,-1.5219634754722062e-08-2.2536682623784080e-07j,7.599942960206e-11,1.5199885920412002e-14,dtn_port_modal_amplitudes,1.5199885920412002e-14,0.0
8,top,outgoing_up,air,-7,2,-7,2,s,-4.3982297150257105e-01+0.0000000000000000e+00j,1.2566370614359174e-01+0.0000000000000000e+00j,8.5914018327812564e-02+0.0000000000000000e+00j,8.5914018327812564e-02+0.0000000000000000e+00j,1,True,False,1.0000000000000000e+00+0.0000000000000000e+00j,3.1781692871203534e-09-3.6188787310540247e-09j,0.0000000000000000e+00+0.0000000000000000e+00j,3.1781692871203534e-09-3.6188787310540247e-09j,4.2815674128062886e-01-9.0370448980623785e-01j,-1.9096423521061933e-09-4.4215731787128224e-09j,2.1410192373702783e-14,4.282038474740557e-18,dtn_port_modal_amplitudes,4.282038474740557e-18,0.0
9,top,outgoing_up,air,-7,2,-7,2,p,-4.3982297150257105e-01+0.0000000000000000e+00j,1.2566370614359174e-01+0.0000000000000000e+00j,8.5914018327812564e-02+0.0000000000000000e+00j,8.5914018327812564e-02+0.0000000000000000e+00j,1,True,False,1.0000000000000000e+00+0.0000000000000000e+00j,6.5691301005056165e-10-1.4612622020812417e-09j,0.0000000000000000e+00+0.0000000000000000e+00j,6.5691301005056165e-10-1.4612622020812417e-09j,4.2815674128062886e-01-9.0370448980623785e-01j,-1.0392874791168707e-09-1.2193044991944831e-09j,2.369101550714262e-15,4.738203101428525e-19,dtn_port_modal_amplitudes,4.738203101428525e-19,0.0
