auxiliary_index,side,direction,medium,m,n,order_m,order_n,polarization,alpha,gamma,beta,kz,vertical_sign,propagating,rayleigh_warning,refractive_index,auxiliary_amplitude_total_projection,incident_projection,outgoing_amplitude,boundary_phase,outgoing_amplitude_at_boundary,modal_power_code_units,power_ratio,power_source,R,T
0,top,outgoing_up,air,-7,-2,-7,-2,s,-4.3982297150257105e-01+0.0000000000000000e+00j,-1.2566370614359174e-01+0.0000000000000000e+00j,8.5914018327812564e-02+0.0000000000000000e+00j,8.5914018327812564e-02+0.0000000000000000e+00j,1,True,False,1.0000000000000000e+00+0.0000000000000000e+00j,-7.8033148709786398e-16+9.4762194348567504e-16j,0.0000000000000000e+00+0.0000000000000000e+00j,-7.8033148709786398e-16+9.4762194348567504e-16j,4.2815674128062886e-01-9.0370448980623785e-01j,5.2226601833242903e-16+1.1109197917163609e-15j,1.3908288437311532e-27,2.781657687462307e-31,dtn_port_modal_amplitudes,2.781657687462307e-31,0.0
1,top,outgoing_up,air,-7,-2,-7,-2,p,-4.3982297150257105e-01+0.0000000000000000e+00j,-1.2566370614359174e-01+0.0000000000000000e+00j,8.5914018327812564e-02+0.0000000000000000e+00j,8.5914018327812564e-02+0.0000000000000000e+00j,1,True,False,1.0000000000000000e+00+0.0000000000000000e+00j,-2.1693541891766427e-15-1.9036758831172655e-17j,0.0000000000000000e+00+0.0000000000000000e+00j,-2.1693541891766427e-15-1.9036758831172655e-17j,4.2815674128062886e-01-9.0370448980623785e-01j,-9.4602722474844154e-16+1.9523044041132026e-15j,4.343924898961527e-27,8.687849797923055e-31,dtn_port_modal_amplitudes,8.687849797923055e-31,0.0
2,top,outgoing_up,air,-7,-1,-7,-1,s,-4.3982297150257105e-01+0.0000000000000000e+00j,-6.2831853071795868e-02+0.0000000000000000e+00j,1.3865332245041567e-01+0.0000000000000000e+00j,1.3865332245041567e-01+0.0000000000000000e+00j,1,True,False,1.0000000000000000e+00+0.0000000000000000e+00j,-3.8622630676262385e-16-7.8361380407576734e-16j,0.0000000000000000e+00+0.0000000000000000e+00j,-3.8622630676262385e-16-7.8361380407576734e-16j,-4.4861738743631935e-01+8.9372391692838304e-01j,8.7360223503677209e-16+6.3630898428311049e-18j,1.1368540102027593e-27,2.273708020405519e-31,dtn_port_modal_amplitudes,2.273708020405519e-31,0.0
3,top,outgoing_up,air,-7,-1,-7,-1,p,-4.3982297150257105e-01+0.0000000000000000e+00j,-6.2831853071795868e-02+0.0000000000000000e+00j,1.3865332245041567e-01+0.0000000000000000e+00j,1.3865332245041567e-01+0.0000000000000000e+00j,1,True,False,1.0000000000000000e+00+0.0000000000000000e+00j,1.2988742344923721e-15-2.0310607163324328e-15j,0.0000000000000000e+00+0.0000000000000000e+00j,1.2988742344923721e-15-2.0310607163324328e-15j,-4.4861738743631935e-01+8.9372391692838304e-01j,1.2325099732336722e-15+2.0720041207334732e-15j,8.65766656544647e-27,1.7315333130892945e-30,dtn_port_modal_amplitudes,1.7315333130892945e-30,0.0
4,top,outgoing_up,air,-7,0,-7,0,s,-4.3982297150257105e-01+0.0000000000000000e+00j,0.0000000000000000e+00+0.0000000000000000e+00j,1.5222544329702142e-01+0.0000000000000000e+00j,1.5222544329702142e-01+0.0000000000000000e+00j,1,True,False,1.0000000000000000e+00+0.0000000000000000e+00j,-3.2769482325680531e-15+1.7585351307587490e-15j,0.0000000000000000e+00+0.0000000000000000e+00j,-3.2769482325680531e-15+1.7585351307587490e-15j,-9.5788529532529842e-01+2.8715111178535563e-01j,2.6339752076081839e-15-2.6254542713117291e-15j,2.2618279615746298e-26,4.5236559231492605e-30,dtn_port_modal_amplitudes,4.5236559231492605e-30,0.0
5,top,outgoing_up,air,-7,0,-7,0,p,-4.3982297150257105e-01+0.0000000000000000e+00j,0.0000000000000000e+00+0.0000000000000000e+00j,1.5222544329702142e-01+0.0000000000000000e+00j,1.5222544329702142e-01+0.0000000000000000e+00j,1,True,False,1.0000000000000000e+00+0.0000000000000000e+00j,-4.8698144187538656e-16-2.5901878515702980e-16j,0.0000000000000000e+00+0.0000000000000000e+00j,-4.8698144187538656e-16-2.5901878515702980e-16j,-9.5788529532529842e-01+2.8715111178535563e-01j,5.4084989439987754e-16+1.0827302306158873e-16j,4.975420920214445e-28,9.950841840428891e-32,dtn_port_modal_amplitudes,9.950841840428891e-32,0.0
6,top,outgoing_up,air,-7,1,-7,1,s,-4.3982297150257105e-01+0.0000000000000000e+00j,6.2831853071795868e-02+0.0000000000000000e+00j,1.3865332245041567e-01+0.0000000000000000e+00j,1.3865332245041567e-01+0.0000000000000000e+00j,1,True,False,1.0000000000000000e+00+0.0000000000000000e+00j,1.2681131026095089e-15+2.8099211705575337e-15j,0.0000000000000000e+00+0.0000000000000000e+00j,1.2681131026095089e-15+2.8099211705575337e-15j,-4.4861738743631935e-01+8.9372391692838304e-01j,-3.0801913418771093e-15-1.2723648526515007e-16j,1.4156308007495857e-26,2.831261601499172e-30,dtn_port_modal_amplitudes,2.831261601499172e-30,0.0
7,top,outgoing_up,air,-7,1,-7,1,p,-4.3982297150257105e-01+0.0000000000000000e+00j,6.2831853071795868e-02+0.0000000000000000e+00j,1.3865332245041567e-01+0.0000000000000000e+00j,1.3865332245041567e-01+0.0000000000000000e+00j,1,True,False,1.0000000000000000e+00+0.0000000000000000e+00j,-2.4455058904088612e-15+7.3191506757760083e-17j,0.0000000000000000e+00+0.0000000000000000e+00j,-2.4455058904088612e-15+7.3191506757760083e-17j,-4.4861738743631935e-01+8.9372391692838304e-01j,1.0316834634099175e-15-2.2184420857918344e-15j,8.916213398787201e-27,1.7832426797574406e-30,dtn_port_modal_amplitudes,1.7832426797574406e-30,0.0
8,top,outgoing_up,air,-7,2,-7,2,s,-4.3982297150257105e-01+0.0000000000000000e+00j,1.2566370614359174e-01+0.0000000000000000e+00j,8.5914018327812564e-02+0.0000000000000000e+00j,8.5914018327812564e-02+0.0000000000000000e+00j,1,True,False,1.0000000000000000e+00+0.0000000000000000e+00j,-1.3611575664272952e-15+1.3625573920955436e-15j,0.0000000000000000e+00+0.0000000000000000e+00j,-1.3611575664272952e-15+1.3625573920955436e-15j,4.2815674128062886e-01-9.0370448980623785e-01j,6.4856044484443944e-16+1.8134723369215392e-15j,3.423586991552667e-27,6.847173983105335e-31,dtn_port_modal_amplitudes,6.847173983105335e-31,0.0
9,top,outgoing_up,air,-7,2,-7,2,p,-4.3982297150257105e-01+0.0000000000000000e+00j,1.2566370614359174e-01+0.0000000000000000e+00j,8.5914018327812564e-02+0.0000000000000000e+00j,8.5914018327812564e-02+0.0000000000000000e+00j,1,True,False,1.0000000000000000e+00+0.0000000000000000e+00j,-9.5590074466457366e-16-1.2117077230758292e-15j,0.0000000000000000e+00+0.0000000000000000e+00j,-9.5590074466457366e-16-1.2117077230758292e-15j,4.2815674128062886e-01-9.0370448980623785e-01j,-1.5043010574998306e-15+3.4505096466578377e-16j,2.1984995582668102e-27,4.396999116533621e-31,dtn_port_modal_amplitudes,4.396999116533621e-31,0.0
10,top,outgoing_up,air,-6,-4,-6,-4,s,-3.7699111843077515e-01+0.0000000000000000e+00j,-2.5132741228718347e-01+0.0000000000000000e+00j,1.0643805853954440e-01+0.0000000000000000e+00j,1.0643805853954440e-01+0.0000000000000000e+00j,1,True,False,1.0000000000000000e+00+0.0000000000000000e+00j,-2.3567363388018437e-15+3.4820181438142968e-15j,0.0000000000000000e+00+0.0000000000000000e+00j,-2.3567363388018437e-15+3.4820181438142968e-15j,9.9469008590626495e-01+1.0291565964316193e-01j,-2.7025764654613287e-15+3.2209838516850138e-15j,2.0214830624756186e-26,4.042966124951238e-30,dtn_port_modal_amplitudes,4.042966124951238e-30,0.0
11,top,outgoing_up,air,-6,-4,-6,-4,p,-3.7699111843077515e-01+0.0000000000000000e+00j,-2.5132741228718347e-01+0.0000000000000000e+00j,1.0643805853954440e-01+0.0000000000000000e+00j,1.0643805853954440e-01+0.0000000000000000e+00j,1,True,False,1.0000000000000000e+00+0.0000000000000000e+00j,-1.4445881628406380e-15+3.5217552832301613e-15j,0.0000000000000000e+00+0.0000000000000000e+00j,-1.4445881628406380e-15+3.5217552832301613e-15j,9.9469008590626495e-01+1.0291565964316193e-01j,-1.7993612918705504e-15+3.3543843215256036e-15j,1.6568267678870602e-26,3.313653535774121e-30,dtn_port_modal_amplitudes,3.313653535774121e-30,0.0
12,top,outgoing_up,air,-6,-3,-6,-3,s,-3.7699111843077515e-01+0.0000000000000000e+00j,-1.8849555921538758e-01+0.0000000000000000e+00j,1.9739288900240984e-01+0.0000000000000000e+00j,1.9739288900240984e-01+0.0000000000000000e+00j,1,True,False,1.0000000000000000e+00+0.0000000000000000e+00j,1.2285035575456692e-15+1.2380129029061952e-14j,0.0000000000000000e+00+0.0000000000000000e+00j,1.2285035575456692e-15+1.2380129029061952e-14j,7.4995831046452544e-01-6.6148509625326746e-01j,9.1105972948335258e-15+8.4719438559575480e-15j,3.2821718430730113e-25,6.564343686146024e-29,dtn_port_modal_amplitudes,6.564343686146024e-29,0.0
13,top,outgoing_up,air,-6,-3,-6,-3,p,-3.7699111843077515e-01+0.0000000000000000e+00j,-1.8849555921538758e-01+0.0000000000000000e+00j,1.9739288900240984e-01+0.0000000000000000e+00j,1.9739288900240984e-01+0.0000000000000000e+00j,1,True,False,1.0000000000000000e+00+0.0000000000000000e+00j,-1.8074959928665926e-15+6.8617749221340594e-16j,0.0000000000000000e+00+0.0000000000000000e+00j,-1.8074959928665926e-15+6.8617749221340594e-16j,7.4995831046452544e-01-6.6148509625326746e-01j,-9.0165045649801914e-16+1.7102361735579041e-15j,7.92648998766172e-27,1.5852979975323444e-30,dtn_port_modal_amplitudes,1.5852979975323444e-30,0.0
14,top,outgoing_up,air,-6,-2,-6,-2,s,-3.7699111843077515e-01+0.0000000000000000e+00j,-1.2566370614359174e-01+0.0000000000000000e+00j,2.4228735301475479e-01+0.0000000000000000e+00j,2.4228735301475479e-01+0.0000000000000000e+00j,1,True,False,1.0000000000000000e+00+0.0000000000000000e+00j,8.3686342756290129e-15-7.1101211817232424e-15j,0.0000000000000000e+00+0.0000000000000000e+00j,8.3686342756290129e-15-7.1101211817232424e-15j,-3.8948672055607042e-01+9.2103208115161628e-01j,3.2891777896948768e-15+1.0477078425104977e-14j,3.138761002851391e-25,6.277522005702783e-29,dtn_port_modal_amplitudes,6.277522005702783e-29,0.0
15,top,outgoing_up,air,-6,-2,-6,-2,p,-3.7699111843077515e-01+0.0000000000000000e+00j,-1.2566370614359174e-01+0.0000000000000000e+00j,2.4228735301475479e-01+0.0000000000000000e+00j,2.4228735301475479e-01+0.0000000000000000e+00j,1,True,False,1.0000000000000000e+00+0.0000000000000000e+00j,-5.8648236599342727e-15-1.5606767936404217e-16j,0.0000000000000000e+00+0.0000000000000000e+00j,-5.8648236599342727e-15-1.5606767936404217e-16j,-3.8948672055607042e-01+9.2103208115161628e-01j,2.4280142734726172e-15-5.3409044524762049e-15j,8.959257049979324e-26,1.7918514099958652e-29,dtn_port_modal_amplitudes,1.7918514099958652e-29,0.0
16,top,outgoing_up,air,-6,-1,-6,-1,s,-3.7699111843077515e-01+0.0000000000000000e+00j,-6.2831853071795868e-02+0.0000000000000000e+00j,2.6560626256209324e-01+0.0000000000000000e+00j,2.6560626256209324e-01+0.0000000000000000e+00j,1,True,False,1.0000000000000000e+00+0.0000000000000000e+00j,2.5751280207004896e-14+1.2618878393238870e-14j,0.0000000000000000e+00+0.0000000000000000e+00j,2.5751280207004896e-14+1.2618878393238870e-14j,-9.7402708549712580e-01-2.2643152765896971e-01j,-2.2225132495924959e-14-1.8122031060055419e-14j,2.3465325470212264e-24,4.693065094042454e-28,dtn_port_modal_amplitudes,4.693065094042454e-28,0.0
17,top,outgoing_up,air,-6,-1,-6,-1,p,-3.7699111843077515e-01+0.0000000000000000e+00j,-6.2831853071795868e-02+0.0000000000000000e+00j,2.6560626256209324e-01+0.0000000000000000e+00j,2.6560626256209324e-01+0.0000000000000000e+00j,1,True,False,1.0000000000000000e+00+0.0000000000000000e+00j,-4.5971637803547066e-15-1.4771341333930431e-15j,0.0000000000000000e+00+0.0000000000000000e+00j,-4.5971637803547066e-15-1.4771341333930431e-15j,-9.7402708549712580e-01-2.2643152765896971e-01j,4.1432923001504491e-15+2.4797114725213485e-15j,6.652935040187606e-26,1.3305870080375216e-29,dtn_port_modal_amplitudes,1.3305870080375216e-29,0.0
18,top,outgoing_up,air,-6,0,-6,0,s,-3.7699111843077515e-01+0.0000000000000000e+00j,0.0000000000000000e+00+0.0000000000000000e+00j,2.7293685803247492e-01+0.0000000000000000e+00j,2.7293685803247492e-01+0.0000000000000000e+00j,1,True,False,1.0000000000000000e+00+0.0000000000000000e+00j,-6.1438792359472672e-16-2.7095999368510401e-15j,0.0000000000000000e+00+0.0000000000000000e+00j,-6.1438792359472672e-16-2.7095999368510401e-15j,-7.8490829720534228e-01-6.1961194709125000e-01j,-1.1966623137783380e-15+2.5074695701493315e-15j,2.2634446662526283e-26,4.526889332505258e-30,dtn_port_modal_amplitudes,4.526889332505258e-30,0.0
19,top,outgoing_up,air,-6,0,-6,0,p,-3.7699111843077515e-01+0.0000000000000000e+00j,0.0000000000000000e+00+0.0000000000000000e+00j,2.7293685803247492e-01+0.0000000000000000e+00j,2.7293685803247492e-01+0.0000000000000000e+00j,1,True,False,1.0000000000000000e+00+0.0000000000000000e+00j,7.8433203230180838e-15+3.3502133410938446e-15j,0.0000000000000000e+00+0.0000000000000000e+00j,7.8433203230180838e-15+3.3502133410938446e-15j,-7.8490829720534228e-01-6.1961194709125000e-01j,-4.0804549877299401e-15-7.4894252258381962e-15j,2.13289246655217e-25,4.2657849331043406e-29,dtn_port_modal_amplitudes,4.2657849331043406e-29,0.0
20,top,outgoing_up,air,-6,1,-6,1,s,-3.7699111843077515e-01+0.0000000000000000e+00j,6.2831853071795868e-02+0.0000000000000000e+00j,2.6560626256209324e-01+0.0000000000000000e+00j,2.6560626256209324e-01+0.0000000000000000e+00j,1,True,False,1.0000000000000000e+00+0.0000000000000000e+00j,3.9300225455208125e-15-5.9155251304935510e-15j,0.0000000000000000e+00+0.0000000000000000e+00j,3.9300225455208125e-15-5.9155251304935510e-15j,-9.7402708549712580e-01-2.2643152765896971e-01j,-5.1674097981543133e-15+4.8720006933231674e-15j,1.4392111170435685e-25,2.8784222340871377e-29,dtn_port_modal_amplitudes,2.8784222340871377e-29,0.0
21,top,outgoing_up,air,-6,1,-6,1,p,-3.7699111843077515e-01+0.0000000000000000e+00j,6.2831853071795868e-02+0.0000000000000000e+00j,2.6560626256209324e-01+0.0000000000000000e+00j,2.6560626256209324e-01+0.0000000000000000e+00j,1,True,False,1.0000000000000000e+00+0.0000000000000000e+00j,-9.3538890345755175e-15-3.3508613198161965e-15j,0.0000000000000000e+00+0.0000000000000000e+00j,-9.3538890345755175e-15-3.3508613198161965e-15j,-9.7402708549712580e-01-2.2643152765896971e-01j,8.3522006267917834e-15+5.3818450688970421e-15j,2.8169738168247225e-25,5.633947633649446e-29,dtn_port_modal_amplitudes,5.633947633649446e-29,0.0
