profile_name,run_stage,p,h_nm,status,case_status,failure_stage,returncode,ksp_converged_reason_text,ksp_iterations,residual_final_over_initial,true_relative_residual_norm,RSS_upper_GB,stdout_tail,stderr_tail
iter_gmres_none,stageA_required,2,4.0,failed,failed_not_converged,,0,DIVERGED_MAX_IT,1000,0.1766604378103267,0.1766604378103269,3.2965087890625,"linear system true relative residual = 0.1766604378103269
WARNING: PETSc KSP did not converge.
Linear solve summary:
  method               = iterative_krylov
  ksp_type             = gmres
  pc_type              = none
  pc factor solver    = None
  converged            = False
  converged reason     = -3
  reason name          = DIVERGED_MAX_IT
  iterations           = 1000
  residual norm        = 1.307647e+00
  max RSS across ranks = 422.0 MB
  official result      = False
  diagnostic only      = True
  validation role      = numerical_sanity_only
  physical benchmark  = False
  case status          = failed_not_converged
elapsed seconds = 36.139
3D case results: /work/fenics_vector_maxwell_floquet_demo_v2_parallel/results/3D_stage4_block_grating_normal_p2_h4p0_np8_20260706_140056",
iter_gmres_none,stageA_required,2,5.0,failed,failed_not_converged,,0,DIVERGED_MAX_IT,1000,0.19670438972330065,0.19670438972330057,2.793914794921875,"linear system true relative residual = 0.19670438972330057
WARNING: PETSc KSP did not converge.
Linear solve summary:
  method               = iterative_krylov
  ksp_type             = gmres
  pc_type              = none
  pc factor solver    = None
  converged            = False
  converged reason     = -3
  reason name          = DIVERGED_MAX_IT
  iterations           = 1000
  residual norm        = 1.339655e+00
  max RSS across ranks = 357.6 MB
  official result      = False
  diagnostic only      = True
  validation role      = numerical_sanity_only
  physical benchmark  = False
  case status          = failed_not_converged
elapsed seconds = 28.817
3D case results: /work/fenics_vector_maxwell_floquet_demo_v2_parallel/results/3D_stage4_block_grating_normal_p2_h5p0_np8_20260706_140024",
iter_gmres_jacobi,stageC_D_jacobi_h2_h1p5,2,1.5,failed,failed_not_converged,,0,DIVERGED_MAX_IT,1000,0.003558492368846422,0.16174109818404858,13.991607666015625,"linear system true relative residual = 0.16174109818404858
WARNING: PETSc KSP did not converge.
Linear solve summary:
  method               = iterative_krylov
  ksp_type             = gmres
  pc_type              = jacobi
  pc factor solver    = None
  converged            = False
  converged reason     = -3
  reason name          = DIVERGED_MAX_IT
  iterations           = 1000
  residual norm        = 2.844995e-02
  max RSS across ranks = 1790.9 MB
  official result      = False
  diagnostic only      = True
  validation role      = numerical_sanity_only
  physical benchmark  = False
  case status          = failed_not_converged
elapsed seconds = 545.986
3D case results: /work/fenics_vector_maxwell_floquet_demo_v2_parallel/results/3D_stage4_block_grating_normal_p2_h1p5_np8_20260706_144302",
iter_gmres_jacobi,stageC_D_jacobi_h2_h1p5,2,2.0,failed,failed_not_converged,,0,DIVERGED_MAX_IT,1000,0.005036181952190794,0.19617301722076627,8.87982177734375,"linear system true relative residual = 0.19617301722076627
WARNING: PETSc KSP did not converge.
Linear solve summary:
  method               = iterative_krylov
  ksp_type             = gmres
  pc_type              = jacobi
  pc factor solver    = None
  converged            = False
  converged reason     = -3
  reason name          = DIVERGED_MAX_IT
  iterations           = 1000
  residual norm        = 3.925172e-02
  max RSS across ranks = 1136.6 MB
  official result      = False
  diagnostic only      = True
  validation role      = numerical_sanity_only
  physical benchmark  = False
  case status          = failed_not_converged
elapsed seconds = 230.241
3D case results: /work/fenics_vector_maxwell_floquet_demo_v2_parallel/results/3D_stage4_block_grating_normal_p2_h2p0_np8_20260706_143909",
iter_gmres_jacobi,stageB_jacobi_h3_h2p5,2,2.5,failed,failed_not_converged,,0,DIVERGED_MAX_IT,1000,0.006853381568509611,0.2067679570833136,5.755889892578125,"linear system true relative residual = 0.2067679570833136
WARNING: PETSc KSP did not converge.
Linear solve summary:
  method               = iterative_krylov
  ksp_type             = gmres
  pc_type              = jacobi
  pc factor solver    = None
  converged            = False
  converged reason     = -3
  reason name          = DIVERGED_MAX_IT
  iterations           = 1000
  residual norm        = 5.254365e-02
  max RSS across ranks = 736.8 MB
  official result      = False
  diagnostic only      = True
  validation role      = numerical_sanity_only
  physical benchmark  = False
  case status          = failed_not_converged
elapsed seconds = 103.263
3D case results: /work/fenics_vector_maxwell_floquet_demo_v2_parallel/results/3D_stage4_block_grating_normal_p2_h2p5_np8_20260706_143644",
iter_gmres_jacobi,stageB_jacobi_h3_h2p5,2,3.0,failed,failed_not_converged,,0,DIVERGED_MAX_IT,1000,0.007913479930178886,0.21223989128185458,4.331939697265625,"linear system true relative residual = 0.21223989128185458
WARNING: PETSc KSP did not converge.
Linear solve summary:
  method               = iterative_krylov
  ksp_type             = gmres
  pc_type              = jacobi
  pc factor solver    = None
  converged            = False
  converged reason     = -3
  reason name          = DIVERGED_MAX_IT
  iterations           = 1000
  residual norm        = 6.157216e-02
  max RSS across ranks = 554.5 MB
  official result      = False
  diagnostic only      = True
  validation role      = numerical_sanity_only
  physical benchmark  = False
  case status          = failed_not_converged
elapsed seconds = 80.167
3D case results: /work/fenics_vector_maxwell_floquet_demo_v2_parallel/results/3D_stage4_block_grating_normal_p2_h3p0_np8_20260706_143521",
iter_gmres_jacobi,stageA_required,2,4.0,failed,failed_not_converged,,0,DIVERGED_MAX_IT,1000,0.011689409057276163,0.24221201791554256,3.265594482421875,"linear system true relative residual = 0.24221201791554256
WARNING: PETSc KSP did not converge.
Linear solve summary:
  method               = iterative_krylov
  ksp_type             = gmres
  pc_type              = jacobi
  pc factor solver    = None
  converged            = False
  converged reason     = -3
  reason name          = DIVERGED_MAX_IT
  iterations           = 1000
  residual norm        = 8.652542e-02
  max RSS across ranks = 418.0 MB
  official result      = False
  diagnostic only      = True
  validation role      = numerical_sanity_only
  physical benchmark  = False
  case status          = failed_not_converged
elapsed seconds = 35.878
3D case results: /work/fenics_vector_maxwell_floquet_demo_v2_parallel/results/3D_stage4_block_grating_normal_p2_h4p0_np8_20260706_140154",
iter_gmres_jacobi,stageA_required,2,5.0,failed,failed_not_converged,,0,DIVERGED_MAX_IT,1000,0.01775371774900348,0.23915939733874406,2.64324951171875,"linear system true relative residual = 0.23915939733874406
WARNING: PETSc KSP did not converge.
Linear solve summary:
  method               = iterative_krylov
  ksp_type             = gmres
  pc_type              = jacobi
  pc factor solver    = None
  converged            = False
  converged reason     = -3
  reason name          = DIVERGED_MAX_IT
  iterations           = 1000
  residual norm        = 1.209116e-01
  max RSS across ranks = 338.3 MB
  official result      = False
  diagnostic only      = True
  validation role      = numerical_sanity_only
  physical benchmark  = False
  case status          = failed_not_converged
elapsed seconds = 16.808
3D case results: /work/fenics_vector_maxwell_floquet_demo_v2_parallel/results/3D_stage4_block_grating_normal_p2_h5p0_np8_20260706_140135",
iter_gmres_bjacobi_ilu0,stageA_required,2,4.0,failed,failed_not_converged,,0,DIVERGED_BREAKDOWN,80,46.97225496705078,1.0001994748831173,3.26336669921875,"linear system true relative residual = 1.0001994748831173
WARNING: PETSc KSP did not converge.
Linear solve summary:
  method               = iterative_krylov
  ksp_type             = gmres
  pc_type              = bjacobi
  pc factor solver    = None
  converged            = False
  converged reason     = -5
  reason name          = DIVERGED_BREAKDOWN
  iterations           = 80
  residual norm        = 3.476903e+02
  max RSS across ranks = 417.7 MB
  official result      = False
  diagnostic only      = True
  validation role      = numerical_sanity_only
  physical benchmark  = False
  case status          = failed_not_converged
elapsed seconds = 12.560
3D case results: /work/fenics_vector_maxwell_floquet_demo_v2_parallel/results/3D_stage4_block_grating_normal_p2_h4p0_np8_20260706_140255",
iter_gmres_bjacobi_ilu0,stageA_required,2,5.0,failed,failed_not_converged,,0,DIVERGED_MAX_IT,1000,49.896663067355775,1.005037838764325,2.654052734375,"linear system true relative residual = 1.005037838764325
WARNING: PETSc KSP did not converge.
Linear solve summary:
  method               = iterative_krylov
  ksp_type             = gmres
  pc_type              = bjacobi
  pc factor solver    = None
  converged            = False
  converged reason     = -3
  reason name          = DIVERGED_MAX_IT
  iterations           = 1000
  residual norm        = 3.398211e+02
  max RSS across ranks = 339.7 MB
  official result      = False
  diagnostic only      = True
  validation role      = numerical_sanity_only
  physical benchmark  = False
  case status          = failed_not_converged
elapsed seconds = 20.366
3D case results: /work/fenics_vector_maxwell_floquet_demo_v2_parallel/results/3D_stage4_block_grating_normal_p2_h5p0_np8_20260706_140232",
