p,h_nm,profile_name,run_stage,mpi_ranks,ksp_type,pc_type,pc_asm_overlap,sub_ksp_type,sub_pc_type,sub_pc_factor_levels,sub_pc_factor_mat_solver_type,ksp_converged,ksp_converged_reason,ksp_converged_reason_text,ksp_iterations,ksp_initial_residual_norm,ksp_final_residual_norm,true_residual_norm,true_relative_residual_norm,residual_final_over_initial,setup_time_seconds,solve_time_seconds,elapsed_seconds,max_rss_mb,RSS_upper_GB,matrix_rows,nnz_used,estimated_AIJ_matrix_memory_GB,R_total_dtn_port_modal,T_total_dtn_port_modal,A_volume_total,R_plus_T_plus_A_volume,energy_closure_error_dtn_port_modal_volume,R_direct,T_direct,A_direct,abs_error_R,abs_error_T,abs_error_A,relative_error_R,relative_error_T,relative_error_A,status,case_status,failure_stage,returncode,stdout_tail,stderr_tail,result_dir,stdout_file,stderr_file,progress_file
2,4.0,iter_gmres_none,stageA_required,8,gmres,none,,,,,,False,-3,DIVERGED_MAX_IT,1000,7.402035073818602,1.307646756828188,1.3076467568281895,0.1766604378103269,0.1766604378103267,0.0007456419989466667,26.459906400064938,38.476235636044294,421.953125,3.2965087890625,98092,10608680.0,0.23785332590341568,,,,,,0.003554031430110215,0.5619170978701014,0.4345288706998287,,,,,,,failed,failed_not_converged,,0,"linear system true relative residual = 0.1766604378103269
WARNING: PETSc KSP did not converge.
Linear solve summary:
  method               = iterative_krylov
  ksp_type             = gmres
  pc_type              = none
  pc factor solver    = None
  converged            = False
  converged reason     = -3
  reason name          = DIVERGED_MAX_IT
  iterations           = 1000
  residual norm        = 1.307647e+00
  max RSS across ranks = 422.0 MB
  official result      = False
  diagnostic only      = True
  validation role      = numerical_sanity_only
  physical benchmark  = False
  case status          = failed_not_converged
elapsed seconds = 36.139
3D case results: /work/fenics_vector_maxwell_floquet_demo_v2_parallel/results/3D_stage4_block_grating_normal_p2_h4p0_np8_20260706_140056",,/work/fenics_vector_maxwell_floquet_demo_v2_parallel/results/3D_stage4_block_grating_normal_p2_h4p0_np8_20260706_140056,/work/fenics_vector_maxwell_floquet_demo_v2_parallel/results/matrix_scale_20260706_140022/run_np8_iter_gmres_none_h4p0_stdout.txt,/work/fenics_vector_maxwell_floquet_demo_v2_parallel/results/matrix_scale_20260706_140022/run_np8_iter_gmres_none_h4p0_stderr.txt,/work/fenics_vector_maxwell_floquet_demo_v2_parallel/results/3D_stage4_block_grating_normal_p2_h4p0_np8_20260706_140056/progress_3d.jsonl
2,5.0,iter_gmres_none,stageA_required,8,gmres,none,,,,,,False,-3,DIVERGED_MAX_IT,1000,6.810497444097911,1.3396547434533785,1.3396547434533779,0.19670438972330057,0.19670438972330065,0.00026869005523622036,11.879358995007351,31.236921668052673,357.62109375,2.793914794921875,44778,4896156.0,0.1097712442278862,,,,,,0.08902160293640748,0.4425882786570433,0.46839011840647865,,,,,,,failed,failed_not_converged,,0,"linear system true relative residual = 0.19670438972330057
WARNING: PETSc KSP did not converge.
Linear solve summary:
  method               = iterative_krylov
  ksp_type             = gmres
  pc_type              = none
  pc factor solver    = None
  converged            = False
  converged reason     = -3
  reason name          = DIVERGED_MAX_IT
  iterations           = 1000
  residual norm        = 1.339655e+00
  max RSS across ranks = 357.6 MB
  official result      = False
  diagnostic only      = True
  validation role      = numerical_sanity_only
  physical benchmark  = False
  case status          = failed_not_converged
elapsed seconds = 28.817
3D case results: /work/fenics_vector_maxwell_floquet_demo_v2_parallel/results/3D_stage4_block_grating_normal_p2_h5p0_np8_20260706_140024",,/work/fenics_vector_maxwell_floquet_demo_v2_parallel/results/3D_stage4_block_grating_normal_p2_h5p0_np8_20260706_140024,/work/fenics_vector_maxwell_floquet_demo_v2_parallel/results/matrix_scale_20260706_140022/run_np8_iter_gmres_none_h5p0_stdout.txt,/work/fenics_vector_maxwell_floquet_demo_v2_parallel/results/matrix_scale_20260706_140022/run_np8_iter_gmres_none_h5p0_stderr.txt,/work/fenics_vector_maxwell_floquet_demo_v2_parallel/results/3D_stage4_block_grating_normal_p2_h5p0_np8_20260706_140024/progress_3d.jsonl
2,1.5,iter_gmres_jacobi,stageC_D_jacobi_h2_h1p5,8,gmres,jacobi,,,,,,False,-3,DIVERGED_MAX_IT,1000,7.994945581565273,0.028449952841342444,1.2931112782840741,0.16174109818404858,0.003558492368846422,0.12164020503405482,360.8603527090745,551.0282113619614,1790.92578125,13.991607666015625,1347314,142656204.0,3.1986529156565666,,,,,,,,,,,,,,,failed,failed_not_converged,,0,"linear system true relative residual = 0.16174109818404858
WARNING: PETSc KSP did not converge.
Linear solve summary:
  method               = iterative_krylov
  ksp_type             = gmres
  pc_type              = jacobi
  pc factor solver    = None
  converged            = False
  converged reason     = -3
  reason name          = DIVERGED_MAX_IT
  iterations           = 1000
  residual norm        = 2.844995e-02
  max RSS across ranks = 1790.9 MB
  official result      = False
  diagnostic only      = True
  validation role      = numerical_sanity_only
  physical benchmark  = False
  case status          = failed_not_converged
elapsed seconds = 545.986
3D case results: /work/fenics_vector_maxwell_floquet_demo_v2_parallel/results/3D_stage4_block_grating_normal_p2_h1p5_np8_20260706_144302",,/work/fenics_vector_maxwell_floquet_demo_v2_parallel/results/3D_stage4_block_grating_normal_p2_h1p5_np8_20260706_144302,/work/fenics_vector_maxwell_floquet_demo_v2_parallel/results/matrix_scale_20260706_143906/run_np8_iter_gmres_jacobi_h1p5_stdout.txt,/work/fenics_vector_maxwell_floquet_demo_v2_parallel/results/matrix_scale_20260706_143906/run_np8_iter_gmres_jacobi_h1p5_stderr.txt,/work/fenics_vector_maxwell_floquet_demo_v2_parallel/results/3D_stage4_block_grating_normal_p2_h1p5_np8_20260706_144302/progress_3d.jsonl
2,2.0,iter_gmres_jacobi,stageC_D_jacobi_h2_h1p5,8,gmres,jacobi,,,,,,False,-3,DIVERGED_MAX_IT,1000,7.793943491933608,0.03925171755047093,1.528961410860771,0.19617301722076627,0.005036181952190794,0.04470465600024909,161.12276251101866,233.8976894869702,1136.6171875,8.87982177734375,615188,65448472.0,1.4674708619713783,,,,,,0.0013429328462348958,0.5992132294442478,0.3994438377095067,,,,,,,failed,failed_not_converged,,0,"linear system true relative residual = 0.19617301722076627
WARNING: PETSc KSP did not converge.
Linear solve summary:
  method               = iterative_krylov
  ksp_type             = gmres
  pc_type              = jacobi
  pc factor solver    = None
  converged            = False
  converged reason     = -3
  reason name          = DIVERGED_MAX_IT
  iterations           = 1000
  residual norm        = 3.925172e-02
  max RSS across ranks = 1136.6 MB
  official result      = False
  diagnostic only      = True
  validation role      = numerical_sanity_only
  physical benchmark  = False
  case status          = failed_not_converged
elapsed seconds = 230.241
3D case results: /work/fenics_vector_maxwell_floquet_demo_v2_parallel/results/3D_stage4_block_grating_normal_p2_h2p0_np8_20260706_143909",,/work/fenics_vector_maxwell_floquet_demo_v2_parallel/results/3D_stage4_block_grating_normal_p2_h2p0_np8_20260706_143909,/work/fenics_vector_maxwell_floquet_demo_v2_parallel/results/matrix_scale_20260706_143906/run_np8_iter_gmres_jacobi_h2p0_stdout.txt,/work/fenics_vector_maxwell_floquet_demo_v2_parallel/results/matrix_scale_20260706_143906/run_np8_iter_gmres_jacobi_h2p0_stderr.txt,/work/fenics_vector_maxwell_floquet_demo_v2_parallel/results/3D_stage4_block_grating_normal_p2_h2p0_np8_20260706_143909/progress_3d.jsonl
2,2.5,iter_gmres_jacobi,stageB_jacobi_h3_h2p5,8,gmres,jacobi,,,,,,False,-3,DIVERGED_MAX_IT,1000,7.666820893255791,0.05254364899890363,1.5852528934221655,0.2067679570833136,0.006853381568509611,0.002013241988606751,76.52255399397109,105.69857250794303,736.75390625,5.755889892578125,298062,31901652.0,0.7152782306075096,,,,,,0.002712189318226811,0.5928238031474521,0.4044640075343996,,,,,,,failed,failed_not_converged,,0,"linear system true relative residual = 0.2067679570833136
WARNING: PETSc KSP did not converge.
Linear solve summary:
  method               = iterative_krylov
  ksp_type             = gmres
  pc_type              = jacobi
  pc factor solver    = None
  converged            = False
  converged reason     = -3
  reason name          = DIVERGED_MAX_IT
  iterations           = 1000
  residual norm        = 5.254365e-02
  max RSS across ranks = 736.8 MB
  official result      = False
  diagnostic only      = True
  validation role      = numerical_sanity_only
  physical benchmark  = False
  case status          = failed_not_converged
elapsed seconds = 103.263
3D case results: /work/fenics_vector_maxwell_floquet_demo_v2_parallel/results/3D_stage4_block_grating_normal_p2_h2p5_np8_20260706_143644",,/work/fenics_vector_maxwell_floquet_demo_v2_parallel/results/3D_stage4_block_grating_normal_p2_h2p5_np8_20260706_143644,/work/fenics_vector_maxwell_floquet_demo_v2_parallel/results/matrix_scale_20260706_143520/run_np8_iter_gmres_jacobi_h2p5_stdout.txt,/work/fenics_vector_maxwell_floquet_demo_v2_parallel/results/matrix_scale_20260706_143520/run_np8_iter_gmres_jacobi_h2p5_stderr.txt,/work/fenics_vector_maxwell_floquet_demo_v2_parallel/results/3D_stage4_block_grating_normal_p2_h2p5_np8_20260706_143644/progress_3d.jsonl
2,3.0,iter_gmres_jacobi,stageB_jacobi_h3_h2p5,8,gmres,jacobi,,,,,,False,-3,DIVERGED_MAX_IT,1000,7.780668579681958,0.06157216464868664,1.6513682534518406,0.21223989128185458,0.007913479930178886,0.0014267329825088382,50.86413099395577,82.23556783806998,554.48828125,4.331939697265625,198518,21317860.0,0.4779703840613365,,,,,,0.004613031407462449,0.583653357178838,0.41173361141336706,,,,,,,failed,failed_not_converged,,0,"linear system true relative residual = 0.21223989128185458
WARNING: PETSc KSP did not converge.
Linear solve summary:
  method               = iterative_krylov
  ksp_type             = gmres
  pc_type              = jacobi
  pc factor solver    = None
  converged            = False
  converged reason     = -3
  reason name          = DIVERGED_MAX_IT
  iterations           = 1000
  residual norm        = 6.157216e-02
  max RSS across ranks = 554.5 MB
  official result      = False
  diagnostic only      = True
  validation role      = numerical_sanity_only
  physical benchmark  = False
  case status          = failed_not_converged
elapsed seconds = 80.167
3D case results: /work/fenics_vector_maxwell_floquet_demo_v2_parallel/results/3D_stage4_block_grating_normal_p2_h3p0_np8_20260706_143521",,/work/fenics_vector_maxwell_floquet_demo_v2_parallel/results/3D_stage4_block_grating_normal_p2_h3p0_np8_20260706_143521,/work/fenics_vector_maxwell_floquet_demo_v2_parallel/results/matrix_scale_20260706_143520/run_np8_iter_gmres_jacobi_h3p0_stdout.txt,/work/fenics_vector_maxwell_floquet_demo_v2_parallel/results/matrix_scale_20260706_143520/run_np8_iter_gmres_jacobi_h3p0_stderr.txt,/work/fenics_vector_maxwell_floquet_demo_v2_parallel/results/3D_stage4_block_grating_normal_p2_h3p0_np8_20260706_143521/progress_3d.jsonl
2,4.0,iter_gmres_jacobi,stageA_required,8,gmres,jacobi,,,,,,False,-3,DIVERGED_MAX_IT,1000,7.402035073818602,0.08652541583417099,1.7928618519112256,0.24221201791554256,0.011689409057276163,0.0007621980039402843,26.26487408799585,38.13414007599931,417.99609375,3.265594482421875,98092,10608680.0,0.23785332590341568,,,,,,0.003554031430110215,0.5619170978701014,0.4345288706998287,,,,,,,failed,failed_not_converged,,0,"linear system true relative residual = 0.24221201791554256
WARNING: PETSc KSP did not converge.
Linear solve summary:
  method               = iterative_krylov
  ksp_type             = gmres
  pc_type              = jacobi
  pc factor solver    = None
  converged            = False
  converged reason     = -3
  reason name          = DIVERGED_MAX_IT
  iterations           = 1000
  residual norm        = 8.652542e-02
  max RSS across ranks = 418.0 MB
  official result      = False
  diagnostic only      = True
  validation role      = numerical_sanity_only
  physical benchmark  = False
  case status          = failed_not_converged
elapsed seconds = 35.878
3D case results: /work/fenics_vector_maxwell_floquet_demo_v2_parallel/results/3D_stage4_block_grating_normal_p2_h4p0_np8_20260706_140154",,/work/fenics_vector_maxwell_floquet_demo_v2_parallel/results/3D_stage4_block_grating_normal_p2_h4p0_np8_20260706_140154,/work/fenics_vector_maxwell_floquet_demo_v2_parallel/results/matrix_scale_20260706_140022/run_np8_iter_gmres_jacobi_h4p0_stdout.txt,/work/fenics_vector_maxwell_floquet_demo_v2_parallel/results/matrix_scale_20260706_140022/run_np8_iter_gmres_jacobi_h4p0_stderr.txt,/work/fenics_vector_maxwell_floquet_demo_v2_parallel/results/3D_stage4_block_grating_normal_p2_h4p0_np8_20260706_140154/progress_3d.jsonl
2,5.0,iter_gmres_jacobi,stageA_required,8,gmres,jacobi,,,,,,False,-3,DIVERGED_MAX_IT,1000,6.810497444097911,0.12091164935282392,1.6287944643075132,0.23915939733874406,0.01775371774900348,0.00029180198907852173,12.087759741931222,19.62417862797156,338.3359375,2.64324951171875,44778,4896156.0,0.1097712442278862,,,,,,0.08902160293640748,0.4425882786570433,0.46839011840647865,,,,,,,failed,failed_not_converged,,0,"linear system true relative residual = 0.23915939733874406
WARNING: PETSc KSP did not converge.
Linear solve summary:
  method               = iterative_krylov
  ksp_type             = gmres
  pc_type              = jacobi
  pc factor solver    = None
  converged            = False
  converged reason     = -3
  reason name          = DIVERGED_MAX_IT
  iterations           = 1000
  residual norm        = 1.209116e-01
  max RSS across ranks = 338.3 MB
  official result      = False
  diagnostic only      = True
  validation role      = numerical_sanity_only
  physical benchmark  = False
  case status          = failed_not_converged
elapsed seconds = 16.808
3D case results: /work/fenics_vector_maxwell_floquet_demo_v2_parallel/results/3D_stage4_block_grating_normal_p2_h5p0_np8_20260706_140135",,/work/fenics_vector_maxwell_floquet_demo_v2_parallel/results/3D_stage4_block_grating_normal_p2_h5p0_np8_20260706_140135,/work/fenics_vector_maxwell_floquet_demo_v2_parallel/results/matrix_scale_20260706_140022/run_np8_iter_gmres_jacobi_h5p0_stdout.txt,/work/fenics_vector_maxwell_floquet_demo_v2_parallel/results/matrix_scale_20260706_140022/run_np8_iter_gmres_jacobi_h5p0_stderr.txt,/work/fenics_vector_maxwell_floquet_demo_v2_parallel/results/3D_stage4_block_grating_normal_p2_h5p0_np8_20260706_140135/progress_3d.jsonl
2,4.0,iter_gmres_bjacobi_ilu0,stageA_required,8,gmres,bjacobi,,preonly,ilu,0,,False,-5,DIVERGED_BREAKDOWN,80,7.402035073818602,347.6902787624599,7.403511593899782,1.0001994748831173,46.97225496705078,0.0008369289571419358,2.8991507249884307,14.782418230897747,417.7109375,3.26336669921875,98092,10608680.0,0.23785332590341568,,,,,,0.003554031430110215,0.5619170978701014,0.4345288706998287,,,,,,,failed,failed_not_converged,,0,"linear system true relative residual = 1.0001994748831173
WARNING: PETSc KSP did not converge.
Linear solve summary:
  method               = iterative_krylov
  ksp_type             = gmres
  pc_type              = bjacobi
  pc factor solver    = None
  converged            = False
  converged reason     = -5
  reason name          = DIVERGED_BREAKDOWN
  iterations           = 80
  residual norm        = 3.476903e+02
  max RSS across ranks = 417.7 MB
  official result      = False
  diagnostic only      = True
  validation role      = numerical_sanity_only
  physical benchmark  = False
  case status          = failed_not_converged
elapsed seconds = 12.560
3D case results: /work/fenics_vector_maxwell_floquet_demo_v2_parallel/results/3D_stage4_block_grating_normal_p2_h4p0_np8_20260706_140255",,/work/fenics_vector_maxwell_floquet_demo_v2_parallel/results/3D_stage4_block_grating_normal_p2_h4p0_np8_20260706_140255,/work/fenics_vector_maxwell_floquet_demo_v2_parallel/results/matrix_scale_20260706_140022/run_np8_iter_gmres_bjacobi_ilu0_h4p0_stdout.txt,/work/fenics_vector_maxwell_floquet_demo_v2_parallel/results/matrix_scale_20260706_140022/run_np8_iter_gmres_bjacobi_ilu0_h4p0_stderr.txt,/work/fenics_vector_maxwell_floquet_demo_v2_parallel/results/3D_stage4_block_grating_normal_p2_h4p0_np8_20260706_140255/progress_3d.jsonl
2,5.0,iter_gmres_bjacobi_ilu0,stageA_required,8,gmres,bjacobi,,preonly,ilu,0,,False,-3,DIVERGED_MAX_IT,1000,6.810497444097911,339.82109628924115,6.844807632126124,1.005037838764325,49.896663067355775,0.0004834379069507122,15.56000935495831,22.701554768020287,339.71875,2.654052734375,44778,4896156.0,0.1097712442278862,,,,,,0.08902160293640748,0.4425882786570433,0.46839011840647865,,,,,,,failed,failed_not_converged,,0,"linear system true relative residual = 1.005037838764325
WARNING: PETSc KSP did not converge.
Linear solve summary:
  method               = iterative_krylov
  ksp_type             = gmres
  pc_type              = bjacobi
  pc factor solver    = None
  converged            = False
  converged reason     = -3
  reason name          = DIVERGED_MAX_IT
  iterations           = 1000
  residual norm        = 3.398211e+02
  max RSS across ranks = 339.7 MB
  official result      = False
  diagnostic only      = True
  validation role      = numerical_sanity_only
  physical benchmark  = False
  case status          = failed_not_converged
elapsed seconds = 20.366
3D case results: /work/fenics_vector_maxwell_floquet_demo_v2_parallel/results/3D_stage4_block_grating_normal_p2_h5p0_np8_20260706_140232",,/work/fenics_vector_maxwell_floquet_demo_v2_parallel/results/3D_stage4_block_grating_normal_p2_h5p0_np8_20260706_140232,/work/fenics_vector_maxwell_floquet_demo_v2_parallel/results/matrix_scale_20260706_140022/run_np8_iter_gmres_bjacobi_ilu0_h5p0_stdout.txt,/work/fenics_vector_maxwell_floquet_demo_v2_parallel/results/matrix_scale_20260706_140022/run_np8_iter_gmres_bjacobi_ilu0_h5p0_stderr.txt,/work/fenics_vector_maxwell_floquet_demo_v2_parallel/results/3D_stage4_block_grating_normal_p2_h5p0_np8_20260706_140232/progress_3d.jsonl
