h_nm,solver_profile,status,case_status,ksp_converged,ksp_iterations,ksp_converged_reason_text,true_relative_residual_norm,R_total,T_total,A_volume_total,R_plus_T_plus_A_volume,energy_closure_error_dtn_port_modal_volume,RSS_upper_GB,peak_RSS_per_rank_max_GB,elapsed_wall_s,mumps_blr_epsilon,pc_side,ksp_norm_type,source_csv
1.5,iter_fgmres_mumps_blr_eps1e-5,failed,,,,,,,,,,,13.8050537109375,1.7256317138671875,1761.8432872160338,,,,results/matrix_scale_20260707_025936/matrix_scale.csv
2.0,iter_fgmres_mumps_blr_eps1e-3,timeout,,,,,,,,,,,16.268951416015625,2.033618927001953,1801.332448879024,,,,results/matrix_scale_20260707_014819/matrix_scale.csv
2.0,iter_fgmres_mumps_blr_eps1e-4,completed,completed,True,7,CONVERGED_RTOL,1.882709463062274e-07,0.0013429336862319657,0.599213229698103,0.399443838272875,1.00000000165721,1.657209924843528e-09,18.091888427734375,2.261486053466797,1233.9342700359412,0.0001,right,unpreconditioned,results/matrix_scale_20260707_032944/matrix_scale.csv
2.0,iter_fgmres_mumps_blr_eps1e-5,completed,completed,True,4,CONVERGED_RTOL,2.0853407776562806e-08,0.0013429328391821548,0.5992132289400783,0.39944383755066654,0.9999999993299271,-6.70072886066464e-10,17.85272216796875,2.2315902709960938,1357.5722813329194,1e-05,right,unpreconditioned,results/matrix_scale_20260707_014819/matrix_scale.csv
2.5,iter_fgmres_mumps_blr_eps1e-3,completed,completed,True,15,CONVERGED_RTOL,4.309560397048092e-07,0.002712188766886425,0.5928237948377955,0.4044640042256591,0.9999999878303409,-1.216965905825873e-08,14.42242431640625,1.8028030395507812,83.487656073994,0.001,right,unpreconditioned,results/matrix_scale_20260707_014819/matrix_scale.csv
2.5,iter_fgmres_mumps_blr_eps1e-5,completed,completed,True,4,CONVERGED_RTOL,6.211619075049376e-09,0.002712189315197842,0.5928238033789556,0.4044640076510545,1.0000000003452079,3.452078622956378e-10,14.603363037109375,1.8254203796386719,164.90802382398397,1e-05,right,unpreconditioned,results/matrix_scale_20260707_014819/matrix_scale.csv
3.0,iter_fgmres_mumps_blr_eps1e-3,completed,completed,True,15,CONVERGED_RTOL,8.130103642637025e-07,0.004613027756498058,0.5836533681266566,0.4117336172576558,1.0000000131408104,1.3140810439793427e-08,10.288055419921875,1.2860069274902344,64.01479058200493,0.001,right,unpreconditioned,results/matrix_scale_20260707_014819/matrix_scale.csv
3.0,iter_fgmres_mumps_blr_eps1e-5,completed,completed,True,3,CONVERGED_RTOL,1.4643774578163852e-07,0.004613030836025176,0.5836533558477468,0.41173361008354464,0.9999999967673165,-3.2326834542573124e-09,10.49896240234375,1.3123703002929688,73.00056332105305,1e-05,right,unpreconditioned,results/matrix_scale_20260707_014819/matrix_scale.csv
4.0,iter_fgmres_mumps_blr_eps1e-3,completed,completed,True,11,CONVERGED_RTOL,3.9743601389701264e-07,0.0035540304829190794,0.5619170852911599,0.43452886151513337,0.9999999772892124,-2.2710787583868353e-08,6.35400390625,0.79425048828125,19.994722233037464,0.001,right,unpreconditioned,results/matrix_scale_20260707_014137/matrix_scale.csv
4.0,iter_fgmres_mumps_blr_eps1e-5,completed,completed,True,3,CONVERGED_RTOL,1.9634459079656805e-08,0.003554031535520734,0.5619170973029842,0.4345288704763446,0.9999999993148495,-6.851504918969908e-10,6.38653564453125,0.7983169555664062,19.964718133909628,1e-05,right,unpreconditioned,results/matrix_scale_20260707_014137/matrix_scale.csv
5.0,iter_fgmres_mumps_blr_eps1e-3,completed,completed,True,8,CONVERGED_RTOL,2.1212168180759285e-07,0.08902160792712736,0.44258828038881315,0.46839012835123084,1.0000000166671712,1.666717119874761e-08,4.026702880859375,0.5033378601074219,26.779282359057106,0.001,right,unpreconditioned,results/matrix_scale_20260707_014137/matrix_scale.csv
5.0,iter_fgmres_mumps_blr_eps1e-5,completed,completed,True,3,CONVERGED_RTOL,3.1393654429352335e-09,0.0890216026863545,0.4425882788851334,0.46839011852053036,1.0000000000920184,9.201839290540192e-11,3.843017578125,0.480377197265625,11.30023024789989,1e-05,right,unpreconditioned,results/matrix_scale_20260707_014137/matrix_scale.csv
