h_nm,solver_profile,blr_converged,blr_iterations,blr_true_relative_residual_norm,R_blr,R_direct,abs_error_R,T_blr,T_direct,abs_error_T,A_blr,A_direct,abs_error_A,closure_error_blr,RSS_upper_GB_blr,RSS_upper_GB_direct,elapsed_wall_s_blr,elapsed_wall_s_direct
2.0,iter_fgmres_mumps_blr_eps1e-4,True,7,1.882709463062274e-07,0.0013429336862319657,0.0013429328462348958,8.399970699481812e-10,0.599213229698103,0.5992132294442478,2.5385515911580114e-10,0.399443838272875,0.3994438377095067,5.633682964578668e-10,1.657209924843528e-09,18.091888427734375,20.532958984375,1233.9342700359412,1665.7796797530027
2.0,iter_fgmres_mumps_blr_eps1e-5,True,4,2.0853407776562806e-08,0.0013429328391821548,0.0013429328462348958,7.052740986709938e-12,0.5992132289400783,0.5992132294442478,5.041694839391653e-10,0.39944383755066654,0.3994438377095067,1.5884016324463346e-10,-6.70072886066464e-10,17.85272216796875,20.532958984375,1357.5722813329194,1665.7796797530027
2.5,iter_fgmres_mumps_blr_eps1e-3,True,15,4.309560397048092e-07,0.002712188766886425,0.002712189318226811,5.513403861061306e-10,0.5928237948377955,0.5928238031474521,8.309656629457152e-09,0.4044640042256591,0.4044640075343996,3.308740503804586e-09,-1.216965905825873e-08,14.42242431640625,14.81011962890625,83.487656073994,327.8873612630414
2.5,iter_fgmres_mumps_blr_eps1e-5,True,4,6.211619075049376e-09,0.002712189315197842,0.002712189318226811,3.0289690026996663e-12,0.5928238033789556,0.5928238031474521,2.3150348305023272e-10,0.4044640076510545,0.4044640075343996,1.1665490795564892e-10,3.452078622956378e-10,14.603363037109375,14.81011962890625,164.90802382398397,327.8873612630414
3.0,iter_fgmres_mumps_blr_eps1e-3,True,15,8.130103642637025e-07,0.004613027756498058,0.004613031407462449,3.6509643910540013e-09,0.5836533681266566,0.583653357178838,1.0947818540607557e-08,0.4117336172576558,0.41173361141336706,5.844288719636381e-09,1.3140810439793427e-08,10.288055419921875,11.897491455078125,64.01479058200493,194.7712757930858
3.0,iter_fgmres_mumps_blr_eps1e-5,True,3,1.4643774578163852e-07,0.004613030836025176,0.004613031407462449,5.714372733681139e-10,0.5836533558477468,0.583653357178838,1.331091237233295e-09,0.41173361008354464,0.41173361141336706,1.3298224188496022e-09,-3.2326834542573124e-09,10.49896240234375,11.897491455078125,73.00056332105305,194.7712757930858
4.0,iter_fgmres_mumps_blr_eps1e-3,True,11,3.9743601389701264e-07,0.0035540304829190794,0.003554031430110215,9.471911354211326e-10,0.5619170852911599,0.5619170978701014,1.2578941444019165e-08,0.43452886151513337,0.4345288706998287,9.184695337616233e-09,-2.2710787583868353e-08,6.35400390625,6.328216552734375,19.994722233037464,142.24554827902466
4.0,iter_fgmres_mumps_blr_eps1e-5,True,3,1.9634459079656805e-08,0.003554031535520734,0.003554031430110215,1.054105192889454e-10,0.5619170973029842,0.5619170978701014,5.671171310339673e-10,0.4345288704763446,0.4345288706998287,2.2348412009876029e-10,-6.851504918969908e-10,6.38653564453125,6.328216552734375,19.964718133909628,142.24554827902466
5.0,iter_fgmres_mumps_blr_eps1e-3,True,8,2.1212168180759285e-07,0.08902160792712736,0.08902160293640748,4.990719879027772e-09,0.44258828038881315,0.4425882786570433,1.7317698386420943e-09,0.46839012835123084,0.46839011840647865,9.944752188406625e-09,1.666717119874761e-08,4.026702880859375,3.81683349609375,26.779282359057106,145.88544139801525
5.0,iter_fgmres_mumps_blr_eps1e-5,True,3,3.1393654429352335e-09,0.0890216026863545,0.08902160293640748,2.5005297832336737e-10,0.4425882788851334,0.4425882786570433,2.2809010236102267e-10,0.46839011852053036,0.46839011840647865,1.1405171251865909e-10,9.201839290540192e-11,3.843017578125,3.81683349609375,11.30023024789989,145.88544139801525
