h_nm,solver_profile,status,case_status,returncode,last_progress_stage,last_progress_status,failure_stage,petsc_error_code,petsc_error_type,ksp_converged_reason_text,ksp_iterations,true_relative_residual_norm,RSS_upper_GB,elapsed_wall_s,stderr_tail,source_csv
1.5,iter_fgmres_mumps_blr_eps1e-5,failed,,9,stage4_dtn_augmented_ksp_setup,begin,,,,,,,13.8050537109375,1761.8432872160338,,results/matrix_scale_20260707_025936/matrix_scale.csv
2.0,iter_fgmres_mumps_blr_eps1e-3,timeout,,124,stage4_dtn_augmented_solve,begin,,,,,,,16.268951416015625,1801.332448879024, [matrix-scale] timeout after 1800.0 seconds,results/matrix_scale_20260707_014819/matrix_scale.csv
4.0,iter_fgmres_positive_maxwell_asm1_ilu0,failed,failed_not_converged,0,stage4_dtn_augmented_solve,end,,,,DIVERGED_MAX_IT,1000,0.2594342999958744,3.93035888671875,56.009558254037984,,results/matrix_scale_20260707_024939/matrix_scale.csv
4.0,iter_fgmres_positive_maxwell_asm1_lu,failed,failed_not_converged,0,stage4_dtn_augmented_solve,end,,,,DIVERGED_MAX_IT,1000,0.19780021330383424,5.4791259765625,105.03971589996945,,results/matrix_scale_20260707_024939/matrix_scale.csv
4.0,iter_fgmres_shifted_a0p2_asm1_ilu0,failed,failed_not_converged,0,stage4_dtn_augmented_solve,end,,,,DIVERGED_MAX_IT,1000,0.941721081955355,3.884033203125,55.85968858492561,,results/matrix_scale_20260707_024939/matrix_scale.csv
4.0,iter_fgmres_shifted_a0p5_asm1_ilu0,failed,failed_not_converged,0,stage4_dtn_augmented_solve,end,,,,DIVERGED_MAX_IT,1000,0.8179202124897857,3.881561279296875,56.98982369503938,,results/matrix_scale_20260707_024939/matrix_scale.csv
4.0,iter_fgmres_shifted_a1p0_asm1_ilu0,failed,failed_not_converged,0,stage4_dtn_augmented_solve,end,,,,DIVERGED_MAX_IT,1000,0.7061267887773834,3.86297607421875,56.39251088502351,,results/matrix_scale_20260707_024939/matrix_scale.csv
5.0,iter_fgmres_positive_maxwell_asm1_ilu0,failed,failed_not_converged,0,stage4_dtn_augmented_solve,end,,,,DIVERGED_MAX_IT,1000,0.18293506626973602,3.0206298828125,38.12336112500634,,results/matrix_scale_20260707_024939/matrix_scale.csv
5.0,iter_fgmres_positive_maxwell_asm1_lu,failed,failed_not_converged,0,stage4_dtn_augmented_solve,end,,,,DIVERGED_MAX_IT,1000,0.1936753134247894,3.56243896484375,44.21249134792015,,results/matrix_scale_20260707_024939/matrix_scale.csv
5.0,iter_fgmres_shifted_a0p2_asm1_ilu0,failed,failed_not_converged,0,stage4_dtn_augmented_solve,end,,,,DIVERGED_MAX_IT,1000,0.9418485008630986,3.07525634765625,50.75809968903195,,results/matrix_scale_20260707_024939/matrix_scale.csv
5.0,iter_fgmres_shifted_a0p5_asm1_ilu0,failed,failed_not_converged,0,stage4_dtn_augmented_solve,end,,,,DIVERGED_MAX_IT,1000,0.856446226428342,3.02288818359375,38.286828508018516,,results/matrix_scale_20260707_024939/matrix_scale.csv
5.0,iter_fgmres_shifted_a1p0_asm1_ilu0,failed,failed_not_converged,0,stage4_dtn_augmented_solve,end,,,,DIVERGED_MAX_IT,1000,0.7108519304998949,3.0284423828125,38.69394986901898,,results/matrix_scale_20260707_024939/matrix_scale.csv
5.0,iter_fgmres_shifted_a0p5_asm1_ilu0,failed,failed_not_converged,0,stage4_dtn_augmented_solve,end,,,,DIVERGED_MAX_IT,1000,0.8564462264284832,3.067138671875,54.06432101293467,,results/matrix_scale_20260707_024809/matrix_scale.csv
