h_nm,solver_profile,status,preconditioner_family,A_matrix_rows,P_matrix_rows,A_nnz_used,P_nnz_used,A_estimated_memory_GB,P_estimated_memory_GB,A_norm_frobenius,P_norm_frobenius,preconditioner_auxiliary_treatment,source_csv
1.5,iter_fgmres_mumps_blr_eps1e-5,failed,,,,,,3.1986529156565666,,,,,results/matrix_scale_20260707_025936/matrix_scale.csv
2.0,iter_fgmres_mumps_blr_eps1e-3,timeout,,,,,,1.4674708619713783,,,,,results/matrix_scale_20260707_014819/matrix_scale.csv
2.0,iter_fgmres_mumps_blr_eps1e-4,completed,mumps_blr,615188,,65448472.0,,1.4674708619713783,,45781.66504914311,,,results/matrix_scale_20260707_032944/matrix_scale.csv
2.0,iter_fgmres_mumps_blr_eps1e-5,completed,mumps_blr,615188,,65448472.0,,1.4674708619713783,,45781.66504916969,,,results/matrix_scale_20260707_014819/matrix_scale.csv
2.5,iter_fgmres_mumps_blr_eps1e-3,completed,mumps_blr,298062,,31901652.0,,0.7152782306075096,,24471.269253768933,,,results/matrix_scale_20260707_014819/matrix_scale.csv
2.5,iter_fgmres_mumps_blr_eps1e-5,completed,mumps_blr,298062,,31901652.0,,0.7152782306075096,,24471.269253768933,,,results/matrix_scale_20260707_014819/matrix_scale.csv
3.0,iter_fgmres_mumps_blr_eps1e-3,completed,mumps_blr,198518,,21317860.0,,0.4779703840613365,,17263.624641633887,,,results/matrix_scale_20260707_014819/matrix_scale.csv
3.0,iter_fgmres_mumps_blr_eps1e-5,completed,mumps_blr,198518,,21317860.0,,0.4779703840613365,,17263.624641633887,,,results/matrix_scale_20260707_014819/matrix_scale.csv
4.0,iter_fgmres_mumps_blr_eps1e-3,completed,mumps_blr,98092,,10608680.0,,0.23785332590341568,,9356.812175401727,,,results/matrix_scale_20260707_014137/matrix_scale.csv
4.0,iter_fgmres_mumps_blr_eps1e-5,completed,mumps_blr,98092,,10608680.0,,0.23785332590341568,,9356.812175401727,,,results/matrix_scale_20260707_014137/matrix_scale.csv
5.0,iter_fgmres_mumps_blr_eps1e-3,completed,mumps_blr,44778,,4896156.0,,0.1097712442278862,,4589.307975674175,,,results/matrix_scale_20260707_014137/matrix_scale.csv
5.0,iter_fgmres_mumps_blr_eps1e-5,completed,mumps_blr,44778,,4896156.0,,0.1097712442278862,,4589.307975674175,,,results/matrix_scale_20260707_014137/matrix_scale.csv
4.0,iter_fgmres_positive_maxwell_asm1_ilu0,failed,positive_maxwell_minimal,98092,98092,10608680.0,10511240.0,0.23785332590341568,0.2356753721833229,9356.812175401727,10526.790154704968,identity_auxiliary_block_no_dtn_schur_coupling,results/matrix_scale_20260707_024939/matrix_scale.csv
4.0,iter_fgmres_positive_maxwell_asm1_lu,failed,positive_maxwell_minimal,98092,98092,10608680.0,10511240.0,0.23785332590341568,0.2356753721833229,9356.812175401727,10526.790154704968,identity_auxiliary_block_no_dtn_schur_coupling,results/matrix_scale_20260707_024939/matrix_scale.csv
4.0,iter_fgmres_shifted_a0p2_asm1_ilu0,failed,shifted_maxwell_minimal,98092,98092,10608680.0,10511240.0,0.23785332590341568,0.2356753721833229,9356.812175401727,9356.527590836697,identity_auxiliary_block_no_dtn_schur_coupling,results/matrix_scale_20260707_024939/matrix_scale.csv
4.0,iter_fgmres_shifted_a0p5_asm1_ilu0,failed,shifted_maxwell_minimal,98092,98092,10608680.0,10511240.0,0.23785332590341568,0.2356753721833229,9356.812175401727,9364.441019299938,identity_auxiliary_block_no_dtn_schur_coupling,results/matrix_scale_20260707_024939/matrix_scale.csv
4.0,iter_fgmres_shifted_a1p0_asm1_ilu0,failed,shifted_maxwell_minimal,98092,98092,10608680.0,10511240.0,0.23785332590341568,0.2356753721833229,9356.812175401727,9392.184686444049,identity_auxiliary_block_no_dtn_schur_coupling,results/matrix_scale_20260707_024939/matrix_scale.csv
5.0,iter_fgmres_positive_maxwell_asm1_ilu0,failed,positive_maxwell_minimal,44778,44778,4896156.0,4840476.0,0.1097712442278862,0.10852669924497604,4589.307975674175,5615.145947202804,identity_auxiliary_block_no_dtn_schur_coupling,results/matrix_scale_20260707_024939/matrix_scale.csv
5.0,iter_fgmres_positive_maxwell_asm1_lu,failed,positive_maxwell_minimal,44778,44778,4896156.0,4840476.0,0.1097712442278862,0.10852669924497604,4589.307975674175,5615.145947202804,identity_auxiliary_block_no_dtn_schur_coupling,results/matrix_scale_20260707_024939/matrix_scale.csv
5.0,iter_fgmres_shifted_a0p2_asm1_ilu0,failed,shifted_maxwell_minimal,44778,44778,4896156.0,4840476.0,0.1097712442278862,0.10852669924497604,4589.307975674175,4587.6440851543675,identity_auxiliary_block_no_dtn_schur_coupling,results/matrix_scale_20260707_024939/matrix_scale.csv
5.0,iter_fgmres_shifted_a0p5_asm1_ilu0,failed,shifted_maxwell_minimal,44778,44778,4896156.0,4840476.0,0.1097712442278862,0.10852669924497604,4589.307975674175,4600.091697723791,identity_auxiliary_block_no_dtn_schur_coupling,results/matrix_scale_20260707_024939/matrix_scale.csv
5.0,iter_fgmres_shifted_a1p0_asm1_ilu0,failed,shifted_maxwell_minimal,44778,44778,4896156.0,4840476.0,0.1097712442278862,0.10852669924497604,4589.307975674175,4643.856834800509,identity_auxiliary_block_no_dtn_schur_coupling,results/matrix_scale_20260707_024939/matrix_scale.csv
