h_nm,solver_profile,status,case_status,ksp_converged,ksp_iterations,ksp_converged_reason_text,true_relative_residual_norm,R_total,T_total,A_volume_total,RSS_upper_GB,elapsed_wall_s,preconditioner_family,shifted_preconditioner_alpha,positive_maxwell_preconditioner_enabled,preconditioner_operator_enabled,preconditioner_operator_smoke_ready,preconditioner_auxiliary_treatment,A_matrix_rows,P_matrix_rows,A_nnz_used,P_nnz_used,A_estimated_memory_GB,P_estimated_memory_GB,source_csv
4.0,iter_fgmres_positive_maxwell_asm1_ilu0,failed,failed_not_converged,False,1000,DIVERGED_MAX_IT,0.2594342999958744,,,,3.93035888671875,56.009558254037984,positive_maxwell_minimal,,True,True,True,identity_auxiliary_block_no_dtn_schur_coupling,98092,98092,10608680.0,10511240.0,0.23785332590341568,0.2356753721833229,results/matrix_scale_20260707_024939/matrix_scale.csv
4.0,iter_fgmres_positive_maxwell_asm1_lu,failed,failed_not_converged,False,1000,DIVERGED_MAX_IT,0.19780021330383424,,,,5.4791259765625,105.03971589996945,positive_maxwell_minimal,,True,True,True,identity_auxiliary_block_no_dtn_schur_coupling,98092,98092,10608680.0,10511240.0,0.23785332590341568,0.2356753721833229,results/matrix_scale_20260707_024939/matrix_scale.csv
4.0,iter_fgmres_shifted_a0p2_asm1_ilu0,failed,failed_not_converged,False,1000,DIVERGED_MAX_IT,0.941721081955355,,,,3.884033203125,55.85968858492561,shifted_maxwell_minimal,0.2,False,True,True,identity_auxiliary_block_no_dtn_schur_coupling,98092,98092,10608680.0,10511240.0,0.23785332590341568,0.2356753721833229,results/matrix_scale_20260707_024939/matrix_scale.csv
4.0,iter_fgmres_shifted_a0p5_asm1_ilu0,failed,failed_not_converged,False,1000,DIVERGED_MAX_IT,0.8179202124897857,,,,3.881561279296875,56.98982369503938,shifted_maxwell_minimal,0.5,False,True,True,identity_auxiliary_block_no_dtn_schur_coupling,98092,98092,10608680.0,10511240.0,0.23785332590341568,0.2356753721833229,results/matrix_scale_20260707_024939/matrix_scale.csv
4.0,iter_fgmres_shifted_a1p0_asm1_ilu0,failed,failed_not_converged,False,1000,DIVERGED_MAX_IT,0.7061267887773834,,,,3.86297607421875,56.39251088502351,shifted_maxwell_minimal,1.0,False,True,True,identity_auxiliary_block_no_dtn_schur_coupling,98092,98092,10608680.0,10511240.0,0.23785332590341568,0.2356753721833229,results/matrix_scale_20260707_024939/matrix_scale.csv
5.0,iter_fgmres_positive_maxwell_asm1_ilu0,failed,failed_not_converged,False,1000,DIVERGED_MAX_IT,0.18293506626973602,,,,3.0206298828125,38.12336112500634,positive_maxwell_minimal,,True,True,True,identity_auxiliary_block_no_dtn_schur_coupling,44778,44778,4896156.0,4840476.0,0.1097712442278862,0.10852669924497604,results/matrix_scale_20260707_024939/matrix_scale.csv
5.0,iter_fgmres_positive_maxwell_asm1_lu,failed,failed_not_converged,False,1000,DIVERGED_MAX_IT,0.1936753134247894,,,,3.56243896484375,44.21249134792015,positive_maxwell_minimal,,True,True,True,identity_auxiliary_block_no_dtn_schur_coupling,44778,44778,4896156.0,4840476.0,0.1097712442278862,0.10852669924497604,results/matrix_scale_20260707_024939/matrix_scale.csv
5.0,iter_fgmres_shifted_a0p2_asm1_ilu0,failed,failed_not_converged,False,1000,DIVERGED_MAX_IT,0.9418485008630986,,,,3.07525634765625,50.75809968903195,shifted_maxwell_minimal,0.2,False,True,True,identity_auxiliary_block_no_dtn_schur_coupling,44778,44778,4896156.0,4840476.0,0.1097712442278862,0.10852669924497604,results/matrix_scale_20260707_024939/matrix_scale.csv
5.0,iter_fgmres_shifted_a0p5_asm1_ilu0,failed,failed_not_converged,False,1000,DIVERGED_MAX_IT,0.856446226428342,,,,3.02288818359375,38.286828508018516,shifted_maxwell_minimal,0.5,False,True,True,identity_auxiliary_block_no_dtn_schur_coupling,44778,44778,4896156.0,4840476.0,0.1097712442278862,0.10852669924497604,results/matrix_scale_20260707_024939/matrix_scale.csv
5.0,iter_fgmres_shifted_a1p0_asm1_ilu0,failed,failed_not_converged,False,1000,DIVERGED_MAX_IT,0.7108519304998949,,,,3.0284423828125,38.69394986901898,shifted_maxwell_minimal,1.0,False,True,True,identity_auxiliary_block_no_dtn_schur_coupling,44778,44778,4896156.0,4840476.0,0.1097712442278862,0.10852669924497604,results/matrix_scale_20260707_024939/matrix_scale.csv
