id,title,authors,year,venue_or_arxiv,url_or_doi,problem_type,method_family,krylov_method,preconditioner,matrix_type_complex_or_real,finite_element_or_discretization,boundary_condition_type,periodic_or_not,high_frequency_or_not,reported_problem_size,reported_memory,reported_iterations,reported_accuracy_metric,implementation_library,relevance_to_this_project,risk_or_limitation,human_read_status
"Fressart2025","High Performance Parallel Solvers for the time-harmonic Maxwell Equations","Elise Fressart; Sebastien Dubois; Loic Gouarin; Marc Massot; Michel Nowak; Nicole Spillane","2025","arXiv:2507.13066","https://arxiv.org/abs/2507.13066","large-scale time-harmonic Maxwell","HX/AMS; BLR; RAS; sparse approximate inverse","FGMRES/GMRES style comparisons","Hiptmair-Xu; MUMPS-BLR; RAS; ParaSails","complex Maxwell and split real blocks discussed","Nedelec finite element","scattering / wave problems","not primary focus","yes","up to tens of millions of DoF in selected tests","BLR and HX memory compared qualitatively/quantitatively","HX may require hundreds of iterations in enlarged-domain cases; BLR few iterations depending tolerance","linear residual and timing","PETSc; hypre; MUMPS","非常相关：与本项目同为 time-harmonic Maxwell、PETSc/hypre/MUMPS 路线；支持 HX/BLR 优先级","work in progress；几何与 Floquet/DtN 光栅不完全相同","read_key_sections"
"HiptmairXu2007","Nodal auxiliary space preconditioning in H(curl) and H(div) spaces","Ralf Hiptmair; Jinchao Xu","2007","SIAM Journal on Numerical Analysis","https://doi.org/10.1137/060660588","definite H(curl)/H(div) auxiliary-space theory","auxiliary-space preconditioning","CG/iterative context","HX auxiliary-space preconditioner","real definite/semi-definite","edge/nodal finite elements","standard H(curl) settings","not primary focus","not wave-high-frequency focus","theoretical","not main metric","condition-number robustness","spectral equivalence","theoretical","基础理论：解释为什么 AMS/HX 是 H(curl) 正确结构","不是 complex indefinite time-harmonic Maxwell 的完整求解器","skimmed"
"KolevVassilevski2009","Parallel Auxiliary Space AMG for H(curl) Problems","Tzanio V. Kolev; Panayot S. Vassilevski","2009","Journal of Computational Mathematics","https://doi.org/10.4208/jcm.2009.27.5.013","definite and semidefinite Maxwell H(curl) problems","parallel auxiliary-space AMG","Krylov/AMG","AMS/HX implementation","real definite/semi-definite","lowest-order Nedelec emphasis","standard Maxwell variational problem","not primary focus","not wave-high-frequency focus","large-scale H(curl) tests","scalable AMG focus","iteration scalability reported","linear residual","hypre AMS","直接支撑 task011 real AMS smoke 与 PETSc/hypre AMS 方向","最低阶为主；高阶和 complex indefinite 需额外处理","read_key_sections"
"hypreAMS","AMS Auxiliary-space Maxwell Solver documentation","hypre project","2026","official documentation","https://hypre.readthedocs.io/en/latest/solvers-ams.html","edge finite element Maxwell variational problem","AMS/HX implementation interface","solver or preconditioner","AMS with discrete gradient/interpolations/Poisson matrices","real SPD/semi-definite formulation in docs","lowest-order and high-order Nedelec","depends on user setup","not primary focus","not wave-high-frequency focus","implementation documentation","notes memory caveats for auxiliary matrices","not a benchmark paper","interface requirements","hypre","关键工程依据：说明 G、constant vectors、high-order Pi、Aalpha/Abeta 的要求","不保证当前 complex build 安全；高阶可能内存大","read_key_sections"
"PETScPCHYPRE","PCHYPRE manual page","PETSc project","2026","official PETSc documentation","https://petsc.org/release/manualpages/PC/PCHYPRE/","PETSc interface to hypre preconditioners","PETSc-hypre integration","KSP + PC","pc_hypre_type ams/ads with auxiliary data","depends on PETSc scalar type and hypre build","PETSc Mat/PC","not applicable","not primary focus","not primary focus","implementation documentation","not a benchmark","not a benchmark","API requirements","PETSc/hypre","确认 PETSc 中 AMS/ADS 必须提供 auxiliary data；约束下一轮实现","文档不解决 task011 complex AMS crash","read_key_sections"
"Bonazzoli2017Absorption","Domain decomposition preconditioning for the high-frequency time-harmonic Maxwell equations with absorption","Marcella Bonazzoli; Victorita Dolean; Ivan G. Graham; Euan A. Spence; Pierre-Henri Tournier","2017","arXiv:1711.03789","https://arxiv.org/abs/1711.03789","high-frequency time-harmonic Maxwell with absorption","two-level additive Schwarz; shifted/absorbing Maxwell","GMRES","two-level overlapping Schwarz for absorbing Maxwell","complex/non-Hermitian possible","curl-conforming finite elements","PEC theory plus impedance experiments","not primary focus","yes","large practical examples including COBRA cavity; up to thousands of processors","parallel DD focus","wavenumber-independent under absorption/coarse assumptions","GMRES convergence theory and experiments","DDM frameworks","解释 task010 shifted+ASM/ILU 为什么失败：需要 two-level/coarse/impedance/DD 结构","主要是 bounded-domain Maxwell，不是 Floquet/DtN grating；DDM 实现复杂","read_key_sections"
"Beuchler2021DDM","Parallel domain decomposition solvers for the time harmonic Maxwell equations","Sven Beuchler; Sebastian Kinnewig; Thomas Wick","2021","arXiv:2105.11993","https://arxiv.org/abs/2105.11993","time-harmonic Maxwell FEM","block preconditioner + DDM","GMRES","block diagonal/AMG/DDM; compares ILU/ASM/Schur","real block form of complex system","high-order Nedelec in deal.II","impedance/scattering style","not primary focus","yes","benchmark waveguide/Y splitter","block PC lower than direct in reported setup","block PC keeps iterations low where ILU/ASM fail","relative residual","deal.II; Trilinos; MUMPS","强支持 real/imag split 和 block PC 思路；也佐证普通 ILU/ASM 失败","库栈不同；block PC 内部仍可能使用 costly AMG/direct pieces","read_key_sections"
"Jiang2018BiperiodicDtN","An Adaptive Finite Element DtN Method for Maxwell's Equations in Biperiodic Structures","Xue Jiang; Peijun Li; Junliang Lv; Zhoufeng Wang; Haijun Wu; Weiying Zheng","2018","arXiv:1811.12449","https://arxiv.org/abs/1811.12449","3D Maxwell diffraction by biperiodic structures","FEM with transparent DtN boundary","not solver-focused","DtN truncation/adaptivity","complex fields","finite element Maxwell","transparent DtN/Rayleigh boundary","yes","wave scattering","adaptive examples","not solver memory focus","not solver iteration focus","a posteriori error including DtN truncation","FEM","最接近本项目 Floquet/DtN 周期散射的数学模型；支持 modal boundary 的重要性","主要讨论误差估计与自适应，不给迭代 PC","read_key_sections"
"LiuYing2018","Sparsifying preconditioner for the time-harmonic Maxwell's equations","Fei Liu; Lexing Ying","2018","arXiv:1804.02297","https://arxiv.org/abs/1804.02297","time-harmonic Maxwell integral formulation","sparsifying preconditioner","GMRES","sparse approximation to dense integral operator","complex wave systems","integral equation discretization","scattering style","not primary focus","yes","frequency-oriented tests","not directly comparable","small frequency-independent iteration claim in abstract","GMRES residual","custom integral-equation solver","启发物理近似逆/Green function 类 PC","不是 FEM/Nedelec/DtN auxiliary 系统，工程迁移大","abstract_only"
"Parvizi2022HLU","Hierarchical LU preconditioning for the time-harmonic Maxwell equations","Maryam Parvizi; Amirreza Khodadadian; Sven Beuchler; Thomas Wick","2022","arXiv:2211.11303","https://arxiv.org/abs/2211.11303","time-harmonic Maxwell FEM","H-matrix / H-LU","iterative with H-LU PC and direct H inverse tests","hierarchical LU approximation","complex indefinite","Nedelec edge FEM","not central","not primary focus","yes","FEM matrices from Maxwell","compression memory focus","iterations studied","residual/timing","H-matrix software","支持 BLR/H-matrix 作为压缩直接 fallback 类路线","仍是压缩因子化，不是轻量物理迭代 PC","skimmed"
"Li1996RCWA","Use of Fourier series in the analysis of discontinuous periodic structures","Lifeng Li","1996","Journal of the Optical Society of America A","https://doi.org/10.1364/JOSAA.13.001870","periodic diffraction / Fourier modal method","RCWA/Fourier factorization","not Krylov-focused","modal layer solver","complex fields possible","Fourier modal / layer matching","periodic layer interfaces","yes","optical grating relevant","modal truncation size","not PC memory focus","not Krylov","field convergence / diffraction quantities","RCWA/FMM implementations","为 layered-background / RCWA-like approximate inverse 提供物理基础","不是 FEM 预条件器文献；高对比/2D crossed grating 仍有挑战","abstract_only"
"Weismann2015RCWANearField","Accurate near-field calculation in the rigorous coupled-wave analysis method","Martin Weismann; Dominic F. G. Gallagher; Nicolae C. Panoiu","2015","arXiv:1507.06364","https://arxiv.org/abs/1507.06364","periodic optical structures and RCWA near fields","RCWA near-field correction","not Krylov-focused","modified RCWA field reconstruction","complex electromagnetic fields","Fourier modal method","periodic grating","yes","optical wave","test structures","not PC memory focus","not Krylov","near-field accuracy","RCWA","提醒 RCWA 近场和材料边界 Gibbs 问题，影响把 RCWA 当 PC 的风险评估","不是 Maxwell FEM PC","skimmed"
"task008","Project task008 direct official benchmark","Codex/ChatGPT project record","2026","local project docs","docs/task008_70nm_official_convergence_benchmark/review_report.md","target 3D grating Stage 4 Maxwell","direct LU benchmark","none","MUMPS direct","complex","Nedelec FEM + DtN auxiliary","Floquet x/y + z DtN","yes","EUV 13.5 nm; oblique 80 deg","p=2 h=2 completed; h=1.5 direct killed","direct p=2 h=2 RSS about 20.53 GB from later comparison","not iterative","official R/T/A closure","DOLFINx/PETSc/MUMPS","本项目 reference：R=0.001342932846 T=0.599213229444 A=0.399443837710","不是最终网格收敛解","full_read"
"task009","Project task009 iterative profile screening","Codex/ChatGPT project record","2026","local project docs","docs/task009_iterative_solver_profile_screening/review_report.md","Stage 4 Maxwell iterative profiles","black-box PETSc Krylov/PC screening","GMRES/FGMRES/BiCGStab/LGMRES","Jacobi/BJacobi/ASM/ILU/local LU/GAMG/FieldSplit","complex","Nedelec FEM + DtN auxiliary","Floquet + DtN","yes","EUV grating benchmark","p=2 h=5 to h=1.5 diagnostic","Jacobi lower memory","no production convergence","true residual and KSP residual","PETSc","负结果边界：普通 profile 不可继续主攻","不能从 KSP residual 误判 true residual","full_read"
