case,p,h_nm,h1_degree_mode,profile,status,reason,iterations,true_relative_residual_norm,ksp_final_residual,rss_upper_gb,setup_time_s,solve_time_s,ams_setup_rss_before_gb,ams_setup_rss_after_gb,notes
fe_only_p1_h10_standard,1,10.0,standard,real_split_fgmres_jacobi,completed,CONVERGED_ATOL,2,3.195071951418822e-16,2.415983115202124e-13,0.17723464965820312,7.309799912036397e-05,0.00021041900254203938,,,small case; Jacobi also easy
fe_only_p1_h10_standard,1,10.0,standard,real_split_fgmres_blockdiag_ams_positive,completed,CONVERGED_RTOL,4,7.905110932655259e-07,0.0008557533609071137,0.24811553955078125,0.15861096499793348,0.15710174700143398,0.17723464965820312,0.24811553955078125,AMS apply stable
fe_only_p1_h5_standard,1,5.0,standard,real_split_fgmres_jacobi,completed,CONVERGED_RTOL,2,4.3113254962572634e-15,3.816706515952181e-12,0.2073974609375,0.00012217299808980897,0.0010789710031531285,,,small case; Jacobi also easy
fe_only_p1_h5_standard,1,5.0,standard,real_split_fgmres_blockdiag_ams_positive,completed,CONVERGED_RTOL,5,6.399587051107403e-07,0.0005628135742630133,0.816741943359375,1.4920533320000686,2.1179651269994793,0.2073974609375,0.816741943359375,AMS apply stable but higher setup memory
fe_only_p2_h10_standard,2,10.0,standard,real_split_fgmres_jacobi,not_converged,DIVERGED_MAX_IT,1000,0.005845915983681364,9.983802211119874,0.3012657165527344,0.00024630100233480334,2.0429999509979098,,,Jacobi fails on p2 h10
fe_only_p2_h10_standard,2,10.0,standard,real_split_fgmres_blockdiag_ams_positive,completed,CONVERGED_RTOL,219,9.917640186882595e-07,0.0016937595118380318,0.8882293701171875,3.1214502559996617,144.52633812000204,0.3012657165527344,0.8882293701171875,AMS succeeds where Jacobi fails
fe_only_p2_h5_standard,2,5.0,standard,real_split_fgmres_jacobi,not_converged,DIVERGED_MAX_IT,50,0.0028869302856795874,3.819049794144433,1.0802040100097656,0.0009645469981478527,0.5908080150002206,,,50-step Jacobi baseline
fe_only_p2_h5_standard,2,5.0,standard,real_split_fgmres_blockdiag_ams_positive,not_converged,DIVERGED_MAX_IT,50,3.5149626869762085e-05,0.04649858568703717,6.306327819824219,28.11483118199976,296.60825273599767,1.0807266235351562,6.306327819824219,standard H1 p+1; large AMS hierarchy
fe_only_p2_h5_standard,2,5.0,standard,real_split_fgmres_jacobi,not_converged,DIVERGED_MAX_IT,150,7.604907463297405e-06,0.010060346945798484,1.0804252624511719,0.0008091749987215735,1.8339461469986418,,,150-step Jacobi baseline
fe_only_p2_h5_standard,2,5.0,standard,real_split_fgmres_blockdiag_ams_positive,not_converged,DIVERGED_MAX_IT,150,8.00413023447229e-06,0.010588469030894701,6.306221008300781,28.8762612190003,881.1659233120008,1.080596923828125,6.306221008300781,standard H1 not better than Jacobi at 150
fe_only_p2_h5_same,2,5.0,same,real_split_fgmres_blockdiag_ams_positive,not_converged,DIVERGED_MAX_IT,50,9.502038265284304e-06,0.012570015099071026,1.3224258422851562,4.84997800400015,39.50205916100094,1.0414505004882812,1.3224258422851562,H1 degree p; best memory/early residual tradeoff
fe_only_p2_h5_same,2,5.0,same,real_split_fgmres_blockdiag_ams_positive,not_converged,DIVERGED_MAX_IT,150,2.6021672773581794e-06,0.003442343742829449,1.3236808776855469,4.833245532001456,117.5412451029988,1.0428123474121094,1.3236808776855469,H1 degree p; close to threshold
fe_only_p2_h5_same,2,5.0,same,real_split_fgmres_blockdiag_ams_positive,completed,CONVERGED_RTOL,310,9.964333802586608e-07,0.0013181574611162974,1.3231430053710938,4.8587570339987,240.55426202300077,1.0422897338867188,1.3231430053710938,H1 degree p; p2 h5 qualification success
fe_only_p2_h5_linear,2,5.0,linear,real_split_fgmres_blockdiag_ams_positive,not_converged,DIVERGED_MAX_IT,50,7.76387235884351e-05,0.1027063773616805,1.3224258422851562,0.4142473819993029,4.693056816002354,1.3224258422851562,1.3224258422851562,H1 degree 1; cheap but too weak
