"case","profile","mode_id","port","diffraction_order_m","diffraction_order_n","polarization","is_propagating","is_near_cutoff","residual_norm","relative_to_total_residual","relative_to_aux_residual","notes"
"task014a_default100_stage4_block_grating_p1_h5","stage4_real_split_fgmres_jacobi","531","bottom","0","0","y","True","False","1.0976716766287435","0.3431747495971621","0.7471653073465445","auxiliary residual is one scalar complex residual per DtN mode"
"task014a_default100_stage4_block_grating_p1_h5","stage4_real_split_fgmres_jacobi","177","top","0","0","y","True","False","0.9762574285647442","0.305215945462888","0.6645208191061233","auxiliary residual is one scalar complex residual per DtN mode"
"task014a_default100_stage4_block_grating_p1_h5","stage4_real_split_fgmres_jacobi","146","top","-1","0","s","True","False","0.005465697257318026","0.0017087890009285609","0.00372040151720924","auxiliary residual is one scalar complex residual per DtN mode"
"task014a_default100_stage4_block_grating_p1_h5","stage4_real_split_fgmres_jacobi","206","top","1","0","s","True","False","0.00546569725731182","0.0017087890009266206","0.0037204015172050157","auxiliary residual is one scalar complex residual per DtN mode"
"task014a_default100_stage4_block_grating_p1_h5","stage4_real_split_fgmres_jacobi","179","top","0","1","p","True","False","0.005303580835908181","0.0016581051183911341","0.0036100517938742753","auxiliary residual is one scalar complex residual per DtN mode"
"task014a_default100_stage4_block_grating_p1_h5","stage4_real_split_fgmres_jacobi","175","top","0","-1","p","True","False","0.0053035808359068945","0.0016581051183907321","0.0036100517938734","auxiliary residual is one scalar complex residual per DtN mode"
"task014a_default100_stage4_block_grating_p1_h5","stage4_real_split_fgmres_jacobi","533","bottom","0","1","p","True","False","0.0050884604452089135","0.0015908501387981483","0.003463623224880881","auxiliary residual is one scalar complex residual per DtN mode"
"task014a_default100_stage4_block_grating_p1_h5","stage4_real_split_fgmres_jacobi","529","bottom","0","-1","p","True","False","0.00508846044520877","0.0015908501387981036","0.0034636232248807836","auxiliary residual is one scalar complex residual per DtN mode"
"task014a_default100_stage4_block_grating_p1_h5","stage4_real_split_fgmres_jacobi","560","bottom","1","0","s","True","False","0.0033162046689706698","0.0010367742295967599","0.0022572806910035144","auxiliary residual is one scalar complex residual per DtN mode"
"task014a_default100_stage4_block_grating_p1_h5","stage4_real_split_fgmres_jacobi","500","bottom","-1","0","s","True","False","0.003316204668966294","0.0010367742295953918","0.002257280691000536","auxiliary residual is one scalar complex residual per DtN mode"
