case,dtn_order_policy,profile,includes_dtn_aux,status,true_relative_residual_norm,fe_residual_fraction,aux_residual_fraction,interpretation,notes
task014a_default100_stage4_block_grating_p1_h5,auto_propagating,stage4_real_split_fgmres_jacobi,True,not_converged,0.03436220600931187,0.888280018074755,0.4593023072978327,FE,DIVERGED_MAX_IT
task014a_default100_stage4_block_grating_p1_h5,auto_propagating,stage4_real_split_fgmres_fe_ams_aux_identity,True,not_converged,0.021465559540488233,0.04330883872028869,0.9990617320709968,aux,DIVERGED_MAX_IT
task014a_default100_stage4_block_grating_p1_h5,auto_propagating,stage4_real_split_fgmres_fe_ams_aux_exact,True,not_converged,0.021465559540488233,0.04330883872028869,0.9990617320709968,aux,DIVERGED_MAX_IT
task014a_default100_stage4_block_grating_p1_h5,auto_propagating,stage4_real_split_fgmres_fe_ams_aux_diag,True,not_converged,0.021465559540488233,0.04330883872028869,0.9990617320709968,aux,DIVERGED_MAX_IT
task014a_default100_stage4_block_grating_p1_h5,auto_propagating,stage4_real_split_fgmres_fe_ams_aux_schur_diag,True,not_converged,0.44272565371564643,0.9972239738619139,0.07446036499408948,FE,DIVERGED_MAX_IT
task014a_default100_stage4_block_grating_p1_h5,auto_propagating,stage4_real_split_fgmres_fe_ams_modal_zero_order,True,not_converged,0.021465559540488233,0.04330883872028869,0.9990617320709968,aux,DIVERGED_MAX_IT
task014a_default100_stage4_block_grating_p1_h5,auto_propagating,stage4_real_split_fgmres_fe_ams_modal_propagating,True,not_converged,0.021465559540488233,0.04330883872028869,0.9990617320709968,aux,DIVERGED_MAX_IT
task014a_default100_zero_order_stage4_block_grating_p1_h5,zero_order,stage4_real_split_fgmres_jacobi,False,not_converged,0.43967935738871533,0.9999999999999998,0.0,aux unavailable; FE-only residual split,DIVERGED_MAX_IT
task014a_default100_zero_order_stage4_block_grating_p1_h5,zero_order,stage4_real_split_fgmres_fe_ams_aux_identity,False,not_converged,0.5337074114505601,1.0,0.0,aux unavailable; FE-only residual split,DIVERGED_MAX_IT
task014a_tiny10_stage4_block_grating_p1_h5,auto_propagating,stage4_real_split_fgmres_fe_ams_aux_identity,True,completed,9.601334814717081e-07,0.9660035786850426,0.25852869466983913,FE,CONVERGED_RTOL
task014a_tiny10_stage4_block_grating_p1_h5,auto_propagating,stage4_real_split_fgmres_fe_exact_aux_exact,True,completed,1.3752159928462348e-15,0.782185482970511,0.6230456405675175,FE,CONVERGED_ATOL
task015_default100_no_aux_or_aux_removed,no_aux_or_aux_removed_if_available,not_run,False,not_available,,,,not comparable,no_aux case unavailable: Stage-4 dtn_port path supports auxiliary DtN or zero_order local Robin only; removing aux would change the boundary operator rather than provide a controlled ablation.
