case,profile,true_relative_residual_norm,r_fe_real_over_b,r_aux_real_over_b,r_fe_imag_over_b,r_aux_imag_over_b,r_fe_total_over_b,r_aux_total_over_b,fe_residual_fraction,aux_residual_fraction,dominant_block,notes
task014a_default100_stage4_block_grating_p1_h5,stage4_real_split_fgmres_jacobi,0.03436220600931187,0.022598071095908303,0.010627474141867625,0.020518202730616386,0.011668270421957299,0.030523260975040004,0.015782640503920396,0.888280018074755,0.4593023072978327,FE,computed from final true residual r=b-Ax
task014a_default100_stage4_block_grating_p1_h5,stage4_real_split_fgmres_fe_ams_aux_identity,0.021465559540488233,0.0005280955388991866,0.008499642646727359,0.0007650891149873896,0.019689135964081856,0.000929648456179759,0.02144541909439328,0.04330883872028869,0.9990617320709968,aux,computed from final true residual r=b-Ax
task014a_default100_stage4_block_grating_p1_h5,stage4_real_split_fgmres_fe_ams_aux_exact,0.021465559540488233,0.0005280955388991866,0.008499642646727359,0.0007650891149873896,0.019689135964081856,0.000929648456179759,0.02144541909439328,0.04330883872028869,0.9990617320709968,aux,computed from final true residual r=b-Ax
task014a_default100_stage4_block_grating_p1_h5,stage4_real_split_fgmres_fe_ams_aux_diag,0.021465559540488233,0.0005280955388991866,0.008499642646727359,0.0007650891149873896,0.019689135964081856,0.000929648456179759,0.02144541909439328,0.04330883872028869,0.9990617320709968,aux,computed from final true residual r=b-Ax
task014a_default100_stage4_block_grating_p1_h5,stage4_real_split_fgmres_fe_ams_aux_schur_diag,0.44272565371564643,0.30268734534137237,0.012000304924195751,0.321402629625454,0.030703709543129218,0.44149663572893055,0.0329655137679139,0.9972239738619139,0.07446036499408948,FE,computed from final true residual r=b-Ax
task014a_default100_stage4_block_grating_p1_h5,stage4_real_split_fgmres_fe_ams_modal_zero_order,0.021465559540488233,0.0005280955388991866,0.008499642646727359,0.0007650891149873896,0.019689135964081856,0.000929648456179759,0.02144541909439328,0.04330883872028869,0.9990617320709968,aux,computed from final true residual r=b-Ax
task014a_default100_stage4_block_grating_p1_h5,stage4_real_split_fgmres_fe_ams_modal_propagating,0.021465559540488233,0.0005280955388991866,0.008499642646727359,0.0007650891149873896,0.019689135964081856,0.000929648456179759,0.02144541909439328,0.04330883872028869,0.9990617320709968,aux,computed from final true residual r=b-Ax
task014a_default100_zero_order_stage4_block_grating_p1_h5,stage4_real_split_fgmres_jacobi,0.43967935738871533,0.295725609283676,0.0,0.3253679476032514,0.0,0.4396793573887152,0.0,0.9999999999999998,0.0,FE_no_aux_case,computed from final true residual r=b-Ax
task014a_default100_zero_order_stage4_block_grating_p1_h5,stage4_real_split_fgmres_fe_ams_aux_identity,0.5337074114505601,0.32665174831444577,0.0,0.4220689947868398,0.0,0.5337074114505601,0.0,1.0,0.0,FE_no_aux_case,computed from final true residual r=b-Ax
task014a_tiny10_stage4_block_grating_p1_h5,stage4_real_split_fgmres_fe_ams_aux_identity,9.601334814717081e-07,5.801834573521384e-07,2.441727146694272e-07,7.236223249285713e-07,4.4652819998678945e-08,9.274923791169992e-07,2.482220556736889e-07,0.9660035786850426,0.25852869466983913,FE,computed from final true residual r=b-Ax
task014a_tiny10_stage4_block_grating_p1_h5,stage4_real_split_fgmres_fe_exact_aux_exact,1.3752159928462348e-15,6.004201098140332e-16,4.606915466320124e-16,8.925078234541235e-16,7.224318671306985e-16,1.0756739855532032e-15,8.568223291815771e-16,0.782185482970511,0.6230456405675175,FE,computed from final true residual r=b-Ax
