iteration,ksp_residual
0,9.452747914624323
1,9.30652320665528
2,8.740201839096175
3,8.273455507257077
4,4.844284649426083
5,2.740340458257722
6,2.2011058932972576
7,2.095777207361557
8,1.792297789865827
9,1.2617415672913839
10,0.9646753079255505
11,0.9036410125498718
12,0.4149364010888801
13,0.22892129002541228
14,0.22725073323637485
15,0.17823201634341174
16,0.10085074133126168
17,0.0626166924303241
18,0.0362957875391244
19,0.011993666451745925
20,0.009439730025412296
21,0.008429052954446722
22,0.0055787563317199786
23,0.002454729676896978
24,0.002162581575084996
25,0.002125253546369803
26,0.0020009769641545906
27,0.0012539969495683782
28,0.0012539797243359516
29,0.0012311334595123428
30,0.000735131757649944
31,0.0004549869356516592
32,0.000307987794575029
33,8.094082368013414e-05
34,7.976867541963847e-05
35,2.4393750605674995e-05
36,2.1878495608519498e-05
37,9.075899755809726e-06
