case,set_name,lift_type,modal_dim,real_coarse_dim,fe_norm,aux_norm,fe_aux_norm_ratio,az_norm,zt_r_norm,coarse_condition,regularization,notes
task014a_default100_stage4_block_grating_p1_h5,top_y,aux_only,1,2,0.0,1.4142135623730951,0.0,65.83567905753341,1.9962302519401784,1.0,0.0,"unit-column-normalized; direct dense coarse solve; mode=177, aux_scale=1"
task014a_default100_stage4_block_grating_p1_h5,top_y,diag_lift,1,2,1.4142133420224126,0.0007894591698830734,1791.3698338976433,0.5997727525299952,0.04556320790251553,1.000000000000025,0.0,"unit-column-normalized; direct dense coarse solve; mode=177, aux_scale=1"
task014a_default100_stage4_block_grating_p1_h5,top_y,diag_lift_sign_flip,1,2,1.4142133420224126,0.0007894591698830734,1791.3698338976433,0.5711896554638861,0.04341436974521912,1.0000000000000244,0.0,"unit-column-normalized; direct dense coarse solve; mode=177, aux_scale=1"
task014a_default100_stage4_block_grating_p1_h5,top_y,pfe_lift,1,2,1.4141109822695732,0.01703319772303437,83.02087519111222,1.1658677085840456,0.06753240743952402,1.0000000000000282,0.0,"unit-column-normalized; direct dense coarse solve; mode=177, aux_scale=1"
task014a_default100_stage4_block_grating_p1_h5,top_y,pfe_lift_sign_flip,1,2,1.4141109822695732,0.01703319772303437,83.02087519111222,0.7795038979970813,0.021619400778676516,1.0000000000000282,0.0,"unit-column-normalized; direct dense coarse solve; mode=177, aux_scale=1"
task014a_default100_stage4_block_grating_p1_h5,top_y,pfe_lift_aux_sign_flip,1,2,1.4141109822695732,0.01703319772303437,83.02087519111222,0.7795038979970813,0.021619400778676516,1.0000000000000282,0.0,"unit-column-normalized; direct dense coarse solve; mode=177, aux_scale=-1"
task014a_default100_stage4_block_grating_p1_h5,top_bottom_y,aux_only,2,4,0.0,2.0,0.0,91.1464907989852,1.9962302519401784,1.0,0.0,"unit-column-normalized; direct dense coarse solve; mode=177, aux_scale=1; mode=531, aux_scale=1"
task014a_default100_stage4_block_grating_p1_h5,top_bottom_y,diag_lift,2,4,1.9999996676702543,0.001152960918449938,1734.6638864039649,0.8477890665125166,0.04556320790274439,1.0012858004536185,0.0,"unit-column-normalized; direct dense coarse solve; mode=177, aux_scale=1; mode=531, aux_scale=1"
task014a_default100_stage4_block_grating_p1_h5,top_bottom_y,diag_lift_sign_flip,2,4,1.9999996676702543,0.001152960918449938,1734.6638864039649,0.8070611092343143,0.0434143697454593,1.008844762239019,0.0,"unit-column-normalized; direct dense coarse solve; mode=177, aux_scale=1; mode=531, aux_scale=1"
task014a_default100_stage4_block_grating_p1_h5,top_bottom_y,pfe_lift,2,4,1.9998485233076333,0.02461470748312583,81.24608121703633,1.647568494835545,0.06753240743966493,1.0015513283491173,0.0,"unit-column-normalized; direct dense coarse solve; mode=177, aux_scale=1; mode=531, aux_scale=1"
