case,set_name,mode_id,port,m,n,polarization,real_aux_index,imag_aux_index,is_propagating,is_near_cutoff,source_residual_fraction,notes
task014a_tiny10_stage4_block_grating_p1_h5,top_y,1,top,0,0,y,145,293,True,False,,"real split layout: [real(FE,aux), imag(FE,aux)]"
task014a_tiny10_stage4_block_grating_p1_h5,top_bottom_y,1,top,0,0,y,145,293,True,False,,"real split layout: [real(FE,aux), imag(FE,aux)]"
task014a_tiny10_stage4_block_grating_p1_h5,top_bottom_y,3,bottom,0,0,y,147,295,True,False,,"real split layout: [real(FE,aux), imag(FE,aux)]"
task014a_tiny10_stage4_block_grating_p1_h5,top_bottom_xy,0,top,0,0,x,144,292,True,False,,"real split layout: [real(FE,aux), imag(FE,aux)]"
task014a_tiny10_stage4_block_grating_p1_h5,top_bottom_xy,1,top,0,0,y,145,293,True,False,,"real split layout: [real(FE,aux), imag(FE,aux)]"
task014a_tiny10_stage4_block_grating_p1_h5,top_bottom_xy,2,bottom,0,0,x,146,294,True,False,,"real split layout: [real(FE,aux), imag(FE,aux)]"
task014a_tiny10_stage4_block_grating_p1_h5,top_bottom_xy,3,bottom,0,0,y,147,295,True,False,,"real split layout: [real(FE,aux), imag(FE,aux)]"
task014a_default100_stage4_block_grating_p1_h5,top_y,177,top,0,0,y,39447,79425,True,False,,"real split layout: [real(FE,aux), imag(FE,aux)]"
task014a_default100_stage4_block_grating_p1_h5,top_bottom_y,177,top,0,0,y,39447,79425,True,False,,"real split layout: [real(FE,aux), imag(FE,aux)]"
task014a_default100_stage4_block_grating_p1_h5,top_bottom_y,531,bottom,0,0,y,39801,79779,True,False,,"real split layout: [real(FE,aux), imag(FE,aux)]"
task014a_default100_stage4_block_grating_p1_h5,top_bottom_xy,176,top,0,0,x,39446,79424,True,False,,"real split layout: [real(FE,aux), imag(FE,aux)]"
task014a_default100_stage4_block_grating_p1_h5,top_bottom_xy,177,top,0,0,y,39447,79425,True,False,,"real split layout: [real(FE,aux), imag(FE,aux)]"
task014a_default100_stage4_block_grating_p1_h5,top_bottom_xy,530,bottom,0,0,x,39800,79778,True,False,,"real split layout: [real(FE,aux), imag(FE,aux)]"
task014a_default100_stage4_block_grating_p1_h5,top_bottom_xy,531,bottom,0,0,y,39801,79779,True,False,,"real split layout: [real(FE,aux), imag(FE,aux)]"
