case,mode_set,z_type,w_type,residual_before,residual_after,improvement,fe_fraction_after,aux_fraction_after,petrov_condition,regularization,omega,notes
task014a_tiny10_stage4_block_grating_p1_h5,top_y,diag_lift,W_aux_residual,9.601334814717081e-07,9.601619407374535e-07,0.9999703599314471,0.9660106410158302,0.25850230452393463,1.0,0.0,1.0,direct dense coarse solve; selected auxiliary coordinate test basis
task014a_tiny10_stage4_block_grating_p1_h5,top_y,diag_lift,W_aux_residual,9.601334814717081e-07,9.601232473968174e-07,1.0000106591262303,0.9660053973104243,0.2585218992022326,1.0,0.0,0.3,direct dense coarse solve; selected auxiliary coordinate test basis
task014a_tiny10_stage4_block_grating_p1_h5,top_y,diag_lift,W_aux_residual,9.601334814717081e-07,9.601282823149815e-07,1.0000054150646558,0.9660041562925421,0.25852653640493845,1.0,0.0,0.1,direct dense coarse solve; selected auxiliary coordinate test basis
task014a_tiny10_stage4_block_grating_p1_h5,top_y,diag_lift,W_aux_residual,9.601334814717081e-07,9.60131734008057e-07,1.0000018200248875,0.9660037489636297,0.25852805841574067,1.0,0.0,0.03,direct dense coarse solve; selected auxiliary coordinate test basis
task014a_tiny10_stage4_block_grating_p1_h5,top_y,diag_lift,W_aux_residual,9.601334814717081e-07,9.601328811061416e-07,1.0000006252942466,0.966003635158492,0.25852848365427555,1.0,0.0,0.01,direct dense coarse solve; selected auxiliary coordinate test basis
task014a_tiny10_stage4_block_grating_p1_h5,top_y,diag_lift,W_AZ,9.601334814717081e-07,9.600924066343988e-07,1.0000427821707842,0.9660017319574143,0.2585355949483092,1.0000000000000004,0.0,1.0,direct dense coarse solve; least-squares Petrov path W=AZ
task014a_tiny10_stage4_block_grating_p1_h5,top_y,diag_lift,W_AZ,9.601334814717081e-07,9.601125335242469e-07,1.0000218182210208,0.9660028867247081,0.25853128019551286,1.0000000000000004,0.0,0.3,direct dense coarse solve; least-squares Petrov path W=AZ
task014a_tiny10_stage4_block_grating_p1_h5,top_y,diag_lift,W_AZ,9.601334814717081e-07,9.601256773878367e-07,1.0000081281899393,0.9660033348987479,0.2585296055860873,1.0000000000000004,0.0,0.1,direct dense coarse solve; least-squares Petrov path W=AZ
task014a_tiny10_stage4_block_grating_p1_h5,top_y,diag_lift,W_AZ,9.601334814717081e-07,9.601310539976797e-07,1.0000025282736333,0.9660035041703773,0.25852897309692785,1.0000000000000004,0.0,0.03,direct dense coarse solve; least-squares Petrov path W=AZ
task014a_tiny10_stage4_block_grating_p1_h5,top_y,diag_lift,W_AZ,9.601334814717081e-07,9.60132664099582e-07,1.0000008513116536,0.9660035537155144,0.25852878796953593,1.0000000000000004,0.0,0.01,direct dense coarse solve; least-squares Petrov path W=AZ
task014a_tiny10_stage4_block_grating_p1_h5,top_y,diag_lift,W_AZ_normalized,9.601334814717081e-07,9.600924066343988e-07,1.0000427821707842,0.9660017319574143,0.2585355949483092,1.0000000000000002,0.0,1.0,direct dense coarse solve; unit-column-normalized; least-squares Petrov path W=AZ
task014a_tiny10_stage4_block_grating_p1_h5,top_y,diag_lift,W_AZ_normalized,9.601334814717081e-07,9.601125335242469e-07,1.0000218182210208,0.9660028867247081,0.25853128019551286,1.0000000000000002,0.0,0.3,direct dense coarse solve; unit-column-normalized; least-squares Petrov path W=AZ
task014a_tiny10_stage4_block_grating_p1_h5,top_y,diag_lift,W_AZ_normalized,9.601334814717081e-07,9.601256773878367e-07,1.0000081281899393,0.9660033348987479,0.2585296055860873,1.0000000000000002,0.0,0.1,direct dense coarse solve; unit-column-normalized; least-squares Petrov path W=AZ
task014a_tiny10_stage4_block_grating_p1_h5,top_y,diag_lift,W_AZ_normalized,9.601334814717081e-07,9.601310539976797e-07,1.0000025282736333,0.9660035041703773,0.25852897309692785,1.0000000000000002,0.0,0.03,direct dense coarse solve; unit-column-normalized; least-squares Petrov path W=AZ
task014a_tiny10_stage4_block_grating_p1_h5,top_y,diag_lift,W_AZ_normalized,9.601334814717081e-07,9.60132664099582e-07,1.0000008513116536,0.9660035537155144,0.25852878796953593,1.0000000000000002,0.0,0.01,direct dense coarse solve; unit-column-normalized; least-squares Petrov path W=AZ
task014a_tiny10_stage4_block_grating_p1_h5,top_y,diag_lift,W_residual_projected,9.601334814717081e-07,9.601619407374535e-07,0.9999703599314471,0.9660106410158302,0.25850230452393463,1.0000000000000004,0.0,1.0,direct dense coarse solve; selected auxiliary coordinate basis phased by current residual
