stage,experiment,decision,metric,value,threshold,notes
C_offline,offline_scipy_gmres_diag_rtol_0.01_maxit_1_top_bottom_y,weak,one_shot_residual_after,0.016382918958249088,<1e-2 or improvement>=2,status=not_converged; max_fe_rel=0.46302183278399334
C_offline,offline_scipy_gmres_diag_rtol_0.01_maxit_2_top_bottom_y,weak,one_shot_residual_after,0.016382095821399285,<1e-2 or improvement>=2,status=not_converged; max_fe_rel=0.4154915445861316
C_offline,offline_scipy_gmres_diag_rtol_0.01_maxit_4_top_bottom_y,weak,one_shot_residual_after,0.016380709224739436,<1e-2 or improvement>=2,status=not_converged; max_fe_rel=0.36813398990245866
C_offline,offline_scipy_gmres_diag_rtol_0.01_maxit_8_top_bottom_y,weak,one_shot_residual_after,0.016380249926222216,<1e-2 or improvement>=2,status=not_converged; max_fe_rel=0.3469167446914131
C_offline,offline_scipy_gmres_diag_rtol_0.01_maxit_16_top_bottom_y,weak,one_shot_residual_after,0.016379464903355803,<1e-2 or improvement>=2,status=not_converged; max_fe_rel=0.33104407890124965
C_offline,offline_scipy_lgmres_diag_rtol_0.01_maxit_1_top_bottom_y,weak,one_shot_residual_after,0.0163791656841514,<1e-2 or improvement>=2,status=not_converged; max_fe_rel=0.5414844366290409
C_offline,offline_scipy_lgmres_diag_rtol_0.01_maxit_2_top_bottom_y,weak,one_shot_residual_after,0.016382304794385506,<1e-2 or improvement>=2,status=not_converged; max_fe_rel=0.4653007114052534
C_offline,offline_scipy_lgmres_diag_rtol_0.01_maxit_4_top_bottom_y,weak,one_shot_residual_after,0.016382333279202674,<1e-2 or improvement>=2,status=not_converged; max_fe_rel=0.3761614102112336
C_offline,offline_scipy_lgmres_diag_rtol_0.01_maxit_8_top_bottom_y,weak,one_shot_residual_after,0.016380969236292103,<1e-2 or improvement>=2,status=not_converged; max_fe_rel=0.34050399676161974
C_offline,offline_scipy_lgmres_diag_rtol_0.01_maxit_16_top_bottom_y,weak,one_shot_residual_after,0.016375279604616585,<1e-2 or improvement>=2,status=not_converged; max_fe_rel=0.31866624190567855
C_offline,offline_scipy_gcrotmk_diag_rtol_0.01_maxit_1_top_bottom_y,weak,one_shot_residual_after,0.01637262611788445,<1e-2 or improvement>=2,status=not_converged; max_fe_rel=0.27265209243644256
C_offline,offline_scipy_gcrotmk_diag_rtol_0.01_maxit_2_top_bottom_y,weak,one_shot_residual_after,0.016369518176887858,<1e-2 or improvement>=2,status=not_converged; max_fe_rel=0.26169007724118515
C_offline,offline_scipy_gcrotmk_diag_rtol_0.01_maxit_4_top_bottom_y,weak,one_shot_residual_after,0.0163689037976489,<1e-2 or improvement>=2,status=not_converged; max_fe_rel=0.2550342168272233
C_offline,offline_scipy_gcrotmk_diag_rtol_0.01_maxit_8_top_bottom_y,weak,one_shot_residual_after,0.01635891753887582,<1e-2 or improvement>=2,status=not_converged; max_fe_rel=0.2244291702618774
C_offline,offline_scipy_gcrotmk_diag_rtol_0.01_maxit_16_top_bottom_y,weak,one_shot_residual_after,0.01635705295598139,<1e-2 or improvement>=2,status=not_converged; max_fe_rel=0.22125011334659447
C_offline,offline_scipy_bicgstab_diag_rtol_0.01_maxit_1_top_bottom_y,weak,one_shot_residual_after,0.016383902023321868,<1e-2 or improvement>=2,status=not_converged; max_fe_rel=0.7706876372242959
C_offline,offline_scipy_bicgstab_diag_rtol_0.01_maxit_2_top_bottom_y,weak,one_shot_residual_after,0.016382243271534043,<1e-2 or improvement>=2,status=not_converged; max_fe_rel=1.0871725529609977
C_offline,offline_scipy_bicgstab_diag_rtol_0.01_maxit_4_top_bottom_y,weak,one_shot_residual_after,0.016382613592855744,<1e-2 or improvement>=2,status=not_converged; max_fe_rel=47.59901274177852
C_offline,offline_scipy_bicgstab_diag_rtol_0.01_maxit_8_top_bottom_y,weak,one_shot_residual_after,0.016382221445413816,<1e-2 or improvement>=2,status=not_converged; max_fe_rel=0.7689933874113517
C_offline,offline_scipy_bicgstab_diag_rtol_0.01_maxit_16_top_bottom_y,weak,one_shot_residual_after,0.016382055631289184,<1e-2 or improvement>=2,status=not_converged; max_fe_rel=1.9815772139823102
C_offline,offline_scipy_gmres_diag_rtol_0.01_maxit_1_top_y,weak,one_shot_residual_after,0.016382918958318764,<1e-2 or improvement>=2,status=not_converged; max_fe_rel=0.46296397374609305
C_offline,offline_scipy_gmres_diag_rtol_0.01_maxit_1_top_bottom_xy,weak,one_shot_residual_after,0.016382748810257742,<1e-2 or improvement>=2,status=not_converged; max_fe_rel=0.46302183278399334
