case,variant,mode_set,real_basis_dim,residual_after,improvement,basis_condition,regularization,az_norm,z_norm,rss_gb,notes
task014a_default100_stage4_block_grating_p2_h5,aux_only_top_bottom_y,top_bottom_y,4,0.01638567159451177,1.000023428441342,1.090875889339385,0.0,128.8850866855393,2.0,1.9670143127441406,no FE lift; selected auxiliary unit vectors only; direct dense coarse solve
task014a_default100_stage4_block_grating_p2_h5,diag_jacobi_fe_lift_sign_-1,top_bottom_y,4,0.016385859622602753,1.0000119531510296,1.0000086764622695,0.0,8.117453349927553,1.9999999999999791,1.9670143127441406,one diagonal-preconditioned FE response; sign diagnostic; direct dense coarse solve
task014a_default100_stage4_block_grating_p2_h5,diag_jacobi_fe_lift_sign_+1,top_bottom_y,4,0.016385715787606663,1.0000207313281466,1.0001474149656528,0.0,14.898928024651163,1.9999999999999791,1.9670143127441406,one diagonal-preconditioned FE response; sign diagnostic; direct dense coarse solve
task014a_default100_stage4_block_grating_p2_h5,lgmres_maxit1_fe_lift_sign_-1,top_bottom_y,4,0.0163791656841514,1.0004206442036814,1.0048481426880513,0.0,0.5837822125224045,2.0000000000002154,1.9670143127441406,"lgmres max_it=1 sign diagnostic; infos=[{'mode_id': 177, 'status': 'not_converged', 'reason': 'scipy_lgmres_info=1', 'iterations': 1, 'time_s': 2.2021002690016758, 'relative_residual': 0.5414844366290409}, {'mode_id': 531, 'status': 'not_converged', 'reason': 'scipy_lgmres_info=1', 'iterations': 1, 'time_s': 2.0587340210040566, 'relative_residual': 0.5414662351117857}]; direct dense coarse solve"
task014a_default100_stage4_block_grating_p2_h5,lgmres_maxit1_fe_lift_sign_+1,top_bottom_y,4,0.016384721004275262,1.0000814466710763,1.0048444155113132,0.0,2.2018625966403538,2.0000000000002154,1.9670143127441406,"lgmres max_it=1 sign diagnostic; infos=[{'mode_id': 177, 'status': 'not_converged', 'reason': 'scipy_lgmres_info=1', 'iterations': 1, 'time_s': 1.9593397179851308, 'relative_residual': 0.5414844366290409}, {'mode_id': 531, 'status': 'not_converged', 'reason': 'scipy_lgmres_info=1', 'iterations': 1, 'time_s': 2.203352550015552, 'relative_residual': 0.5414662351117857}]; direct dense coarse solve"
task014a_default100_stage4_block_grating_p2_h5,gcrotmk_maxit1_fe_lift_sign_-1,top_bottom_y,4,0.01637262611788445,1.0008202329471418,1.0025501810064643,0.0,0.2925457965336924,2.0000000000002838,1.9670143127441406,"gcrotmk max_it=1 sign diagnostic; infos=[{'mode_id': 177, 'status': 'not_converged', 'reason': 'scipy_gcrotmk_info=1', 'iterations': 1, 'time_s': 2.798748158995295, 'relative_residual': 0.27265209243644256}, {'mode_id': 531, 'status': 'not_converged', 'reason': 'scipy_gcrotmk_info=1', 'iterations': 1, 'time_s': 2.810013094014721, 'relative_residual': 0.2726502876499034}]; direct dense coarse solve"
task014a_default100_stage4_block_grating_p2_h5,gcrotmk_maxit1_fe_lift_sign_+1,top_bottom_y,4,0.016385263643108557,1.0000483264820308,1.0029430782853124,0.0,2.0818743363597587,2.0000000000002838,1.9670143127441406,"gcrotmk max_it=1 sign diagnostic; infos=[{'mode_id': 177, 'status': 'not_converged', 'reason': 'scipy_gcrotmk_info=1', 'iterations': 1, 'time_s': 2.900196714006597, 'relative_residual': 0.27265209243644256}, {'mode_id': 531, 'status': 'not_converged', 'reason': 'scipy_gcrotmk_info=1', 'iterations': 1, 'time_s': 2.950269630004186, 'relative_residual': 0.2726502876499034}]; direct dense coarse solve"
task014a_default100_stage4_block_grating_p2_h5,bicgstab_maxit1_fe_lift_sign_-1,top_bottom_y,4,0.016383902023321868,1.0001314376717243,1.0001538896376587,0.0,2.483831905748381,2.000000000000063,1.9670143127441406,"bicgstab max_it=1 sign diagnostic; infos=[{'mode_id': 177, 'status': 'not_converged', 'reason': 'scipy_bicgstab_info=1', 'iterations': 1, 'time_s': 0.159381839010166, 'relative_residual': 0.7706876372242959}, {'mode_id': 531, 'status': 'not_converged', 'reason': 'scipy_bicgstab_info=1', 'iterations': 1, 'time_s': 0.15685541997663677, 'relative_residual': 0.7704561658583384}]; direct dense coarse solve"
task014a_default100_stage4_block_grating_p2_h5,bicgstab_maxit1_fe_lift_sign_+1,top_bottom_y,4,0.01638581651991143,1.0000145836703256,1.000413953452866,0.0,5.339409667694902,2.000000000000063,1.9670143127441406,"bicgstab max_it=1 sign diagnostic; infos=[{'mode_id': 177, 'status': 'not_converged', 'reason': 'scipy_bicgstab_info=1', 'iterations': 1, 'time_s': 0.15526022398262285, 'relative_residual': 0.7706876372242959}, {'mode_id': 531, 'status': 'not_converged', 'reason': 'scipy_bicgstab_info=1', 'iterations': 1, 'time_s': 0.15534414400462992, 'relative_residual': 0.7704561658583384}]; direct dense coarse solve"
task014a_default100_stage4_block_grating_p2_h5,fe_residual_diag_jacobi_only,top_bottom_y,2,0.01572070421310687,1.0423232485727947,1.0000000000000129,0.0,24.77051228000656,1.414213562373271,1.9670143127441406,one FE-only vector from diagonal preconditioned current FE residual; direct dense coarse solve
task014a_default100_stage4_block_grating_p2_h5,aux_only_plus_fe_residual_diag_jacobi,top_bottom_y,6,0.01572045059058614,1.042340064671557,14.125338728741323,0.0,131.24383356391277,2.4494897427832303,1.9670143127441406,selected aux basis enriched by one diagonal-preconditioned current FE residual vector; direct dense coarse solve
task014a_default100_stage4_block_grating_p2_h5,aux_only_plus_fe_residual_lgmres_maxit_1,top_bottom_y,6,0.015267230060836587,1.0732828037543622,1320.7578277753203,0.0,128.91056794361762,2.449489742783184,1.9670143127441406,"selected aux basis enriched by approximate solve of current FE residual; info={'status': 'not_converged', 'reason': 'scipy_lgmres_info=1', 'iterations': 1, 'time_s': 2.0233725830039475, 'relative_residual': 0.2731360216169566}; direct dense coarse solve"
task014a_default100_stage4_block_grating_p2_h5,aux_only_plus_fe_residual_lgmres_maxit_2,top_bottom_y,6,0.015245037752243371,1.0748451890744775,1698.8827045701,0.0,128.90489774891802,2.4494897427831797,1.9670143127441406,"selected aux basis enriched by approximate solve of current FE residual; info={'status': 'not_converged', 'reason': 'scipy_lgmres_info=2', 'iterations': 2, 'time_s': 4.098197322979104, 'relative_residual': 0.23269182327033233}; direct dense coarse solve"
task014a_default100_stage4_block_grating_p2_h5,aux_only_plus_fe_residual_lgmres_maxit_4,top_bottom_y,6,0.015227745627863068,1.0760657477279552,2405.862496334054,0.0,128.8990825305673,2.4494897427831797,1.9670143127441406,"selected aux basis enriched by approximate solve of current FE residual; info={'status': 'not_converged', 'reason': 'scipy_lgmres_info=4', 'iterations': 4, 'time_s': 8.118159414007096, 'relative_residual': 0.19144541192301387}; direct dense coarse solve"
task014a_default100_stage4_block_grating_p2_h5,aux_only_plus_fe_residual_lgmres_maxit_8,top_bottom_y,6,0.015211884055390888,1.0771877714549485,3742.066313657875,0.0,128.8940862689368,2.449489742783178,1.9670143127441406,"selected aux basis enriched by approximate solve of current FE residual; info={'status': 'not_converged', 'reason': 'scipy_lgmres_info=8', 'iterations': 8, 'time_s': 16.007973322004545, 'relative_residual': 0.15157429301380973}; direct dense coarse solve"
task014a_default100_stage4_block_grating_p2_h5,aux_only_plus_fe_residual_lgmres_maxit_16,top_bottom_y,6,0.015200925401376656,1.0779643378667978,5560.836645859574,0.0,128.8911435317409,2.4494897427831765,1.9670143127441406,"selected aux basis enriched by approximate solve of current FE residual; info={'status': 'not_converged', 'reason': 'scipy_lgmres_info=16', 'iterations': 16, 'time_s': 31.897843724000268, 'relative_residual': 0.11995346540550696}; direct dense coarse solve"
task014a_default100_stage4_block_grating_p2_h5,aux_only_plus_fe_residual_lgmres_maxit_32,top_bottom_y,6,0.015197656021366052,1.0781962338284783,9092.477082064785,0.0,128.8887911554379,2.4494897427831708,1.9670143127441406,"selected aux basis enriched by approximate solve of current FE residual; info={'status': 'not_converged', 'reason': 'scipy_lgmres_info=32', 'iterations': 32, 'time_s': 64.8875023330038, 'relative_residual': 0.10459379867337593}; direct dense coarse solve"
task014a_default100_stage4_block_grating_p2_h5,aux_only_plus_fe_residual_gcrotmk_maxit_1,top_bottom_y,6,0.015239034915282711,1.0752685833683966,1289.6416491402672,0.0,128.91118283625693,2.449489742783174,1.9670143127441406,"selected aux basis enriched by approximate solve of current FE residual; info={'status': 'not_converged', 'reason': 'scipy_gcrotmk_info=1', 'iterations': 1, 'time_s': 3.062535899982322, 'relative_residual': 0.20126043915847808}; direct dense coarse solve"
task014a_default100_stage4_block_grating_p2_h5,aux_only_plus_fe_residual_gcrotmk_maxit_2,top_bottom_y,6,0.015226758328821583,1.0761355195505826,1405.1423613607428,0.0,128.9090452043748,2.4494897427831797,2.314849853515625,"selected aux basis enriched by approximate solve of current FE residual; info={'status': 'not_converged', 'reason': 'scipy_gcrotmk_info=2', 'iterations': 2, 'time_s': 5.864385314023821, 'relative_residual': 0.17864729202874904}; direct dense coarse solve"
task014a_default100_stage4_block_grating_p2_h5,aux_only_plus_fe_residual_gcrotmk_maxit_4,top_bottom_y,6,0.015220915402811116,1.0765486208688388,1682.5601203034555,0.0,128.9050965310309,2.4494897427831774,2.314849853515625,"selected aux basis enriched by approximate solve of current FE residual; info={'status': 'not_converged', 'reason': 'scipy_gcrotmk_info=4', 'iterations': 4, 'time_s': 11.224619682994671, 'relative_residual': 0.16624664296731018}; direct dense coarse solve"
task014a_default100_stage4_block_grating_p2_h5,aux_only_plus_fe_residual_gcrotmk_maxit_8,top_bottom_y,6,0.01520812980521538,1.077453683991982,3218.2308846314004,0.0,128.89555014248148,2.449489742783171,2.3148536682128906,"selected aux basis enriched by approximate solve of current FE residual; info={'status': 'not_converged', 'reason': 'scipy_gcrotmk_info=8', 'iterations': 8, 'time_s': 21.53173182401224, 'relative_residual': 0.1351333579243936}; direct dense coarse solve"
task014a_default100_stage4_block_grating_p2_h5,aux_only_plus_fe_residual_gcrotmk_maxit_16,top_bottom_y,6,0.015203428966096047,1.0777868283397651,4032.4022268657345,0.0,128.89343674469598,2.449489742783182,2.3148536682128906,"selected aux basis enriched by approximate solve of current FE residual; info={'status': 'not_converged', 'reason': 'scipy_gcrotmk_info=16', 'iterations': 16, 'time_s': 37.1677440200001, 'relative_residual': 0.1236550471941529}; direct dense coarse solve"
task014a_default100_stage4_block_grating_p2_h5,aux_only_plus_fe_residual_gcrotmk_maxit_32,top_bottom_y,6,0.015199925262995762,1.078035266735781,4980.324719976276,0.0,128.89184836500883,2.449489742783181,2.3148536682128906,"selected aux basis enriched by approximate solve of current FE residual; info={'status': 'not_converged', 'reason': 'scipy_gcrotmk_info=32', 'iterations': 32, 'time_s': 63.08469328499632, 'relative_residual': 0.11547196366999106}; direct dense coarse solve"
task014a_default100_stage4_block_grating_p2_h5,selected_fe_lift_plus_fe_residual_lgmres_maxit_4,top_bottom_y,6,0.015222177548487377,1.0764593589230504,79.20428348086159,0.0,1.9234657387198133,2.4494897427833844,2.3148536682128906,"selected FE lift basis plus current FE residual solve; fe_info={'status': 'not_converged', 'reason': 'scipy_lgmres_info=4', 'iterations': 4, 'time_s': 8.130358897004044, 'relative_residual': 0.19144541192301387}; selected_infos=[{'mode_id': 177, 'status': 'not_converged', 'reason': 'scipy_lgmres_info=4', 'iterations': 4, 'time_s': 7.9026766869938, 'relative_residual': 0.3761614102112336}, {'mode_id': 531, 'status': 'not_converged', 'reason': 'scipy_lgmres_info=4', 'iterations': 4, 'time_s': 7.884063031000551, 'relative_residual': 0.3743815081357258}]; direct dense coarse solve"
task014a_default100_stage4_block_grating_p2_h5,selected_fe_lift_plus_fe_residual_lgmres_maxit_16,top_bottom_y,6,0.01518724150328378,1.0789355974694013,78.380178341618,0.0,1.266815083991548,2.449489742783283,2.3148536682128906,"selected FE lift basis plus current FE residual solve; fe_info={'status': 'not_converged', 'reason': 'scipy_lgmres_info=16', 'iterations': 16, 'time_s': 32.687726840988034, 'relative_residual': 0.11995346540550696}; selected_infos=[{'mode_id': 177, 'status': 'not_converged', 'reason': 'scipy_lgmres_info=16', 'iterations': 16, 'time_s': 32.366778099007206, 'relative_residual': 0.2900429117518404}, {'mode_id': 531, 'status': 'not_converged', 'reason': 'scipy_lgmres_info=16', 'iterations': 16, 'time_s': 33.00392532499973, 'relative_residual': 0.31866624190567855}]; direct dense coarse solve"
task014a_default100_stage4_block_grating_p2_h5,selected_fe_lift_plus_fe_residual_lgmres_maxit_32,top_bottom_y,6,0.015168833980396102,1.0802448959778046,201.897835080001,0.0,0.9854738102346937,2.4494897427832565,2.3148536682128906,"selected FE lift basis plus current FE residual solve; fe_info={'status': 'not_converged', 'reason': 'scipy_lgmres_info=32', 'iterations': 32, 'time_s': 64.11454708100064, 'relative_residual': 0.10459379867337593}; selected_infos=[{'mode_id': 177, 'status': 'not_converged', 'reason': 'scipy_lgmres_info=32', 'iterations': 32, 'time_s': 64.07520089001628, 'relative_residual': 0.23288673700659074}, {'mode_id': 531, 'status': 'not_converged', 'reason': 'scipy_lgmres_info=32', 'iterations': 32, 'time_s': 64.12692527199397, 'relative_residual': 0.25973967075879256}]; direct dense coarse solve"
task014a_default100_stage4_block_grating_p2_h5,selected_fe_lift_plus_fe_residual_gcrotmk_maxit_4,top_bottom_y,6,0.015204254301335693,1.0777283226457255,157.53304793971907,0.0,2.2856292441014654,2.4494897427836797,2.3238983154296875,"selected FE lift basis plus current FE residual solve; fe_info={'status': 'not_converged', 'reason': 'scipy_gcrotmk_info=4', 'iterations': 4, 'time_s': 11.096147792006377, 'relative_residual': 0.16624664296731018}; selected_infos=[{'mode_id': 177, 'status': 'not_converged', 'reason': 'scipy_gcrotmk_info=4', 'iterations': 4, 'time_s': 11.23101596799097, 'relative_residual': 0.2550342168272233}, {'mode_id': 531, 'status': 'not_converged', 'reason': 'scipy_gcrotmk_info=4', 'iterations': 4, 'time_s': 10.939827891997993, 'relative_residual': 0.2547529751397044}]; direct dense coarse solve"
task014a_default100_stage4_block_grating_p2_h5,selected_fe_lift_plus_fe_residual_gcrotmk_maxit_16,top_bottom_y,6,0.015173099262924282,1.0799412302862323,268.5329603137693,0.0,1.4749193030841004,2.449489742783471,2.328350067138672,"selected FE lift basis plus current FE residual solve; fe_info={'status': 'not_converged', 'reason': 'scipy_gcrotmk_info=16', 'iterations': 16, 'time_s': 37.02792608400341, 'relative_residual': 0.1236550471941529}; selected_infos=[{'mode_id': 177, 'status': 'not_converged', 'reason': 'scipy_gcrotmk_info=16', 'iterations': 16, 'time_s': 37.12086879299022, 'relative_residual': 0.22125011334659447}, {'mode_id': 531, 'status': 'not_converged', 'reason': 'scipy_gcrotmk_info=16', 'iterations': 16, 'time_s': 37.286908590991516, 'relative_residual': 0.19233454259458307}]; direct dense coarse solve"
task014a_default100_stage4_block_grating_p2_h5,selected_fe_lift_plus_fe_residual_gcrotmk_maxit_32,top_bottom_y,6,0.015166240185462978,1.0804296440566596,242.13859437354378,0.0,1.3270141234525399,2.4494897427832396,2.328350067138672,"selected FE lift basis plus current FE residual solve; fe_info={'status': 'not_converged', 'reason': 'scipy_gcrotmk_info=32', 'iterations': 32, 'time_s': 62.766624345007585, 'relative_residual': 0.11547196366999106}; selected_infos=[{'mode_id': 177, 'status': 'not_converged', 'reason': 'scipy_gcrotmk_info=32', 'iterations': 32, 'time_s': 62.824760763003724, 'relative_residual': 0.20816698597724545}, {'mode_id': 531, 'status': 'not_converged', 'reason': 'scipy_gcrotmk_info=32', 'iterations': 32, 'time_s': 61.64396929499344, 'relative_residual': 0.18509032332334602}]; direct dense coarse solve"
