case,variant,mode_set,real_basis_dim,residual_after,improvement,basis_condition,regularization,az_norm,z_norm,rss_gb,notes
task014a_default100_stage4_block_grating_p2_h5,aux_only_top_bottom_y,top_bottom_y,4,0.015815449038959616,1.0000389913222394,1.090875889339385,0.0,128.8850866855393,2.0,1.9675788879394531,no FE lift; selected auxiliary unit vectors only; direct dense coarse solve
task014a_default100_stage4_block_grating_p2_h5,diag_jacobi_fe_lift_sign_-1,top_bottom_y,4,0.015815305313763305,1.0000480794047957,1.0000086764622695,0.0,8.117453349927553,1.9999999999999791,1.9675788879394531,one diagonal-preconditioned FE response; sign diagnostic; direct dense coarse solve
task014a_default100_stage4_block_grating_p2_h5,diag_jacobi_fe_lift_sign_+1,top_bottom_y,4,0.015815748227853088,1.000020073433883,1.0001474149656528,0.0,14.898928024651163,1.9999999999999791,1.9675788879394531,one diagonal-preconditioned FE response; sign diagnostic; direct dense coarse solve
task014a_default100_stage4_block_grating_p2_h5,lgmres_maxit1_fe_lift_sign_-1,top_bottom_y,4,0.015810153054957306,1.0003739779906997,1.0048481426880513,0.0,0.5837822125224045,2.0000000000002154,1.9675788879394531,"lgmres max_it=1 sign diagnostic; infos=[{'mode_id': 177, 'status': 'not_converged', 'reason': 'scipy_lgmres_info=1', 'iterations': 1, 'time_s': 2.3786879690014757, 'relative_residual': 0.5414844366290409}, {'mode_id': 531, 'status': 'not_converged', 'reason': 'scipy_lgmres_info=1', 'iterations': 1, 'time_s': 2.1899946400080808, 'relative_residual': 0.5414662351117857}]; direct dense coarse solve"
task014a_default100_stage4_block_grating_p2_h5,lgmres_maxit1_fe_lift_sign_+1,top_bottom_y,4,0.015814470839496483,1.0001008484412255,1.0048444155113132,0.0,2.2018625966403538,2.0000000000002154,1.9675788879394531,"lgmres max_it=1 sign diagnostic; infos=[{'mode_id': 177, 'status': 'not_converged', 'reason': 'scipy_lgmres_info=1', 'iterations': 1, 'time_s': 2.313643931003753, 'relative_residual': 0.5414844366290409}, {'mode_id': 531, 'status': 'not_converged', 'reason': 'scipy_lgmres_info=1', 'iterations': 1, 'time_s': 2.2483946989959804, 'relative_residual': 0.5414662351117857}]; direct dense coarse solve"
task014a_default100_stage4_block_grating_p2_h5,gcrotmk_maxit1_fe_lift_sign_-1,top_bottom_y,4,0.015804765165049504,1.0007150083574123,1.0025501810064643,0.0,0.2925457965336924,2.0000000000002838,1.9675788879394531,"gcrotmk max_it=1 sign diagnostic; infos=[{'mode_id': 177, 'status': 'not_converged', 'reason': 'scipy_gcrotmk_info=1', 'iterations': 1, 'time_s': 2.9642804129980505, 'relative_residual': 0.27265209243644256}, {'mode_id': 531, 'status': 'not_converged', 'reason': 'scipy_gcrotmk_info=1', 'iterations': 1, 'time_s': 2.984849240994663, 'relative_residual': 0.2726502876499034}]; direct dense coarse solve"
task014a_default100_stage4_block_grating_p2_h5,gcrotmk_maxit1_fe_lift_sign_+1,top_bottom_y,4,0.015815181959398763,1.00005587952342,1.0029430782853124,0.0,2.0818743363597587,2.0000000000002838,1.9675788879394531,"gcrotmk max_it=1 sign diagnostic; infos=[{'mode_id': 177, 'status': 'not_converged', 'reason': 'scipy_gcrotmk_info=1', 'iterations': 1, 'time_s': 2.944702954002423, 'relative_residual': 0.27265209243644256}, {'mode_id': 531, 'status': 'not_converged', 'reason': 'scipy_gcrotmk_info=1', 'iterations': 1, 'time_s': 2.8434791500039864, 'relative_residual': 0.2726502876499034}]; direct dense coarse solve"
task014a_default100_stage4_block_grating_p2_h5,bicgstab_maxit1_fe_lift_sign_-1,top_bottom_y,4,0.01581379580841046,1.0001435389609488,1.0001538896376587,0.0,2.483831905748381,2.000000000000063,1.9675788879394531,"bicgstab max_it=1 sign diagnostic; infos=[{'mode_id': 177, 'status': 'not_converged', 'reason': 'scipy_bicgstab_info=1', 'iterations': 1, 'time_s': 0.18235970599926077, 'relative_residual': 0.7706876372242959}, {'mode_id': 531, 'status': 'not_converged', 'reason': 'scipy_bicgstab_info=1', 'iterations': 1, 'time_s': 0.16857494598662015, 'relative_residual': 0.7704561658583384}]; direct dense coarse solve"
task014a_default100_stage4_block_grating_p2_h5,bicgstab_maxit1_fe_lift_sign_+1,top_bottom_y,4,0.015815772178999873,1.0000185590198354,1.000413953452866,0.0,5.339409667694902,2.000000000000063,1.9675788879394531,"bicgstab max_it=1 sign diagnostic; infos=[{'mode_id': 177, 'status': 'not_converged', 'reason': 'scipy_bicgstab_info=1', 'iterations': 1, 'time_s': 0.17307022299792152, 'relative_residual': 0.7706876372242959}, {'mode_id': 531, 'status': 'not_converged', 'reason': 'scipy_bicgstab_info=1', 'iterations': 1, 'time_s': 0.17019993900612462, 'relative_residual': 0.7704561658583384}]; direct dense coarse solve"
task014a_default100_stage4_block_grating_p2_h5,fe_residual_diag_jacobi_only,top_bottom_y,2,0.015508003776858527,1.0198647054645824,1.0000000000001636,0.0,25.153369549680555,1.4142135623731797,1.9675788879394531,one FE-only vector from diagonal preconditioned current FE residual; direct dense coarse solve
task014a_default100_stage4_block_grating_p2_h5,aux_only_plus_fe_residual_diag_jacobi,top_bottom_y,6,0.015507514417699647,1.0198968885805217,13.699023176581205,0.0,131.31663097125625,2.449489742783189,1.9675788879394531,selected aux basis enriched by one diagonal-preconditioned current FE residual vector; direct dense coarse solve
task014a_default100_stage4_block_grating_p2_h5,aux_only_plus_fe_residual_lgmres_maxit_1,top_bottom_y,6,0.015244707225727882,1.0374791375158265,1232.3958592902545,0.0,128.91243243211508,2.449489742783173,1.9675788879394531,"selected aux basis enriched by approximate solve of current FE residual; info={'status': 'not_converged', 'reason': 'scipy_lgmres_info=1', 'iterations': 1, 'time_s': 2.1555139260017313, 'relative_residual': 0.30988981095181833}; direct dense coarse solve"
task014a_default100_stage4_block_grating_p2_h5,aux_only_plus_fe_residual_lgmres_maxit_2,top_bottom_y,6,0.01522901760228525,1.0385479954961843,1634.4234525315453,0.0,128.9057062477243,2.449489742783176,1.9675788879394531,"selected aux basis enriched by approximate solve of current FE residual; info={'status': 'not_converged', 'reason': 'scipy_lgmres_info=2', 'iterations': 2, 'time_s': 4.45803703799902, 'relative_residual': 0.26294609131123087}; direct dense coarse solve"
task014a_default100_stage4_block_grating_p2_h5,aux_only_plus_fe_residual_lgmres_maxit_4,top_bottom_y,6,0.015215142865331141,1.039495050701598,2427.2046455090226,0.0,128.89898379309258,2.449489742783183,1.9675788879394531,"selected aux basis enriched by approximate solve of current FE residual; info={'status': 'not_converged', 'reason': 'scipy_lgmres_info=4', 'iterations': 4, 'time_s': 8.265848823997658, 'relative_residual': 0.21304128559214272}; direct dense coarse solve"
task014a_default100_stage4_block_grating_p2_h5,aux_only_plus_fe_residual_lgmres_maxit_8,top_bottom_y,6,0.015203604560343939,1.0402839432882263,4050.914147231241,0.0,128.89341117563558,2.4494897427831814,1.9675788879394531,"selected aux basis enriched by approximate solve of current FE residual; info={'status': 'not_converged', 'reason': 'scipy_lgmres_info=8', 'iterations': 8, 'time_s': 17.020116348998272, 'relative_residual': 0.17095675764880247}; direct dense coarse solve"
task014a_default100_stage4_block_grating_p2_h5,aux_only_plus_fe_residual_lgmres_maxit_16,top_bottom_y,6,0.01519459049538593,1.040901083121144,8233.083622349104,0.0,128.88918447320714,2.449489742783175,1.9675788879394531,"selected aux basis enriched by approximate solve of current FE residual; info={'status': 'not_converged', 'reason': 'scipy_lgmres_info=16', 'iterations': 16, 'time_s': 32.216703497004346, 'relative_residual': 0.13249724836233445}; direct dense coarse solve"
task014a_default100_stage4_block_grating_p2_h5,aux_only_plus_fe_residual_lgmres_maxit_32,top_bottom_y,6,0.015192357216546097,1.0410540957399337,9047.954918282416,0.0,128.88881516083848,2.449489742783173,1.9675788879394531,"selected aux basis enriched by approximate solve of current FE residual; info={'status': 'not_converged', 'reason': 'scipy_lgmres_info=32', 'iterations': 32, 'time_s': 63.810514179989696, 'relative_residual': 0.12330143550726966}; direct dense coarse solve"
task014a_default100_stage4_block_grating_p2_h5,aux_only_plus_fe_residual_gcrotmk_maxit_1,top_bottom_y,6,0.0152271945112254,1.0386723366914332,1176.5062576227429,0.0,128.91373006902873,2.4494897427831828,1.9675788879394531,"selected aux basis enriched by approximate solve of current FE residual; info={'status': 'not_converged', 'reason': 'scipy_gcrotmk_info=1', 'iterations': 1, 'time_s': 2.8686469569947803, 'relative_residual': 0.24554076219925303}; direct dense coarse solve"
task014a_default100_stage4_block_grating_p2_h5,aux_only_plus_fe_residual_gcrotmk_maxit_2,top_bottom_y,6,0.015215618661319534,1.0394625454459074,1711.7248309933964,0.0,128.9047900516091,2.4494897427831823,2.315929412841797,"selected aux basis enriched by approximate solve of current FE residual; info={'status': 'not_converged', 'reason': 'scipy_gcrotmk_info=2', 'iterations': 2, 'time_s': 5.813858937006444, 'relative_residual': 0.2086429333773769}; direct dense coarse solve"
task014a_default100_stage4_block_grating_p2_h5,aux_only_plus_fe_residual_gcrotmk_maxit_4,top_bottom_y,6,0.015203677671773325,1.040278940771881,3218.5880632564254,0.0,128.89556056088833,2.449489742783172,2.315929412841797,"selected aux basis enriched by approximate solve of current FE residual; info={'status': 'not_converged', 'reason': 'scipy_gcrotmk_info=4', 'iterations': 4, 'time_s': 11.017854759003967, 'relative_residual': 0.17030034840587194}; direct dense coarse solve"
