p,h_nm,case,mode_set,solver_label,solver_family,rtol,max_it,restart,rhs_count,max_fe_relative_residual,mean_fe_relative_residual,total_iterations,status,time_s,rss_gb,one_shot_residual_after,improvement,notes
2,5.0,task014a_default100_stage4_block_grating_p2_h5,top_bottom_y,offline_scipy_gmres_diag_rtol_0.01_maxit_1_top_bottom_y,gmres,0.01,1,40,2,0.46302183278399334,0.46299290326504317,80,not_converged,7.219434202997945,1.9689254760742188,0.016382918958249088,1.0001914510482826,"offline minres one-shot after selected FE RHS; infos=[{'mode_id': 177, 'status': 'not_converged', 'reason': 'scipy_gmres_info=1', 'iterations': 40, 'time_s': 3.1529826420010068, 'relative_residual': 0.46296397374609305}, {'mode_id': 531, 'status': 'not_converged', 'reason': 'scipy_gmres_info=1', 'iterations': 40, 'time_s': 3.2177134990051854, 'relative_residual': 0.46302183278399334}]"
2,5.0,task014a_default100_stage4_block_grating_p2_h5,top_bottom_y,offline_scipy_gmres_diag_rtol_0.01_maxit_2_top_bottom_y,gmres,0.01,2,40,2,0.4154915445861316,0.41544044589859075,160,not_converged,13.640916766002192,2.0983200073242188,0.016382095821399285,1.000241706793896,"offline minres one-shot after selected FE RHS; infos=[{'mode_id': 177, 'status': 'not_converged', 'reason': 'scipy_gmres_info=2', 'iterations': 80, 'time_s': 6.47855819700635, 'relative_residual': 0.4154915445861316}, {'mode_id': 531, 'status': 'not_converged', 'reason': 'scipy_gmres_info=2', 'iterations': 80, 'time_s': 6.203016490006121, 'relative_residual': 0.41538934721105}]"
2,5.0,task014a_default100_stage4_block_grating_p2_h5,top_bottom_y,offline_scipy_gmres_diag_rtol_0.01_maxit_4_top_bottom_y,gmres,0.01,4,40,2,0.36813398990245866,0.3680722796630591,320,not_converged,25.505407769989688,2.1612510681152344,0.016380709224739436,1.0003263753995502,"offline minres one-shot after selected FE RHS; infos=[{'mode_id': 177, 'status': 'not_converged', 'reason': 'scipy_gmres_info=4', 'iterations': 160, 'time_s': 12.408205305997399, 'relative_residual': 0.36813398990245866}, {'mode_id': 531, 'status': 'not_converged', 'reason': 'scipy_gmres_info=4', 'iterations': 160, 'time_s': 12.3476192800008, 'relative_residual': 0.3680105694236596}]"
2,5.0,task014a_default100_stage4_block_grating_p2_h5,top_bottom_y,offline_scipy_gmres_diag_rtol_0.01_maxit_8_top_bottom_y,gmres,0.01,8,40,2,0.3469167446914131,0.34641989509136734,640,not_converged,49.95945636800025,2.170238494873047,0.016380249926222216,1.000354424325728,"offline minres one-shot after selected FE RHS; infos=[{'mode_id': 177, 'status': 'not_converged', 'reason': 'scipy_gmres_info=8', 'iterations': 320, 'time_s': 24.781524327001534, 'relative_residual': 0.3469167446914131}, {'mode_id': 531, 'status': 'not_converged', 'reason': 'scipy_gmres_info=8', 'iterations': 320, 'time_s': 24.38854066899512, 'relative_residual': 0.3459230454913216}]"
2,5.0,task014a_default100_stage4_block_grating_p2_h5,top_bottom_y,offline_scipy_gmres_diag_rtol_0.01_maxit_16_top_bottom_y,gmres,0.01,16,40,2,0.33104407890124965,0.32774347089803546,1280,not_converged,99.25771485400037,2.170238494873047,0.016379464903355803,1.0004023685719075,"offline minres one-shot after selected FE RHS; infos=[{'mode_id': 177, 'status': 'not_converged', 'reason': 'scipy_gmres_info=16', 'iterations': 640, 'time_s': 49.34965730000113, 'relative_residual': 0.3244428628948213}, {'mode_id': 531, 'status': 'not_converged', 'reason': 'scipy_gmres_info=16', 'iterations': 640, 'time_s': 49.14476864199969, 'relative_residual': 0.33104407890124965}]"
2,5.0,task014a_default100_stage4_block_grating_p2_h5,top_bottom_y,offline_scipy_lgmres_diag_rtol_0.01_maxit_1_top_bottom_y,lgmres,0.01,1,40,2,0.5414844366290409,0.5414753358704133,2,not_converged,4.755155923994607,2.170238494873047,0.0163791656841514,1.0004206442036814,"offline minres one-shot after selected FE RHS; infos=[{'mode_id': 177, 'status': 'not_converged', 'reason': 'scipy_lgmres_info=1', 'iterations': 1, 'time_s': 2.050361479006824, 'relative_residual': 0.5414844366290409}, {'mode_id': 531, 'status': 'not_converged', 'reason': 'scipy_lgmres_info=1', 'iterations': 1, 'time_s': 1.9652784960053395, 'relative_residual': 0.5414662351117857}]"
2,5.0,task014a_default100_stage4_block_grating_p2_h5,top_bottom_y,offline_scipy_lgmres_diag_rtol_0.01_maxit_2_top_bottom_y,lgmres,0.01,2,40,2,0.4653007114052534,0.46517500770237913,4,not_converged,8.58635313999548,2.1704177856445312,0.016382304794385506,1.000228947691985,"offline minres one-shot after selected FE RHS; infos=[{'mode_id': 177, 'status': 'not_converged', 'reason': 'scipy_lgmres_info=2', 'iterations': 2, 'time_s': 3.914229827001691, 'relative_residual': 0.46504930399950484}, {'mode_id': 531, 'status': 'not_converged', 'reason': 'scipy_lgmres_info=2', 'iterations': 2, 'time_s': 3.9155529140116414, 'relative_residual': 0.4653007114052534}]"
2,5.0,task014a_default100_stage4_block_grating_p2_h5,top_bottom_y,offline_scipy_lgmres_diag_rtol_0.01_maxit_4_top_bottom_y,lgmres,0.01,4,40,2,0.3761614102112336,0.3752714591734797,8,not_converged,16.772034156994778,2.1747589111328125,0.016382333279202674,1.0002272085417543,"offline minres one-shot after selected FE RHS; infos=[{'mode_id': 177, 'status': 'not_converged', 'reason': 'scipy_lgmres_info=4', 'iterations': 4, 'time_s': 8.076987707987428, 'relative_residual': 0.3761614102112336}, {'mode_id': 531, 'status': 'not_converged', 'reason': 'scipy_lgmres_info=4', 'iterations': 4, 'time_s': 7.946515418996569, 'relative_residual': 0.3743815081357258}]"
2,5.0,task014a_default100_stage4_block_grating_p2_h5,top_bottom_y,offline_scipy_lgmres_diag_rtol_0.01_maxit_8_top_bottom_y,lgmres,0.01,8,40,2,0.34050399676161974,0.33853910388339614,16,not_converged,32.659857391001424,2.1747589111328125,0.016380969236292103,1.0003104974371237,"offline minres one-shot after selected FE RHS; infos=[{'mode_id': 177, 'status': 'not_converged', 'reason': 'scipy_lgmres_info=8', 'iterations': 8, 'time_s': 16.016529271000763, 'relative_residual': 0.34050399676161974}, {'mode_id': 531, 'status': 'not_converged', 'reason': 'scipy_lgmres_info=8', 'iterations': 8, 'time_s': 15.81544798098912, 'relative_residual': 0.3365742110051725}]"
2,5.0,task014a_default100_stage4_block_grating_p2_h5,top_bottom_y,offline_scipy_lgmres_diag_rtol_0.01_maxit_16_top_bottom_y,lgmres,0.01,16,40,2,0.31866624190567855,0.30435457682875944,32,not_converged,64.67491476298892,2.2061309814453125,0.016375279604616585,1.0006580578103808,"offline minres one-shot after selected FE RHS; infos=[{'mode_id': 177, 'status': 'not_converged', 'reason': 'scipy_lgmres_info=16', 'iterations': 16, 'time_s': 31.555555960992933, 'relative_residual': 0.2900429117518404}, {'mode_id': 531, 'status': 'not_converged', 'reason': 'scipy_lgmres_info=16', 'iterations': 16, 'time_s': 32.33852325097541, 'relative_residual': 0.31866624190567855}]"
2,5.0,task014a_default100_stage4_block_grating_p2_h5,top_bottom_y,offline_scipy_gcrotmk_diag_rtol_0.01_maxit_1_top_bottom_y,gcrotmk,0.01,1,40,2,0.27265209243644256,0.27265119004317295,2,not_converged,6.555495970998891,2.2061309814453125,0.01637262611788445,1.0008202329471418,"offline minres one-shot after selected FE RHS; infos=[{'mode_id': 177, 'status': 'not_converged', 'reason': 'scipy_gcrotmk_info=1', 'iterations': 1, 'time_s': 2.8622161349921953, 'relative_residual': 0.27265209243644256}, {'mode_id': 531, 'status': 'not_converged', 'reason': 'scipy_gcrotmk_info=1', 'iterations': 1, 'time_s': 2.9457291969738435, 'relative_residual': 0.2726502876499034}]"
2,5.0,task014a_default100_stage4_block_grating_p2_h5,top_bottom_y,offline_scipy_gcrotmk_diag_rtol_0.01_maxit_2_top_bottom_y,gcrotmk,0.01,2,40,2,0.26169007724118515,0.26157025915605425,4,not_converged,12.332968944014283,2.341876983642578,0.016369518176887858,1.001010250160757,"offline minres one-shot after selected FE RHS; infos=[{'mode_id': 177, 'status': 'not_converged', 'reason': 'scipy_gcrotmk_info=2', 'iterations': 2, 'time_s': 5.739903701003641, 'relative_residual': 0.26169007724118515}, {'mode_id': 531, 'status': 'not_converged', 'reason': 'scipy_gcrotmk_info=2', 'iterations': 2, 'time_s': 5.824956080003176, 'relative_residual': 0.2614504410709234}]"
2,5.0,task014a_default100_stage4_block_grating_p2_h5,top_bottom_y,offline_scipy_gcrotmk_diag_rtol_0.01_maxit_4_top_bottom_y,gcrotmk,0.01,4,40,2,0.2550342168272233,0.25489359598346384,8,not_converged,22.581275882024784,2.341876983642578,0.0163689037976489,1.0010478213948046,"offline minres one-shot after selected FE RHS; infos=[{'mode_id': 177, 'status': 'not_converged', 'reason': 'scipy_gcrotmk_info=4', 'iterations': 4, 'time_s': 10.93746749998536, 'relative_residual': 0.2550342168272233}, {'mode_id': 531, 'status': 'not_converged', 'reason': 'scipy_gcrotmk_info=4', 'iterations': 4, 'time_s': 10.937135571002727, 'relative_residual': 0.2547529751397044}]"
