p,h_nm,case,mode_set,solver_label,real_basis_dim,selected_mode_ids,max_fe_relative_residual,one_shot_residual_after,improvement,basis_condition,regularization,az_norm,z_norm,coarse_update_norm_over_x0,coarse_residual_fraction_removed,projected_az_orthogonality,build_time_s,rss_gb,notes
2,5.0,task014a_default100_stage4_block_grating_p2_h5,top_bottom_y,offline_scipy_gmres_diag_rtol_0.01_maxit_1_top_bottom_y,4,"177,531",0.46302183278399334,0.016382918958249088,1.0001914510482826,1.0020479617404117,0.0,0.4322864375138164,2.0000000000002514,0.08798539183418588,0.0001914144017948205,1.6975157135750864e-16,7.219434202997945,1.9689254760742188,"direct dense coarse solve; infos=[{'mode_id': 177, 'status': 'not_converged', 'reason': 'scipy_gmres_info=1', 'iterations': 40, 'time_s': 3.1529826420010068, 'relative_residual': 0.46296397374609305}, {'mode_id': 531, 'status': 'not_converged', 'reason': 'scipy_gmres_info=1', 'iterations': 40, 'time_s': 3.2177134990051854, 'relative_residual': 0.46302183278399334}]"
2,5.0,task014a_default100_stage4_block_grating_p2_h5,top_bottom_y,offline_scipy_gmres_diag_rtol_0.01_maxit_2_top_bottom_y,4,"177,531",0.4154915445861316,0.016382095821399285,1.000241706793896,1.006252120911573,0.0,0.38320937198920724,2.000000000000269,0.111401584241381,0.00024164838583962123,6.695448659261373e-17,13.640916766002192,2.0983200073242188,"direct dense coarse solve; infos=[{'mode_id': 177, 'status': 'not_converged', 'reason': 'scipy_gmres_info=2', 'iterations': 80, 'time_s': 6.47855819700635, 'relative_residual': 0.4154915445861316}, {'mode_id': 531, 'status': 'not_converged', 'reason': 'scipy_gmres_info=2', 'iterations': 80, 'time_s': 6.203016490006121, 'relative_residual': 0.41538934721105}]"
2,5.0,task014a_default100_stage4_block_grating_p2_h5,top_bottom_y,offline_scipy_gmres_diag_rtol_0.01_maxit_4_top_bottom_y,4,"177,531",0.36813398990245866,0.016380709224739436,1.0003263753995502,1.0236111226628133,0.0,0.312734505297256,2.0000000000007954,0.15794101505629507,0.00032626891340326036,7.073565722106037e-17,25.505407769989688,2.1612510681152344,"direct dense coarse solve; infos=[{'mode_id': 177, 'status': 'not_converged', 'reason': 'scipy_gmres_info=4', 'iterations': 160, 'time_s': 12.408205305997399, 'relative_residual': 0.36813398990245866}, {'mode_id': 531, 'status': 'not_converged', 'reason': 'scipy_gmres_info=4', 'iterations': 160, 'time_s': 12.3476192800008, 'relative_residual': 0.3680105694236596}]"
2,5.0,task014a_default100_stage4_block_grating_p2_h5,top_bottom_y,offline_scipy_gmres_diag_rtol_0.01_maxit_8_top_bottom_y,4,"177,531",0.3469167446914131,0.016380249926222216,1.000354424325728,1.151893291240135,0.0,0.27207295070448684,2.00000000000039,0.18392260329563476,0.00035429875363124363,3.3371564471907706e-17,49.95945636800025,2.170238494873047,"direct dense coarse solve; infos=[{'mode_id': 177, 'status': 'not_converged', 'reason': 'scipy_gmres_info=8', 'iterations': 320, 'time_s': 24.781524327001534, 'relative_residual': 0.3469167446914131}, {'mode_id': 531, 'status': 'not_converged', 'reason': 'scipy_gmres_info=8', 'iterations': 320, 'time_s': 24.38854066899512, 'relative_residual': 0.3459230454913216}]"
2,5.0,task014a_default100_stage4_block_grating_p2_h5,top_bottom_y,offline_scipy_gmres_diag_rtol_0.01_maxit_16_top_bottom_y,4,"177,531",0.33104407890124965,0.016379464903355803,1.0004023685719075,2.113996751980284,0.0,0.2112197862432102,2.0000000000001337,0.22422557962296352,0.00040220673655722017,5.650772726621429e-17,99.25771485400037,2.170238494873047,"direct dense coarse solve; infos=[{'mode_id': 177, 'status': 'not_converged', 'reason': 'scipy_gmres_info=16', 'iterations': 640, 'time_s': 49.34965730000113, 'relative_residual': 0.3244428628948213}, {'mode_id': 531, 'status': 'not_converged', 'reason': 'scipy_gmres_info=16', 'iterations': 640, 'time_s': 49.14476864199969, 'relative_residual': 0.33104407890124965}]"
2,5.0,task014a_default100_stage4_block_grating_p2_h5,top_bottom_y,offline_scipy_lgmres_diag_rtol_0.01_maxit_1_top_bottom_y,4,"177,531",0.5414844366290409,0.0163791656841514,1.0004206442036814,1.0048481426880513,0.0,0.5837822125224045,2.0000000000002154,0.09648988122967413,0.0004204673365335587,8.074846433038222e-17,4.755155923994607,2.170238494873047,"direct dense coarse solve; infos=[{'mode_id': 177, 'status': 'not_converged', 'reason': 'scipy_lgmres_info=1', 'iterations': 1, 'time_s': 2.050361479006824, 'relative_residual': 0.5414844366290409}, {'mode_id': 531, 'status': 'not_converged', 'reason': 'scipy_lgmres_info=1', 'iterations': 1, 'time_s': 1.9652784960053395, 'relative_residual': 0.5414662351117857}]"
2,5.0,task014a_default100_stage4_block_grating_p2_h5,top_bottom_y,offline_scipy_lgmres_diag_rtol_0.01_maxit_2_top_bottom_y,4,"177,531",0.4653007114052534,0.016382304794385506,1.000228947691985,1.0008182232241805,0.0,0.4644653576996374,2.000000000000202,0.08957531151172343,0.0002288952869374805,8.274956736640146e-17,8.58635313999548,2.1704177856445312,"direct dense coarse solve; infos=[{'mode_id': 177, 'status': 'not_converged', 'reason': 'scipy_lgmres_info=2', 'iterations': 2, 'time_s': 3.914229827001691, 'relative_residual': 0.46504930399950484}, {'mode_id': 531, 'status': 'not_converged', 'reason': 'scipy_lgmres_info=2', 'iterations': 2, 'time_s': 3.9155529140116414, 'relative_residual': 0.4653007114052534}]"
2,5.0,task014a_default100_stage4_block_grating_p2_h5,top_bottom_y,offline_scipy_lgmres_diag_rtol_0.01_maxit_4_top_bottom_y,4,"177,531",0.3761614102112336,0.016382333279202674,1.0002272085417543,1.0155216696569656,0.0,0.3030068724233871,2.0000000000002514,0.136287695687683,0.00022715692975949775,3.317722784421712e-17,16.772034156994778,2.1747589111328125,"direct dense coarse solve; infos=[{'mode_id': 177, 'status': 'not_converged', 'reason': 'scipy_lgmres_info=4', 'iterations': 4, 'time_s': 8.076987707987428, 'relative_residual': 0.3761614102112336}, {'mode_id': 531, 'status': 'not_converged', 'reason': 'scipy_lgmres_info=4', 'iterations': 4, 'time_s': 7.946515418996569, 'relative_residual': 0.3743815081357258}]"
2,5.0,task014a_default100_stage4_block_grating_p2_h5,top_bottom_y,offline_scipy_lgmres_diag_rtol_0.01_maxit_8_top_bottom_y,4,"177,531",0.34050399676161974,0.016380969236292103,1.0003104974371237,1.075531085868831,0.0,0.2636030860611109,2.0000000000002522,0.1805966643399563,0.0003104010583907524,1.0872146190589758e-16,32.659857391001424,2.1747589111328125,"direct dense coarse solve; infos=[{'mode_id': 177, 'status': 'not_converged', 'reason': 'scipy_lgmres_info=8', 'iterations': 8, 'time_s': 16.016529271000763, 'relative_residual': 0.34050399676161974}, {'mode_id': 531, 'status': 'not_converged', 'reason': 'scipy_lgmres_info=8', 'iterations': 8, 'time_s': 15.81544798098912, 'relative_residual': 0.3365742110051725}]"
2,5.0,task014a_default100_stage4_block_grating_p2_h5,top_bottom_y,offline_scipy_lgmres_diag_rtol_0.01_maxit_16_top_bottom_y,4,"177,531",0.31866624190567855,0.016375279604616585,1.0006580578103808,1.183737603640223,0.0,0.20858925123846384,2.0000000000001363,0.353151775941796,0.0006576250550771601,6.116330869641084e-17,64.67491476298892,2.2061309814453125,"direct dense coarse solve; infos=[{'mode_id': 177, 'status': 'not_converged', 'reason': 'scipy_lgmres_info=16', 'iterations': 16, 'time_s': 31.555555960992933, 'relative_residual': 0.2900429117518404}, {'mode_id': 531, 'status': 'not_converged', 'reason': 'scipy_lgmres_info=16', 'iterations': 16, 'time_s': 32.33852325097541, 'relative_residual': 0.31866624190567855}]"
2,5.0,task014a_default100_stage4_block_grating_p2_h5,top_bottom_y,offline_scipy_gcrotmk_diag_rtol_0.01_maxit_1_top_bottom_y,4,"177,531",0.27265209243644256,0.01637262611788445,1.0008202329471418,1.0025501810064643,0.0,0.2925457965336924,2.0000000000002838,0.26894785062137966,0.0008195607164401819,3.95740305693626e-17,6.555495970998891,2.2061309814453125,"direct dense coarse solve; infos=[{'mode_id': 177, 'status': 'not_converged', 'reason': 'scipy_gcrotmk_info=1', 'iterations': 1, 'time_s': 2.8622161349921953, 'relative_residual': 0.27265209243644256}, {'mode_id': 531, 'status': 'not_converged', 'reason': 'scipy_gcrotmk_info=1', 'iterations': 1, 'time_s': 2.9457291969738435, 'relative_residual': 0.2726502876499034}]"
