case_key,p,h_nm,method,M_per_direction,MPI,polarization,status,data_identity,source_sha,elements,fe_dofs,external_aux_dofs,modal_unknowns,total_rows,assembled_nnz,factor_nnz,R_total,T_total,A_balance,A_volume,R00_s,R00_p,R00_total,T00_s,T00_p,T00_total,true_relative_residual,assembly_seconds,factorization_seconds,solve_seconds,total_seconds,peak_memory_gib,swap_bytes,full3d_hybrid_closure_status,evidence_path
case093_p2_h5_full3d,2,5.0,Full3D,,8,s,full3d_reference_pass,measured_case093,6b30df2d445db42823139f57dd3960ec2aa7a116,1680,44698,80,,44778,4896156.0,4840396.0,0.08902160293625645,0.44258827865721156,0.46839011840653194,0.4683901184065563,0.08901303594296424,7.160654242064883e-28,0.08901303594296424,0.4425762354341274,3.429942674064945e-27,0.4425762354341274,9.707033769341045e-12,6.358342519997677,,5.656401437998284,16.567573738000647,2.959606170654297,0,same_degree_closure_pass,benchmarks/artifacts/task034/phase_f/records/p2_h5_full_mpi8_6b30df2.json
case093_p2_h5_hybrid,2,5.0,Hybrid,160,8,s,measured_shard_pass,measured_case093,bd24a7fbf6788781e8a4997a382d6b9978fc5756,,13652,,320,14052,,31053132.0,0.08902106910627358,0.4425867427427316,0.4683921881509948,0.46839218816802775,0.08901181967278046,8.875225782500018e-28,0.08901181967278046,0.44257405723682197,4.996946804206348e-28,0.44257405723682197,7.706079308365517e-12,,,,16.567573738000647,3.2848663330078125,0,same_degree_closure_pass,benchmarks/artifacts/task034/phase_f/records/p2_h5_hybrid_m160_mpi8_bd24a7f.json
case093_p2_h3_full3d,2,3.0,Full3D,,8,s,full3d_reference_pass,measured_case093,23f6fe2924328c21ac10abe4aa484f01665c9ca9,7776,198438,80,,198518,21317860.0,21167444.0,0.00461303140747413,0.583653357179117,0.4117336114134088,0.4117336114134929,0.0046012730541724715,7.984134572544312e-27,0.0046012730541724715,0.5836334378631933,3.4704209664315575e-27,0.5836334378631933,7.340687363765725e-12,29.414172554999823,,115.89908669900615,152.9722718520061,9.53493881225586,0,same_degree_closure_pass,benchmarks/artifacts/task034/phase_f/records/p2_h3_full_mpi8_23f6fe2.json
case093_p2_h3_hybrid,2,3.0,Hybrid,160,8,s,measured_shard_pass,measured_case093,214178873beea1fb3410a4f5cdf76bc9f25a43e5,,68396,,320,68796,,258736244.0,0.004612819904024643,0.5836509402052166,0.4117362398907588,0.4117362398941536,0.00460111769892669,1.1814230578203841e-25,0.00460111769892669,0.5836313202940457,3.348891367727641e-26,0.5836313202940457,6.71046717740007e-12,,,,152.9722718520061,4.695159912109375,0,same_degree_closure_pass,benchmarks/artifacts/task034/phase_f/records/p2_h3_hybrid_m160_mpi8_2141788.json
case093_p2_h2_full3d,2,2.0,Full3D,,8,s,full3d_reference_pass,measured_case093,214178873beea1fb3410a4f5cdf76bc9f25a43e5,24570,615108,80,,615188,65448472.0,65122664.0,0.001342932846259213,0.5992132294442238,0.39944383770951697,0.39944383770948677,0.0013331247612461041,3.9240771569755707e-26,0.0013331247612461041,0.5991869131109211,2.7910647820184236e-26,0.5991869131109211,1.7478325298098522e-11,94.81294470999273,,1121.6547318330122,1235.543220432999,32.53961181640625,0,same_degree_closure_pass,benchmarks/artifacts/task034/phase_f/records/p2_h2_full_mpi8_2141788.json
case093_p2_h2_hybrid,2,2.0,Hybrid,160,8,s,measured_shard_pass,measured_case093,06e0ee1067a6cf4764127a66a7db7cca3ce093d8,,180696,,320,181096,,1190762960.0,0.0013428847338476126,0.5992126760614344,0.39944443920471806,0.3994444392078582,0.0013330976078447182,2.584098036794471e-24,0.0013330976078447182,0.5991864101847902,1.1881219471679166e-24,0.5991864101847902,2.2392739819502145e-11,,,,1235.543220432999,11.30533218383789,0,same_degree_closure_pass,benchmarks/artifacts/task034/phase_f/records/p2_h2_hybrid_m160_mpi8_06e0ee1.json
case093_p3_h10_full3d,3,10.0,Full3D,,8,s,full3d_reference_pass,measured_case093,06e0ee1067a6cf4764127a66a7db7cca3ce093d8,252,23073,80,,23153,5754869.0,5717349.0,0.05539849053529889,0.4060678667548069,0.5385336427098942,0.5385336427098364,0.055382678072592055,5.9734949861992904e-27,0.055382678072592055,0.40601071919562415,5.469992616202711e-28,0.40601071919562415,2.649469728483168e-12,13.05238360799558,,3.069447564004804,20.09181297699979,2.7445716857910156,0,same_degree_closure_not_qualified,benchmarks/artifacts/task034/phase_f/records/p3_h10_full_mpi8_06e0ee1.json
case093_p3_h10_hybrid,3,10.0,Hybrid,160,8,s,formal_not_pass,measured_case093,e0917859aa53cd6cff6bc3bc411b29255aeac9e2,,7194,,320,7594,,15148907.0,0.055398802101188534,0.4060693097062274,0.538531888192584,0.5385318866253695,0.055379286430711536,4.454679162960821e-27,0.055379286430711536,0.40602677299993806,8.715759452291597e-26,0.40602677299993806,1.3779708763913918e-12,,,,20.09181297699979,2.8677101135253906,0,same_degree_closure_not_qualified,benchmarks/artifacts/task034/phase_f/records/p3_h10_hybrid_m160_mpi8_e091785_v3.json
case093_p3_h7p5_full3d,3,7.5,Full3D,,8,s,full3d_reference_pass,measured_case093,06e0ee1067a6cf4764127a66a7db7cca3ce093d8,720,63747,80,,63827,15675515.0,15600555.0,0.003090727449921082,0.5911608633289427,0.4057484092211362,0.4057484092211082,0.0030797681919463938,4.597563552669621e-29,0.0030797681919463938,0.5911365587199348,6.804357669210229e-30,0.5911365587199348,7.682276685681863e-12,37.33666781599459,,10.190801577002276,52.32774578599492,4.6096954345703125,0,same_degree_closure_pass,benchmarks/artifacts/task034/phase_f/records/p3_h7p5_full_mpi8_06e0ee1.json
case093_p3_h7p5_hybrid,3,7.5,Hybrid,160,8,s,measured_shard_pass,measured_case093,e0917859aa53cd6cff6bc3bc411b29255aeac9e2,,26598,,320,26998,,55947095.0,0.0030906473816573114,0.5911596794063378,0.40574967321200484,0.40574967315572685,0.003079764906631983,3.931426072928119e-27,0.003079764906631983,0.5911356699183441,5.235551678634711e-27,0.5911356699183441,3.1642195402717596e-12,,,,52.32774578599492,3.614459991455078,0,same_degree_closure_pass,benchmarks/artifacts/task034/phase_f/records/p3_h7p5_hybrid_m160_mpi8_e091785_v3.json
