key,degree,h_nm,full3d_qualified,hybrid_m160_qualified,same_degree_closure,R_total_full3d,T_total_full3d,A_volume_full3d,true_residual_full3d,full3d_peak_GiB,hybrid_peak_GiB
p2_h5,2,5,true,true,true,0.08902160293625645,0.44258827865721156,0.4683901184065563,9.70703376934104e-12,2.959606170654297,3.2848663330078125
p2_h3,2,3,true,true,true,0.00461303140747413,0.583653357179117,0.4117336114134929,7.34068736376572e-12,9.53493881225586,4.695159912109375
p2_h2,2,2,true,true,true,0.001342932846259213,0.5992132294442238,0.39944383770948677,1.74783252980985e-11,32.53961181640625,11.30533218383789
p3_h10,3,10,true,false,false,0.05539849053529889,0.4060678667548069,0.5385336427098364,2.64946972848317e-12,2.7445716857910156,2.8677101135253906
p3_h7p5,3,7.5,true,true,true,0.003090727449921082,0.5911608633289427,0.4057484092211082,7.68227668568186e-12,4.6096954345703125,3.614459991455078
p3_h5,3,5,true,true,true,0.001090107012034979,0.6006224782934476,0.39828741469453954,6.98200317859201e-12,9.04007339477539,4.908237457275391
p3_h3,3,3,true,true,true,0.0007894679573742296,0.6025149841382069,0.39669554790437317,8.48927733258755e-11,44.06867218017578,14.271553039550781
p4_h10,4,10,true,true,true,0.0018823172152018387,0.5966195196222404,0.40149816316260045,4.62675953814011e-12,5.639560699462891,3.5176162719726562
p4_h7p5,4,7.5,true,true,true,0.0008024690153384762,0.602429772906308,0.3967677580783896,1.2715167394801e-11,12.724395751953125,5.9671173095703125
p4_h5,4,5,true,true,true,0.0007663133771040101,0.602677530502972,0.3965561561199801,2.40147422295345e-11,28.888458251953125,9.205917358398438
