scenario_key,degree,h_nm,wavelength_nm,budget_gib,classification,largest_component,largest_component_gib,largest_component_lower_bound_ratio,cumulative_component_envelope_gib,cumulative_component_envelope_ratio,measured_simultaneous_peak_gib,predicted_simultaneous_peak_gib,simultaneous_peak_ratio,simultaneous_peak_model_status,predicted_local_fe_dofs_sum_uniform,predicted_cross_section_qep_dofs,predicted_modes_per_direction,one_complex_2m_square_gib,local_component_subtotal_gib,modal_and_runtime_component_subtotal_gib,cumulative_envelope_compression_ratio,local_subtotal_to_half_budget_ratio,modal_subtotal_to_half_budget_ratio
p2_h3_current_layout_stress_test,2,3.0,13.5,256.0,cumulative_envelope_within_guardband_peak_unknown,mpi_process_runtime_overhead,1.9374629027386923,0.007568214463823017,4.695159912109375,0.018340468406677246,4.695159912109375,,0.018340468406677246,measured_at_reference,68396,2053,160,0.00152587890625,1.6006031036376953,3.0945568084716797,1.0,1.0,1.0
p2_h3_current_layout_stress_test,2,3.0,13.5,1024.0,cumulative_envelope_within_guardband_peak_unknown,mpi_process_runtime_overhead,1.9374629027386923,0.0018920536159557542,4.695159912109375,0.0045851171016693115,4.695159912109375,,0.0045851171016693115,measured_at_reference,68396,2053,160,0.00152587890625,1.6006031036376953,3.0945568084716797,1.0,1.0,1.0
p2_h3_current_layout_stress_test,2,3.0,13.5,2048.0,cumulative_envelope_within_guardband_peak_unknown,mpi_process_runtime_overhead,1.9374629027386923,0.0009460268079778771,4.695159912109375,0.0022925585508346558,4.695159912109375,,0.0022925585508346558,measured_at_reference,68396,2053,160,0.00152587890625,1.6006031036376953,3.0945568084716797,1.0,1.0,1.0
p2_h3_current_layout_stress_test,2,3.0,5.0,256.0,cumulative_envelope_high_risk_peak_unknown,hybrid_schur_dense_multi_rhs,93.99664330183629,0.367174387897798,201.53268227703276,0.7872370401446592,,,,unknown_no_lifecycle_overlap_model,1346239,14967,1167,0.08117491006851196,79.56357568840386,121.9691065886289,1.0,1.0,1.0
p2_h3_current_layout_stress_test,2,3.0,5.0,1024.0,cumulative_envelope_within_guardband_peak_unknown,hybrid_schur_dense_multi_rhs,93.99664330183629,0.0917935969744495,201.53268227703276,0.1968092600361648,,,,unknown_no_lifecycle_overlap_model,1346239,14967,1167,0.08117491006851196,79.56357568840386,121.9691065886289,1.0,1.0,1.0
p2_h3_current_layout_stress_test,2,3.0,5.0,2048.0,cumulative_envelope_within_guardband_peak_unknown,hybrid_schur_dense_multi_rhs,93.99664330183629,0.04589679848722475,201.53268227703276,0.0984046300180824,,,,unknown_no_lifecycle_overlap_model,1346239,14967,1167,0.08117491006851196,79.56357568840386,121.9691065886289,1.0,1.0,1.0
p2_h3_current_layout_stress_test,2,3.0,2.0,256.0,infeasible_current_layout_by_single_component,hybrid_schur_dense_multi_rhs,9179.359697444947,35.85687381814432,13225.87489887363,51.663573823725116,,,,unknown_no_lifecycle_overlap_model,21034977,93540,7290,3.167635202407837,3032.138263862813,10193.736635010817,51.663573823725116,23.688580186428226,79.638567461022
p2_h3_current_layout_stress_test,2,3.0,2.0,1024.0,infeasible_current_layout_by_single_component,hybrid_schur_dense_multi_rhs,9179.359697444947,8.96421845453608,13225.87489887363,12.915893455931279,,,,unknown_no_lifecycle_overlap_model,21034977,93540,7290,3.167635202407837,3032.138263862813,10193.736635010817,12.915893455931279,5.922145046607056,19.9096418652555
p2_h3_current_layout_stress_test,2,3.0,2.0,2048.0,infeasible_current_layout_by_single_component,hybrid_schur_dense_multi_rhs,9179.359697444947,4.48210922726804,13225.87489887363,6.4579467279656395,,,,unknown_no_lifecycle_overlap_model,21034977,93540,7290,3.167635202407837,3032.138263862813,10193.736635010817,6.4579467279656395,2.961072523303528,9.95482093262775
p2_h3_current_layout_stress_test,2,3.0,1.0,256.0,infeasible_current_layout_by_single_component,hybrid_schur_dense_multi_rhs,293739.5103182383,1147.4199621806183,358034.09810777265,1398.570695733487,,,,unknown_no_lifecycle_overlap_model,168279809,374160,29160,50.68216323852539,48109.871360655874,309924.2267471168,1398.570695733487,375.858370005124,2421.28302146185
