auxiliary_index,side,direction,medium,m,n,order_m,order_n,polarization,alpha,gamma,beta,kz,vertical_sign,propagating,power_carrying,rayleigh_warning,refractive_index,auxiliary_amplitude_total_projection,incident_projection,outgoing_amplitude,boundary_phase,outgoing_amplitude_at_boundary,modal_power_code_units,power_ratio,power_source,R,T
0,top,outgoing_up,air,-19,-2,-19,-2,s,-1.1311647472034403e+00+0.0000000000000000e+00j,-5.0265482457436694e-01+0.0000000000000000e+00j,2.1665905517791448e-01+0.0000000000000000e+00j,2.1665905517791448e-01+0.0000000000000000e+00j,1,True,True,False,1.0000000000000000e+00+0.0000000000000000e+00j,3.1735059025231071e-14-8.4965456892551560e-14j,0.0000000000000000e+00+0.0000000000000000e+00j,3.1735059025231071e-14-8.4965456892551560e-14j,-9.9410266533409997e-01+1.0844303009247962e-01j,-2.2333995162896948e-14+8.7905833119074830e-14j,8.864383237965229e-25,8.126680542143092e-26,dtn_port_modal_amplitudes,8.126680542143092e-26,0.0
1,top,outgoing_up,air,-19,-2,-19,-2,p,-1.1311647472034403e+00+0.0000000000000000e+00j,-5.0265482457436694e-01+0.0000000000000000e+00j,2.1665905517791448e-01+0.0000000000000000e+00j,2.1665905517791448e-01+0.0000000000000000e+00j,1,True,True,False,1.0000000000000000e+00+0.0000000000000000e+00j,8.5618313287492787e-15-3.0866514933162423e-14j,0.0000000000000000e+00+0.0000000000000000e+00j,8.5618313287492787e-15-3.0866514933162423e-14j,-9.9410266533409997e-01+1.0844303009247962e-01j,-5.1640809363037535e-15+3.1612955697061858e-14j,1.105640977085488e-25,1.0136284469960723e-26,dtn_port_modal_amplitudes,1.0136284469960723e-26,0.0
2,top,outgoing_up,air,-19,-1,-19,-1,s,-1.1311647472034403e+00+0.0000000000000000e+00j,-2.5132741228718347e-01+0.0000000000000000e+00j,4.8624844543864848e-01+0.0000000000000000e+00j,4.8624844543864848e-01+0.0000000000000000e+00j,1,True,True,False,1.0000000000000000e+00+0.0000000000000000e+00j,-1.5478285320114082e-14+1.2711787178432133e-14j,0.0000000000000000e+00+0.0000000000000000e+00j,-1.5478285320114082e-14+1.2711787178432133e-14j,9.2849954520888356e-01+3.7133353544609526e-01j,-1.9091893755144811e-14+6.0552822034049947e-15j,9.701824567353132e-26,8.894429180037646e-27,dtn_port_modal_amplitudes,8.894429180037646e-27,0.0
3,top,outgoing_up,air,-19,-1,-19,-1,p,-1.1311647472034403e+00+0.0000000000000000e+00j,-2.5132741228718347e-01+0.0000000000000000e+00j,4.8624844543864848e-01+0.0000000000000000e+00j,4.8624844543864848e-01+0.0000000000000000e+00j,1,True,True,False,1.0000000000000000e+00+0.0000000000000000e+00j,-2.5730930775492907e-14+1.9656010843376341e-14j,0.0000000000000000e+00+0.0000000000000000e+00j,-2.5730930775492907e-14+1.9656010843376341e-14j,9.2849954520888356e-01+3.7133353544609526e-01j,-3.1190093522084151e-14+8.6958396335132975e-15j,2.5355476644955655e-25,2.3245368928185434e-26,dtn_port_modal_amplitudes,2.3245368928185434e-26,0.0
4,top,outgoing_up,air,-19,0,-19,0,s,-1.1311647472034403e+00+0.0000000000000000e+00j,0.0000000000000000e+00+0.0000000000000000e+00j,5.4736004499641200e-01+0.0000000000000000e+00j,5.4736004499641200e-01+0.0000000000000000e+00j,1,True,True,False,1.0000000000000000e+00+0.0000000000000000e+00j,1.1182988922215032e-04-1.7782676956533834e-04j,0.0000000000000000e+00+0.0000000000000000e+00j,1.1182988922215032e-04-1.7782676956533834e-04j,-4.5375191266243647e-01+8.9112805014497254e-01j,1.0772339629896021e-04+1.8034398794331772e-04j,1.2013243675550778e-05,1.1013489715561079e-06,dtn_port_modal_amplitudes,1.1013489715561079e-06,0.0
5,top,outgoing_up,air,-19,0,-19,0,p,-1.1311647472034403e+00+0.0000000000000000e+00j,0.0000000000000000e+00+0.0000000000000000e+00j,5.4736004499641200e-01+0.0000000000000000e+00j,5.4736004499641200e-01+0.0000000000000000e+00j,1,True,True,False,1.0000000000000000e+00+0.0000000000000000e+00j,-1.3383220783076680e-13-3.5172609734516253e-14j,0.0000000000000000e+00+0.0000000000000000e+00j,-1.3383220783076680e-13-3.5172609734516253e-14j,-4.5375191266243647e-01+8.9112805014497254e-01j,9.2069919410276688e-14-1.0330199547046176e-13j,5.212794125742166e-24,4.778980269087598e-25,dtn_port_modal_amplitudes,4.778980269087598e-25,0.0
6,top,outgoing_up,air,-19,1,-19,1,s,-1.1311647472034403e+00+0.0000000000000000e+00j,2.5132741228718347e-01+0.0000000000000000e+00j,4.8624844543864848e-01+0.0000000000000000e+00j,4.8624844543864848e-01+0.0000000000000000e+00j,1,True,True,False,1.0000000000000000e+00+0.0000000000000000e+00j,2.2846080582894502e-14-2.9044322502613796e-14j,0.0000000000000000e+00+0.0000000000000000e+00j,2.2846080582894502e-14-2.9044322502613796e-14j,9.2849954520888356e-01+3.7133353544609526e-01j,3.1997706390555213e-14-1.8484124360644445e-14j,3.3023659211453626e-25,3.027539779582997e-26,dtn_port_modal_amplitudes,3.027539779582997e-26,0.0
7,top,outgoing_up,air,-19,1,-19,1,p,-1.1311647472034403e+00+0.0000000000000000e+00j,2.5132741228718347e-01+0.0000000000000000e+00j,4.8624844543864848e-01+0.0000000000000000e+00j,4.8624844543864848e-01+0.0000000000000000e+00j,1,True,True,False,1.0000000000000000e+00+0.0000000000000000e+00j,-4.1249868275861471e-14+5.0573243141102574e-14j,0.0000000000000000e+00+0.0000000000000000e+00j,-4.1249868275861471e-14+5.0573243141102574e-14j,9.2849954520888356e-01+3.7133353544609526e-01j,-5.7080025108624339e-14+3.1639773832690662e-14j,1.0300466106268137e-24,9.443251181006986e-26,dtn_port_modal_amplitudes,9.443251181006986e-26,0.0
8,top,outgoing_up,air,-19,2,-19,2,s,-1.1311647472034403e+00+0.0000000000000000e+00j,5.0265482457436694e-01+0.0000000000000000e+00j,2.1665905517791448e-01+0.0000000000000000e+00j,2.1665905517791448e-01+0.0000000000000000e+00j,1,True,True,False,1.0000000000000000e+00+0.0000000000000000e+00j,1.4770407119601833e-13+1.8197710005535435e-13j,0.0000000000000000e+00+0.0000000000000000e+00j,1.4770407119601833e-13+1.8197710005535435e-13j,-9.9410266533409997e-01+1.0844303009247962e-01j,-1.6656715899410445e-13-1.6488644315730637e-13j,5.9193450360986396e-24,5.426731317421726e-25,dtn_port_modal_amplitudes,5.426731317421726e-25,0.0
9,top,outgoing_up,air,-19,2,-19,2,p,-1.1311647472034403e+00+0.0000000000000000e+00j,5.0265482457436694e-01+0.0000000000000000e+00j,2.1665905517791448e-01+0.0000000000000000e+00j,2.1665905517791448e-01+0.0000000000000000e+00j,1,True,True,False,1.0000000000000000e+00+0.0000000000000000e+00j,-5.9752051268525110e-14-7.0132020570844189e-14j,0.0000000000000000e+00+0.0000000000000000e+00j,-5.9752051268525110e-14-7.0132020570844189e-14j,-9.9410266533409997e-01+1.0844303009247962e-01j,6.7005002242431055e-14+6.3238735080942087e-14j,9.147316498235748e-25,8.386067818081009e-26,dtn_port_modal_amplitudes,8.386067818081009e-26,0.0
